seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition
16074029,5,2,0.3,0.1,32102877,7708378,2490,3432170,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074029,10,1,0.02,0.02,70487769,15803407,36194,4560454,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074029,10,2,0.3,0.1,70487769,16533813,36194,5952266,0.25,1,4,3,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074030,5,1,0.02,0.02,33835803,8607854,2450,4276264,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074030,5,2,0.3,0.1,33835803,8028511,2450,6616052,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074030,10,1,0.02,0.02,67303392,15726091,36480,5949932,0.5,2,3,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074030,10,2,0.3,0.1,67303392,16456497,36480,5935499,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074031,5,1,0.02,0.02,33174334,8333489,2478,4272413,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074031,5,2,0.3,0.1,33174334,7754146,2478,5679846,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074031,10,1,0.02,0.02,64536161,15434494,36212,7280201,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074031,10,2,0.3,0.1,64536161,16164900,36212,4116469,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074032,5,1,0.02,0.02,38585909,8670909,2538,5489655,2,4,4,3,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074032,5,2,0.3,0.1,38585909,8091566,2538,4817939,2,4,6,4,1,1,0,0,2,0,0,0,0,0,0,0,high-uncertainty
16074032,10,1,0.02,0.02,70525445,15878759,36587,4893141,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074032,10,2,0.3,0.1,70525445,16609165,36587,6160690,0.25,1,5,3,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074033,5,1,0.02,0.02,39126796,8704110,2494,6008644,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074033,5,2,0.3,0.1,39126796,8124767,2494,6256834,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074033,10,1,0.02,0.02,67122135,15363577,36712,5288986,0.5,2,2,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074033,10,2,0.3,0.1,67122135,16093983,36712,6259643,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074034,5,1,0.02,0.02,33499848,8984517,2472,5876902,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074034,5,2,0.3,0.1,33499848,8405174,2472,6210831,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074034,10,1,0.02,0.02,69006942,15987472,36370,6875189,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074034,10,2,0.3,0.1,69006942,16717878,36370,5720732,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074035,5,1,0.02,0.02,36353448,8400279,2450,6533368,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074035,5,2,0.3,0.1,36353448,7820936,2450,4910356,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074035,10,1,0.02,0.02,68181088,15384337,36539,3424920,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074035,10,2,0.3,0.1,68181088,16114743,36539,5293886,1,3,4,2,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074036,5,1,0.02,0.02,35711152,8164260,2450,6297867,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074036,5,2,0.3,0.1,35711152,7584917,2450,6559264,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074036,10,1,0.02,0.02,72918855,15422714,36197,5185454,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074036,10,2,0.3,0.1,72918855,16153120,36197,5730805,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074037,5,1,0.02,0.02,34398942,8685559,2450,5084792,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074037,5,2,0.3,0.1,34398942,8106216,2450,6496801,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074037,10,1,0.02,0.02,69458930,15842875,36304,4113275,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074037,10,2,0.3,0.1,69458930,16573281,36304,3933158,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074038,5,1,0.02,0.02,34480069,8847813,2476,4737266,2,4,3,3,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074038,5,2,0.3,0.1,34480069,8268470,2476,4040038,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,high-uncertainty
16074038,10,1,0.02,0.02,66869242,15906364,36576,5130868,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074038,10,2,0.3,0.1,66869242,16636770,36576,6022478,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074039,5,1,0.02,0.02,33457913,8900647,2450,6643297,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074039,5,2,0.3,0.1,33457913,8321304,2450,4923175,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074039,10,1,0.02,0.02,67070497,16308874,36532,7264220,0.5,2,4,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074039,10,2,0.3,0.1,67070497,17039280,36532,5119909,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074040,5,1,0.02,0.02,33404813,8794447,2478,4833909,2,4,1,2,1,1,0,0,2,0,0,0,0,0,0,0,low-uncertainty
16074040,5,2,0.3,0.1,33404813,8215104,2478,6143738,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074040,10,1,0.02,0.02,72861352,16356281,36374,5053327,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074040,10,2,0.3,0.1,72861352,17086687,36374,4770488,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074041,5,1,0.02,0.02,34218452,8324579,2484,4531986,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074041,5,2,0.3,0.1,34218452,7745236,2484,4317009,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074041,10,1,0.02,0.02,65542309,15349644,36447,6636822,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074041,10,2,0.3,0.1,65542309,16080050,36447,5484947,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074042,5,1,0.02,0.02,37442887,8482011,2490,6140893,0.5,2,1,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074042,5,2,0.3,0.1,37442887,7902668,2490,6029238,0.25,1,1,2,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074042,10,1,0.02,0.02,67935122,15940978,36635,5661603,1,3,6,4,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074042,10,2,0.3,0.1,67935122,16671384,36635,6332125,0.5,2,6,4,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074043,5,1,0.02,0.02,36386904,8467191,2488,4829649,1,3,3,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074043,5,2,0.3,0.1,36386904,7887848,2488,6258542,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074043,10,1,0.02,0.02,74589480,15618245,36631,6478894,1,3,4,3,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074043,10,2,0.3,0.1,74589480,16348651,36631,5591687,0.25,1,5,3,1,1,0,0,5,0,0,0,0,0,0,0,high-uncertainty
16074044,5,1,0.02,0.02,35562067,8914663,2466,5160857,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074044,5,2,0.3,0.1,35562067,8335320,2466,4612953,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074044,10,1,0.02,0.02,60326993,15404742,36392,3964921,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074044,10,2,0.3,0.1,60326993,16135148,36392,5776346,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074045,5,1,0.02,0.02,36942012,8528834,2450,5147811,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,low-uncertainty
16074045,5,2,0.3,0.1,36942012,7949491,2450,6439278,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,high-uncertainty
16074045,10,1,0.02,0.02,70867131,15513558,36337,6425250,0.5,2,3,2,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
16074045,10,2,0.3,0.1,70867131,16243964,36337,5290471,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,high-uncertainty
16074046,5,1,0.02,0.02,34069672,9075592,2450,5599449,0.5,2,0,1,1,1,0,0,4,0,0,0,0,0,0,0,low-uncertainty
