point,plant,N,topology,scenario,method,RMSEmean,RMSEstd,minSep,safeFailCount,safeEligibleCount,safeFailRate,safeRule,DATA,ACK,Total_w010,Total_w025,Total_w050,airtime,broadcast,AoI,estimatedAoI,saturation,effort,estError,diverged,evaluable,connected,dominated_w_0_10,dominated_w_0_25,dominated_w_0_50,dominated_airtime,dominated_broadcast,sourceExperiment,sourceTag
MISMATCH,6dof,5,ring2,Moderate,P10,0.715504684592677,0.0107840751660874,0.640885967278857,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.154951256433545,NaN,0,1.22077021551536,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Moderate,P20,0.713724519931229,0.0116365400437765,0.642923646046623,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.117789887980624,NaN,0,1.22077647753837,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Moderate,State-event,0.725839575854936,0.0088472239922614,0.631516353517031,0,3,0,all seeds,40.8444444444444,0,40.8444444444444,40.8444444444444,40.8444444444444,1960.53333333333,24.4444444444444,0.278285195277021,NaN,0,1.22072792181596,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Moderate,Causal-v3,0.714832018256663,0.0108095066754431,0.64176491205014,0,3,0,all seeds,131.522222222222,104.877777777778,142.01,157.741666666667,183.961111111111,8830.13333333333,220.611111111111,0.142158643657281,0.221513775355738,0,1.22074049418116,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Stressed,P10,0.721459068290714,0.0100584032415462,0.634656591528266,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.23621374508023,NaN,0,1.22077501848348,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Stressed,P20,0.716906464828039,0.0104810466250387,0.640526914714562,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.178700575234635,NaN,0,1.22073446558178,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Stressed,State-event,0.750068559455001,0.0100310100463158,0.609016354451427,0,3,0,all seeds,40.3333333333333,0,40.3333333333333,40.3333333333333,40.3333333333333,1936,24.1111111111111,0.440772025431426,NaN,0,1.2207946905553,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
MISMATCH,6dof,5,ring2,Stressed,Causal-v3,0.717797514815874,0.00996885263275442,0.639536107809572,0,3,0,all seeds,175.733333333333,105.177777777778,186.251111111111,202.027777777778,228.322222222222,10959.4666666667,210.166666666667,0.191349682107175,0.311665909778987,0,1.22073006195419,NaN,0,3,3,0,0,0,0,0,EXP09B,exp09b-locked-partial
ESTIMATOR,6dof,5,ring2,Moderate,P10,0.0931561482550185,0.00269572041642608,0.459167302379071,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.154951256433545,NaN,0,1.0184668787683,0.0534420625970578,0,3,3,0,0,0,0,0,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Moderate,P20,0.0692553553945066,0.00261842768643659,0.486860309672475,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.117789887980624,NaN,0,1.01830454274449,0.0534646660198445,0,3,3,0,0,0,0,0,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Moderate,State-event,0.0874381176428661,0.0028056768655841,0.487357815583225,0,3,0,all seeds,279.755555555555,0,279.755555555555,279.755555555555,279.755555555555,13428.2666666667,183.811111111111,0.167907356948229,NaN,0,1.01813018658118,0.0534708063704119,0,3,3,1,1,1,1,1,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Moderate,Causal-v3,0.0701481941937253,0.00495177383789526,0.491298899966635,0,3,0,all seeds,227.988888888889,182.1,246.198888888889,273.513888888889,319.038888888889,15313.8666666667,343.411111111111,0.122708446866485,0.197219951559189,0,1.01821842228455,0.053477107494143,0,3,3,1,1,1,1,1,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Stressed,P10,0.138565458477964,0.00051854538247241,0.398858694524855,0,3,0,all seeds,99.6666666666667,0,99.6666666666667,99.6666666666667,99.6666666666667,4784,59.8,0.23621374508023,NaN,0,1.01860558442271,0.0534257417318051,0,3,3,0,0,0,0,0,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Stressed,P20,0.106518283522521,0.00424022935636279,0.439311353493233,0,3,0,all seeds,199.666666666667,0,199.666666666667,199.666666666667,199.666666666667,9584,119.8,0.178700575234635,NaN,0,1.01848949968234,0.0534250042893198,0,3,3,0,0,0,0,0,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Stressed,State-event,0.138828012700563,0.00397954863364224,0.429109968395927,0,3,0,all seeds,280.022222222222,0,280.022222222222,280.022222222222,280.022222222222,13441.0666666667,183.922222222222,0.257674841053588,NaN,0,1.01845346903581,0.0534454130701861,0,3,3,1,1,1,1,1,EXP09C,exp09c-locked-partial
ESTIMATOR,6dof,5,ring2,Stressed,Causal-v3,0.103553468114935,0.0050750806932651,0.456993359140301,0,3,0,all seeds,249.111111111111,149.822222222222,264.093333333333,286.566666666667,324.022222222222,15553.0666666667,303.733333333333,0.173857099606418,0.289700272479561,0,1.01850418843666,0.0534460859132197,0,3,3,0,0,0,0,0,EXP09C,exp09c-locked-partial
LINK,di,20,ring2,Moderate,P10,1.11969367691954,0.0713286619911525,0.329087704977596,0,3,0,EXP08B connected-seed denominator,478.4,0,478.4,478.4,478.4,22963.2,209.3,3.55936862952871,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
LINK,di,20,ring2,Moderate,P20,1.11793343840489,0.0719894487880101,0.329071427386873,0,3,0,EXP08B connected-seed denominator,958.4,0,958.4,958.4,958.4,46003.2,419.3,3.52920716015743,NaN,NaN,NaN,NaN,0,3,3,0,0,0,0,0,EXP08B,exp08b-locked-partial
