seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16040003,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113401272830,74659418339,2282117,4387275,500523067,1,2,421,0,0,0,1,NaN,0.8645,0,0,0,0,NaN,NaN,NaN,2516,2040,3328,4556,37918,20988,261,16669,3458,115,9259,9259,0,0,242,232,0,10,0,8,0.524008868334341,0.364387705364803,1,0,0
16040003,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113401272830,113401272830,2015273,4036164,503164478,NaN,NaN,NaN,NaN,NaN,1,1,15,0.9645,0,0,0,0,NaN,NaN,8,2307,1992,3199,4299,35693,19620,0,16073,3858,29,10055,10055,0,0,69,67,0,2,0,2,0.547507793035422,0.349327810556373,1,0,0
16040003,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113401272830,113401272830,2015276,4035259,515881254,NaN,NaN,NaN,NaN,NaN,1,1,15,0.96275,0,0,0,0,221,220,NaN,2303,1982,3194,4285,35591,19710,0,15881,3851,29,10031,10031,0,0,67,65,0,2,0,2,0.546307118050696,0.366857665333384,1,0,0
16040004,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30330996709,30330996709,1319555,534353,176911665,NaN,NaN,NaN,NaN,NaN,1,1,10,0.9905,0,0,0,0,NaN,NaN,NaN,1073,738,1028,1811,6122,3736,0,2386,1981,12,4757,4757,0,0,25,21,0,4,0,4,0.48729892133414,0.457147691541707,1,0,0
16040004,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30330996709,30330996709,2306929,534353,176911665,NaN,NaN,NaN,NaN,NaN,1,1,10,0.9905,0,0,0,0,NaN,NaN,NaN,1073,738,1028,1811,6122,3736,0,2386,1981,12,4757,4516,241,0,25,21,0,4,0,4,0.48729892133414,0.457147691541707,1,0,0
16040004,n5-6dof,N5 6-DOF graph,management-erasure-5,Management erasure 5%,control-loss,5,30330996709,30330996709,1975425,537387,176902460,NaN,NaN,NaN,NaN,NaN,1,1,10,0.989,0,0,0,0,NaN,NaN,NaN,1110,800,1083,1910,6486,3786,242,2458,1978,14,4751,4751,0,0,29,25,0,4,0,4,0.493304145525164,0.46227715387154,1,0,0
16040004,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30330996709,30330996709,1319109,588450,137695735,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,400,159,159,559,1395,1395,0,0,799,476,1998,1998,0,0,990,898,0,92,0,92,0.274238571390099,0.256848443003592,1,0,0
16040004,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30330996709,20676940061,1586817,1018475,175391944,1,2,421,0,0,0,1,NaN,0.787,0,0,0,0,NaN,NaN,NaN,1273,847,1182,2120,7332,4606,286,2440,1574,184,3939,3939,0,0,369,352,0,17,0,15,0.462527371546166,0.430562063612694,1,0,0
16040004,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30330996709,30330996709,1319673,534434,176896659,NaN,NaN,NaN,NaN,NaN,1,1,10,0.9895,0,0,0,0,NaN,NaN,2,1073,739,1033,1812,6122,3744,0,2378,1979,12,4753,4753,0,0,25,21,0,4,0,4,0.486986149240858,0.456834919448424,1,0,0
16040004,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30330996709,30330996709,1319676,518655,178437823,NaN,NaN,NaN,NaN,NaN,0,1,10,0.885,0,0,0,0,221,220,NaN,1151,902,1178,2053,7044,4544,0,2500,1770,82,4329,4329,0,0,165,156,0,9,0,7,0.475976571557313,0.444136372461155,1,0,0
16040004,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113431158251,113431158251,2014855,4041575,503648273,NaN,NaN,NaN,NaN,NaN,1,1,25,0.97575,0,0,0,0,NaN,NaN,NaN,2274,2018,3161,4292,35620,19746,0,15874,3903,15,10175,10175,0,0,36,36,0,0,0,0,0.550458022997894,0.350116825546336,1,0,0
16040004,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113431158251,113431158251,3002229,4041575,503648273,NaN,NaN,NaN,NaN,NaN,1,1,25,0.97575,0,0,0,0,NaN,NaN,NaN,2274,2018,3161,4292,35620,19746,0,15874,3903,15,10175,9643,532,0,36,34,2,0,0,0,0.550458022997894,0.350116825546336,1,0,0
16040004,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113431158251,113431158251,2670725,4046592,503156162,NaN,NaN,NaN,NaN,NaN,1,1,26,0.96025,0,0,0,0,NaN,NaN,NaN,2342,2033,3145,4375,36371,19279,1070,16022,3841,28,10028,10028,0,0,66,62,0,4,0,2,0.548262503025822,0.351248890531935,1,0,0
16040004,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113431158251,113431158251,2004003,735701,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,400,185,185,585,2295,2295,0,0,799,651,2798,2798,0,0,1424,1198,0,226,0,161,0.169295172846479,0.148506343110924,1,0,0
