seed,N,syncPeriodSec,guardFactor,maxOffsetSec,maxDriftPpm,safeGuardSec,guardTimeSec,dataAirtimeSec,slotDurationSec,frameDurationSec,transmissions,collisionFrames,temporalOverlapPairs,offeredAirtimeSec,busyTimeSec,offeredUtilization,channelUtilization,maxClockEquationResidual,collisionWitnessValid,guardAtOrAboveBound,clockDrawHash,configHash,realizationHash
16031005,10,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.03072,3905,3240,1932,11.99616,11.651855473927,0.99968,0.970987956160588,1.77635683940025e-15,1,0,136404785,16360719,9424398285
16031005,10,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0416704380175207,2879,0,0,8.844288,8.8442879999999,0.737024,0.737023999999992,0,1,0,136404785,16453661,7276579801
16031005,10,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0453205840233609,2647,0,0,8.131584,8.13158399999991,0.677632,0.677631999999992,0,1,1,136404785,17183689,6507295851
16031005,10,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0489707300292012,2449,0,0,7.523328,7.52332799999992,0.626944,0.626943999999993,0,1,1,136404785,16865146,6012510071
16031006,5,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.01536,3877,3052,1891,11.910144,11.5852153905314,0.992512,0.965434615877617,8.88178419700125e-16,1,0,68441645,75071928,7940358771
16031006,5,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0173850810032401,3421,114,57,10.509312,10.508688465893,0.875776,0.875724038824414,8.88178419700125e-16,1,0,68441645,75881960,7094818883
16031006,5,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0180601080043202,3301,0,0,10.140672,10.1406719999999,0.845056,0.84505599999999,8.88178419700125e-16,1,1,68441645,75103399,6807056673
16031006,5,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0187351350054002,3181,0,0,9.772032,9.77203199999989,0.814336,0.814335999999991,8.88178419700125e-16,1,1,68441645,75373409,6533254687
16031006,5,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.01536,3905,3236,1674,11.99616,11.461256272398,0.99968,0.955104689366502,2.22044604925031e-16,1,0,68441645,11365094,8924977031
16031006,5,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0208352190087603,2878,0,0,8.841216,8.8412159999999,0.736768,0.736767999999992,0,1,0,68441645,11458036,6796460643
16031006,5,Inf,1,0.00025,40,0.00146005840233609,0.00146005840233609,0.003072,0.00453205840233609,0.0226602920116805,2647,0,0,8.131584,8.13158399999991,0.677632,0.677631999999992,0,1,1,68441645,12188064,6247313557
16031006,5,Inf,1.25,0.00025,40,0.00146005840233609,0.00182507300292012,0.003072,0.00489707300292012,0.0244853650146006,2449,0,0,7.523328,7.52332799999992,0.626944,0.626943999999993,0,1,1,68441645,11869521,5529615325
16031006,10,0.5,0,0.00025,40,0.000540021600864035,0,0.003072,0.003072,0.03072,3875,3246,1987,11.904,11.5796643621641,0.992,0.964972030180346,8.88178419700125e-16,1,0,132670361,139922947,8601324568
16031006,10,0.5,0.75,0.00025,40,0.000540021600864035,0.000405016200648026,0.003072,0.00347701620064803,0.0347701620064803,3419,106,53,10.503168,10.5014338709547,0.875264,0.875119489246223,8.88178419700125e-16,1,0,132670361,140732979,7575663026
16031006,10,0.5,1,0.00025,40,0.000540021600864035,0.000540021600864035,0.003072,0.00361202160086403,0.0361202160086403,3299,0,0,10.134528,10.1345279999999,0.844544,0.844543999999991,8.88178419700125e-16,1,1,132670361,139954418,7300057876
16031006,10,0.5,1.25,0.00025,40,0.000540021600864035,0.000675027001080043,0.003072,0.00374702700108004,0.0374702700108004,3179,0,0,9.765888,9.76588799999989,0.813824,0.813823999999991,8.88178419700125e-16,1,1,132670361,140224428,6986743009
16031006,10,Inf,0,0.00025,40,0.00146005840233609,0,0.003072,0.003072,0.03072,3906,3216,1976,11.999232,11.4805016519741,0.999936,0.956708470997845,2.22044604925031e-16,1,0,132670361,16583688,9486275615
16031006,10,Inf,0.75,0.00025,40,0.00146005840233609,0.00109504380175207,0.003072,0.00416704380175207,0.0416704380175207,2879,0,0,8.844288,8.8442879999999,0.737024,0.737023999999992,0,1,0,132670361,16676630,7264342892
