time_s,seed,epsilonPosition_m,maxNormalizedControlRisk,violatingLinksThisStep,controlAwareTxThisStep,formationRMS_m
4.02,27020001,0.4,1.84162548879608,7,1,0.150993338572623
4.04,27020001,0.4,1.91299890485541,7,3,0.151465642286438
4.06,27020001,0.4,1.99332092447383,7,1,0.15199081346591
4.08,27020001,0.4,2.1148806653498,7,2,0.152570708006399
4.1,27020001,0.4,2.23213751983205,7,0,0.153195528557992
4.12,27020001,0.4,2.34534147968214,7,0,0.153859369060183
4.14,27020001,0.4,2.46171841072309,7,1,0.154560909147707
4.16,27020001,0.4,2.57389476365174,7,3,0.155293926234475
4.18,27020001,0.4,2.71772475373579,7,1,0.156045163533333
4.2,27020001,0.4,2.85513305626097,7,2,0.156818719755428
4.22,27020001,0.4,2.98623854483192,7,0,0.15761824586082
4.24,27020001,0.4,3.111279721733,8,2,0.158446970861975
4.26,27020001,0.4,3.23055944218255,7,0,0.159307728889861
4.28,27020001,0.4,3.34441157352438,6,3,0.160200022252157
4.3,27020001,0.4,3.46623972140889,6,0,0.161091833978854
4.32,27020001,0.4,3.58221704979903,6,2,0.161978718344372
4.34,27020001,0.4,3.692697836941,8,2,0.162856512959098
4.36,27020001,0.4,3.79804067358445,8,1,0.163731833058253
4.38,27020001,0.4,3.89859837237027,8,0,0.164608142894177
4.4,27020001,0.4,3.99471173679428,6,2,0.165491017573875
4.42,27020001,0.4,4.0867058267026,5,0,0.166381797566923
4.44,27020001,0.4,4.17488785890389,5,3,0.16728531854466
4.46,27020001,0.4,4.25954618793696,7,1,0.16819935756311
4.48,27020001,0.4,4.35590158312895,9,3,0.169121050697444
4.5,27020001,0.4,4.44782964889335,9,0,0.170054950416184
4.52,27020001,0.4,4.5356485917639,8,2,0.171005082696092
4.54,27020001,0.4,4.64011997803691,8,0,0.171954573022293
4.56,27020001,0.4,4.7394244514589,8,3,0.172908563431955
4.58,27020001,0.4,4.83385807819618,8,1,0.173871647052352
4.6,27020001,0.4,4.92372355279569,9,3,0.174847915613343
4.62,27020001,0.4,5.02301103738111,9,0,0.175823496097719
4.64,27020001,0.4,5.11718140680605,7,0,0.176803106543077
4.66,27020001,0.4,5.20656315757586,7,0,0.177790994001242
4.68,27020001,0.4,5.2914797127359,7,3,0.178790973029192
4.7,27020001,0.4,5.37224458670635,9,3,0.179746026633267
4.72,27020001,0.4,5.44915827402303,7,2,0.180665846218844
4.74,27020001,0.4,5.5225063464158,7,0,0.181529306487877
4.76,27020001,0.4,5.59255839932228,7,0,0.18234798480857
4.78,27020001,0.4,5.65956759561306,7,3,0.183132267727049
4.8,27020001,0.4,2.61972359737288,6,0,0.183891456006108
4.82,27020001,0.4,2.67650806593587,7,5,0.184619953540556
4.84,27020001,0.4,1.88163720570279,7,2,0.185297853085079
4.86,27020001,0.4,1.94876446397083,7,0,0.185933759944576
4.88,27020001,0.4,2.01588392718361,7,0,0.186538241846524
4.9,27020001,0.4,2.08299532686336,7,2,0.187120732324119
4.92,27020001,0.4,2.15009839456459,5,0,0.187686415945001
4.94,27020001,0.4,1.43511591995884,5,3,0.188243165397384
4.96,27020001,0.4,1.48742528752358,6,1,0.188791641606717
4.98,27020001,0.4,1.535485581748,6,0,0.189325639037506
5,27020001,0.4,1.57979822770421,7,1,0.189852535475875
5.02,27020001,0.4,1.62086136416672,6,1,0.190378906768124
5.04,27020001,0.4,1.67101169616236,7,1,0.19090210329726
5.06,27020001,0.4,1.71724674464315,7,4,0.191428421936359
5.08,27020001,0.4,1.76009181219017,7,1,0.191950198788692
5.1,27020001,0.4,1.80004540476221,7,1,0.192470075257996
5.12,27020001,0.4,1.83757471729054,7,0,0.192994415734805
5.14,27020001,0.4,1.88681853251886,6,1,0.193520613590967
5.16,27020001,0.4,1.93250146732812,6,1,0.194054717694398
5.18,27020001,0.4,1.97501461028366,6,2,0.194580490736878
5.2,27020001,0.4,2.01476415574686,8,4,0.195057123444739
5.22,27020001,0.4,2.05215269681601,8,1,0.19549444613148
5.24,27020001,0.4,2.09188975678747,8,2,0.195898721780454
5.26,27020001,0.4,2.12935205135663,8,0,0.196278426606901
5.28,27020001,0.4,2.1649025576072,7,1,0.196627128394694
5.3,27020001,0.4,1.6529698578324,6,0,0.196953054448112
5.32,27020001,0.4,1.70990154537895,7,5,0.197258719037283
5.34,27020001,0.4,1.7668263933216,6,0,0.19755135178101
5.36,27020001,0.4,1.82374417396104,6,2,0.197837529452618
5.38,27020001,0.4,1.88065465962621,5,0,0.19810768808746
5.4,27020001,0.4,1.93755762267525,6,0,0.198369060200192
5.42,27020001,0.4,2.01297766461842,6,0,0.198624852166028
5.44,27020001,0.4,2.09346794989214,6,5,0.19888125233903
5.46,27020001,0.4,2.16921763428028,6,0,0.199110696289789
5.48,27020001,0.4,2.24051903796557,6,1,0.199322235150506
5.5,27020001,0.4,2.30769179510982,7,1,0.199523981051037
5.52,27020001,0.4,2.37106723348949,8,1,0.199723194631164
5.54,27020001,0.4,2.43097884071678,8,0,0.199926365175149
5.56,27020001,0.4,2.48775641185118,5,2,0.200139283759021
5.58,27020001,0.4,2.54172245747318,5,0,0.200364519108616
5.6,27020001,0.4,2.59319000691073,6,3,0.200606975048976
5.62,27020001,0.4,2.67892354043897,7,1,0.200852123051451
5.64,27020001,0.4,2.75974240393653,7,1,0.20109212310206
5.66,27020001,0.4,2.83585977538478,7,0,0.201320183290971
5.68,27020001,0.4,2.90754325920519,7,2,0.201543480103648
5.7,27020001,0.4,2.9750901133225,8,1,0.201768467032295
5.72,27020001,0.4,3.03881166426552,8,3,0.202000940756545
5.74,27020001,0.4,3.0990234076575,7,2,0.202230836134631
5.76,27020001,0.4,3.15603869135182,6,0,0.202464626321666
5.78,27020001,0.4,3.21016468742506,6,2,0.202704993985802
5.8,27020001,0.4,3.26169983796441,7,1,0.202957502436188
5.82,27020001,0.4,3.31093224961669,7,3,0.203227117093583
5.84,27020001,0.4,3.35813869170203,7,0,0.203518260684274
5.86,27020001,0.4,3.42432078359476,7,2,0.203812868800919
5.88,27020001,0.4,3.48719512853138,6,0,0.204101034194615
5.9,27020001,0.4,3.54693640422159,6,3,0.204389635630764
5.92,27020001,0.4,3.60374998604355,7,0,0.204660952632572
5.94,27020001,0.4,3.65785959229804,8,4,0.204915377688212
5.96,27020001,0.4,3.70949865980752,7,0,0.205141238579863
5.98,27020001,0.4,3.75890428187105,5,0,0.205347918455838
6,27020001,0.4,3.80631291379248,5,0,0.205540310810697
6.02,27020001,0.4,3.8519572994369,4,2,0.205726407158109
6.04,27020001,0.4,3.89606423923327,5,1,0.205880915398004
6.06,27020001,0.4,3.9388529339445,4,2,0.206014126384241
6.08,27020001,0.4,3.98669741340538,4,0,0.206130748547115
6.1,27020001,0.4,4.03293054053194,4,1,0.206239393055197
6.12,27020001,0.4,4.07774950319757,4,1,0.206347748256002
6.14,27020001,0.4,1.51966866794705,5,2,0.206462663131463
6.16,27020001,0.4,1.55150371000191,7,4,0.206585287056621
6.18,27020001,0.4,1.58164088871002,7,1,0.206721630187811
6.2,27020001,0.4,1.62263975422658,7,1,0.206838323139485
6.22,27020001,0.4,1.66072749640721,8,0,0.206943707318883
6.24,27020001,0.4,1.69637783666411,8,3,0.207028772363286
6.26,27020001,0.4,1.74736037806683,7,0,0.207101694106088
6.28,27020001,0.4,1.81450242088844,8,4,0.207159662561805
6.3,27020001,0.4,1.88163720570279,7,1,0.207178225462293
6.32,27020001,0.4,1.94876446397083,7,1,0.207164192226568
6.34,27020001,0.4,2.01588392718361,6,0,0.207125167448287
6.36,27020001,0.4,2.08299532686337,6,3,0.207070211933973
6.38,27020001,0.4,2.15009839456459,7,1,0.206999626694933
6.4,27020001,0.4,1.8765534880757,4,2,0.206921749679953
6.42,27020001,0.4,1.96011824527263,3,0,0.206822277440817
6.44,27020001,0.4,2.05483478011798,3,0,0.206701553176919
6.46,27020001,0.4,2.15051284771181,5,1,0.206564617801471
6.48,27020001,0.4,2.24051247158993,5,2,0.206419427594797
6.5,27020001,0.4,2.32345410901608,7,4,0.206252674273196
6.52,27020001,0.4,2.39985761151442,6,1,0.206068511154336
6.54,27020001,0.4,2.47022182807461,6,0,0.205862777162636
6.56,27020001,0.4,2.53502266586226,6,0,0.205644694486372
6.58,27020001,0.4,2.59471348100545,6,3,0.205422540683155
6.6,27020001,0.4,1.61790542106905,5,0,0.205195605974497
6.62,27020001,0.4,1.6853227112734,5,2,0.20495259202845
6.64,27020001,0.4,1.63611694236095,5,0,0.204684478701929
6.66,27020001,0.4,1.69829714005465,5,0,0.204398348236927
6.68,27020001,0.4,1.75572048143432,5,0,0.204103634878455
6.7,27020001,0.4,1.8088214173432,5,3,0.203808759013644
6.72,27020001,0.4,1.6529698578324,4,1,0.203513291490299
6.74,27020001,0.4,1.29655495010184,3,2,0.203224899979344
6.76,27020001,0.4,1.34547396353041,4,2,0.202934601630966
6.78,27020001,0.4,1.39453015707806,4,0,0.202650379471562
6.8,27020001,0.4,1.44451461109732,6,0,0.202379322669522
6.82,27020001,0.4,1.49620595858028,4,2,0.202127711659714
6.84,27020001,0.4,1.55031330791641,4,0,0.201865957263742
6.86,27020001,0.4,1.40327633679363,5,3,0.201602439320692
6.88,27020001,0.4,1.45500312453971,9,4,0.201339932457097
6.9,27020001,0.4,1.50231764433028,9,0,0.201085713646242
6.92,27020001,0.4,1.54579785482618,9,0,0.200846265635994
6.94,27020001,0.4,1.50310927027491,6,0,0.200627353278915
6.96,27020001,0.4,1.53618684601272,6,0,0.200426041800253
6.98,27020001,0.4,1.56737500255503,6,4,0.200247651643897
7,27020001,0.4,1.59723482337966,8,4,0.200082832205704
7.02,27020001,0.4,1.6348853015399,8,0,0.199928351532855
7.04,27020001,0.4,1.67559757961696,8,0,0.199789985296091
7.06,27020001,0.4,1.73649379137416,7,0,0.199672884031416
7.08,27020001,0.4,1.80042393777982,7,4,0.199581632299892
7.1,27020001,0.4,1.86686370365462,7,1,0.199520302221713
7.12,27020001,0.4,1.81849854352845,6,3,0.199482143201809
7.14,27020001,0.4,1.88163720570279,6,0,0.199449400144112
7.16,27020001,0.4,1.94876446397083,7,1,0.19942880295198
7.18,27020001,0.4,2.01588392718361,7,0,0.199426313674328
7.2,27020001,0.4,2.08299532686336,7,3,0.199447200073207
7.22,27020001,0.4,2.15009839456459,6,0,0.19946180875526
7.24,27020001,0.4,2.10708753044822,6,3,0.199472459520112
7.26,27020001,0.4,2.14963098297738,7,1,0.199479584835961
7.28,27020001,0.4,2.19006195151205,7,1,0.199490150297019
7.3,27020001,0.4,2.23689326912259,8,1,0.199504625007003
7.32,27020001,0.4,1.91707341306161,7,1,0.199529338353482
7.34,27020001,0.4,1.95678277851653,7,1,0.199565688489791
7.36,27020001,0.4,1.9942153945666,6,3,0.199619110805395
7.38,27020001,0.4,2.02988299655335,6,0,0.199664640568681
7.4,27020001,0.4,2.07615455595239,6,1,0.199707702043382
7.42,27020001,0.4,2.13418188481901,7,1,0.199755134502157
7.44,27020001,0.4,2.19514167001344,7,1,0.199813057046052
7.46,27020001,0.4,2.25859355763611,8,2,0.199886934140032
7.48,27020001,0.4,2.21804812579178,5,1,0.199971339048247
7.5,27020001,0.4,2.26315709019711,4,1,0.200071847954482
7.52,27020001,0.4,2.30611307594998,5,1,0.200193412319258
7.54,27020001,0.4,2.36037987818446,7,3,0.200324707505795
7.56,27020001,0.4,2.4119017191651,7,0,0.200471585316601
7.58,27020001,0.4,2.4604926920639,6,1,0.200591428598679
7.6,27020001,0.4,2.5062475584211,7,1,0.200688366878727
7.62,27020001,0.4,2.55381376159086,7,2,0.200766920996773
7.64,27020001,0.4,2.60292235415696,7,1,0.200830882247935
7.66,27020001,0.4,2.64905023505874,7,3,0.200888094132717
7.68,27020001,0.4,1.88163720570279,7,1,0.200916397488339
7.7,27020001,0.4,1.94876446397083,8,2,0.200925034709821
7.72,27020001,0.4,2.0158839271836,8,0,0.200919108407833
7.74,27020001,0.4,2.08299532686336,7,2,0.200903678025026
7.76,27020001,0.4,2.15009839456459,7,0,0.200886225097892
7.78,27020001,0.4,1.86169029762589,5,1,0.200873474549912
7.8,27020001,0.4,1.94485546743894,6,1,0.200864534888833
7.82,27020001,0.4,2.02137749299628,7,3,0.200865428899542
7.84,27020001,0.4,2.09177035064275,7,1,0.200862204445692
7.86,27020001,0.4,2.15651747442768,7,2,0.200862092289333
7.88,27020001,0.4,2.21607463661528,7,0,0.200842159867268
7.9,27020001,0.4,2.27087293665235,7,2,0.200811252533829
7.92,27020001,0.4,2.37972954924705,7,0,0.200755175154004
7.94,27020001,0.4,2.4800942385737,5,0,0.200682975901152
7.96,27020001,0.4,2.57260723805015,7,3,0.200598252370638
7.98,27020001,0.4,1.68671085445718,5,0,0.200501200790139
8,27020001,0.4,1.73315650402289,7,2,0.20039221455571
8.02,27020001,0.4,1.77461283724057,6,1,0.200279362213486
8.04,27020001,0.4,1.84085982820278,6,0,0.200151715484897
8.06,27020001,0.4,1.9071209971157,6,3,0.200017802515103
8.08,27020001,0.4,1.97342579387681,5,0,0.199885265450973
8.1,27020001,0.4,2.03992495967692,4,0,0.199741397823926
8.12,27020001,0.4,2.10683280749354,5,3,0.199594710553243
8.14,27020001,0.4,1.69945977030991,6,1,0.199433082682361
8.16,27020001,0.4,1.75390809606929,6,0,0.199265185260591
8.18,27020001,0.4,1.80561798496112,7,4,0.199098781628118
8.2,27020001,0.4,1.4781285745834,5,0,0.198940810700529
8.22,27020001,0.4,1.52285230694475,5,0,0.198797463250971
8.24,27020001,0.4,1.53908687486073,4,1,0.198674251594904
8.26,27020001,0.4,1.59603155840862,5,1,0.198563779062526
8.28,27020001,0.4,1.6529698578324,6,1,0.198450421110436
8.3,27020001,0.4,1.70990154537895,7,4,0.198341268720455
8.32,27020001,0.4,1.7668263933216,8,1,0.19822786587056
8.34,27020001,0.4,1.82374417396104,9,1,0.198117722871046
8.36,27020001,0.4,1.8806546596262,7,0,0.198017544968564
8.38,27020001,0.4,1.93755762267524,6,0,0.197933308698416
8.4,27020001,0.4,1.99445283549638,6,0,0.197865362956093
8.42,27020001,0.4,2.05134007050882,6,4,0.197815680301743
8.44,27020001,0.4,2.10821910016372,6,1,0.197758206161442
8.46,27020001,0.4,2.16508969694504,7,2,0.197693039604771
8.48,27020001,0.4,2.22195163337045,9,2,0.197612936613875
8.5,27020001,0.4,2.27880468199229,9,0,0.197526035068021
8.52,27020001,0.4,2.33564861539844,8,0,0.197439669836746
8.54,27020001,0.4,2.39248320621324,6,3,0.197360443294499
8.56,27020001,0.4,2.44930822709841,6,0,0.197285266898389
8.58,27020001,0.4,2.50612345075394,5,1,0.197218024444116
