seed,method,topology,N,scenario,RMSE,AOI,MINEVAL,NDATA,NACK,MISSION,VIOL,FORMFAIL,SAFEFAIL,numEdges,meanDegree,minDegree,lambda2,nChannels
2,State-event,sparse6,20,Moderate,0.516912037882475,0.297286044944478,0.0795103223960353,13167,0,30,0,1,1,66,6.6,6,1.61242402873909,124
3,State-event,sparse6,20,Moderate,0.511951327882449,0.295824323928393,0.0812705710105923,13150,0,30,0,1,1,66,6.6,6,1.61242402873909,124
1,Causal-v3,sparse6,20,Moderate,0.272287807655387,0.144096276112625,0.327019553910925,46217,37087,30,0,1,0,66,6.6,6,1.61242402873909,124
2,Causal-v3,sparse6,20,Moderate,0.273051544459878,0.144330813629838,0.325975175466819,46207,36903,30,0,1,0,66,6.6,6,1.61242402873909,124
3,Causal-v3,sparse6,20,Moderate,0.273062310095743,0.144281445020656,0.32636028931671,46343,36994,30,0,1,0,66,6.6,6,1.61242402873909,124
1,P10,geometric,20,Moderate,0.16985125163465,0.155864365728126,0.421076197790623,18000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
2,P10,geometric,20,Moderate,0.168835609128527,0.15540115046927,0.418707003524521,18000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
3,P10,geometric,20,Moderate,0.169017418539866,0.154922797456857,0.417148689761237,18000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
1,P20,geometric,20,Moderate,0.128745452489153,0.118499545867393,0.463496778197877,36000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
2,P20,geometric,20,Moderate,0.128454001390161,0.118232515894641,0.464003738907047,36000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
3,P20,geometric,20,Moderate,0.128548738871849,0.11827974568574,0.46211376370999,36000,0,30,0,1,0,35,3.5,1,0.696473718148361,60
1,State-event,geometric,20,Moderate,0.297314451371768,0.278363003330306,0.286115878502264,7241,0,30,0,1,0,35,3.5,1,0.696473718148361,60
2,State-event,geometric,20,Moderate,0.297798739433853,0.277447471995156,0.287959243240581,7249,0,30,0,1,0,35,3.5,1,0.696473718148361,60
3,State-event,geometric,20,Moderate,0.298790406899197,0.281361792310021,0.268319738688702,7247,0,30,0,1,0,35,3.5,1,0.696473718148361,60
1,Causal-v3,geometric,20,Moderate,0.155225520809925,0.142462912503784,0.436667170761112,23706,18815,30,0,1,0,35,3.5,1,0.696473718148361,60
2,Causal-v3,geometric,20,Moderate,0.154679617225185,0.141700272479564,0.437028296147214,23656,18821,30,0,1,0,35,3.5,1,0.696473718148361,60
3,Causal-v3,geometric,20,Moderate,0.155490473494541,0.142098092643052,0.434088378238554,23787,18841,30,0,1,0,35,3.5,1,0.696473718148361,60
1,P10,ring2,50,Moderate,0.19297998760892,0.154967989189429,0.400218166072865,36900,0,30,0,1,0,73,2.92,2,0.450388976413079,123
2,P10,ring2,50,Moderate,0.193022212773295,0.154942882671333,0.403142604039905,36900,0,30,0,1,0,73,2.92,2,0.450388976413079,123
3,P10,ring2,50,Moderate,0.19331172496714,0.155337202690828,0.404713471451079,36900,0,30,0,1,0,73,2.92,2,0.450388976413079,123
1,P20,ring2,50,Moderate,0.14781072294406,0.118200231866079,0.447433278500262,73800,0,30,0,1,0,73,2.92,2,0.450388976413079,123
2,P20,ring2,50,Moderate,0.147581643534245,0.118093603006875,0.448731221380649,73800,0,30,0,1,0,73,2.92,2,0.450388976413079,123
3,P20,ring2,50,Moderate,0.147736214933174,0.118305236185877,0.449840116834547,73800,0,30,0,1,0,73,2.92,2,0.450388976413079,123
1,State-event,ring2,50,Moderate,0.331290586429255,0.275001956831557,0.26556332988358,14544,0,30,0,1,0,73,2.92,2,0.450388976413079,123
2,State-event,ring2,50,Moderate,0.333146420242312,0.277581577723134,0.248819362950092,14554,0,30,0,1,1,73,2.92,2,0.450388976413079,123
3,State-event,ring2,50,Moderate,0.334285605690547,0.277898658278136,0.285489670662916,14530,0,30,0,1,0,73,2.92,2,0.450388976413079,123
1,Causal-v3,ring2,50,Moderate,0.175852844914002,0.140903760808725,0.421277675808667,48522,38696,30,0,1,0,73,2.92,2,0.450388976413079,123
2,Causal-v3,ring2,50,Moderate,0.175456711751472,0.140622863176861,0.420404526355999,48543,38723,30,0,1,0,73,2.92,2,0.450388976413079,123
3,Causal-v3,ring2,50,Moderate,0.175197891673116,0.140652252571572,0.420882315464036,48507,38803,30,0,1,0,73,2.92,2,0.450388976413079,123
1,P10,sparse4,50,Moderate,0.311831594044356,0.154701854751542,0.336131166360579,66300,0,30,0,1,0,123,4.92,4,0.515342416053559,221
2,P10,sparse4,50,Moderate,0.3129196661266,0.154922139889282,0.336554384310918,66300,0,30,0,1,0,123,4.92,4,0.515342416053559,221
3,P10,sparse4,50,Moderate,0.312655340456881,0.155255855433768,0.332458836167996,66300,0,30,0,1,0,123,4.92,4,0.515342416053559,221
1,P20,sparse4,50,Moderate,0.239983777745623,0.118096218575462,0.399247270921614,132600,0,30,0,1,0,123,4.92,4,0.515342416053559,221
2,P20,sparse4,50,Moderate,0.240325570605688,0.118209813374102,0.3992373836901,132600,0,30,0,1,0,123,4.92,4,0.515342416053559,221
3,P20,sparse4,50,Moderate,0.240095528175824,0.118224773036441,0.397018743944892,132600,0,30,0,1,0,123,4.92,4,0.515342416053559,221
1,State-event,sparse4,50,Moderate,0.547084890070975,0.299980807246395,0.143345968766697,22995,0,30,0,1,1,123,4.92,4,0.515342416053559,221
2,State-event,sparse4,50,Moderate,0.551555651009116,0.303013344511982,0.115805841999303,22953,0,30,0,1,1,123,4.92,4,0.515342416053559,221
3,State-event,sparse4,50,Moderate,0.548330939935331,0.303112390628018,0.135024126391229,22904,0,30,0,1,1,123,4.92,4,0.515342416053559,221
1,Causal-v3,sparse4,50,Moderate,0.292959812273314,0.143770122595255,0.352378019322764,81894,65757,30,0,1,0,123,4.92,4,0.515342416053559,221
2,Causal-v3,sparse4,50,Moderate,0.294233269323576,0.144264202432178,0.353157597812775,82208,65622,30,0,1,0,123,4.92,4,0.515342416053559,221
3,Causal-v3,sparse4,50,Moderate,0.293868250509787,0.144231406249358,0.352956204203718,82070,65619,30,0,1,0,123,4.92,4,0.515342416053559,221
1,P10,sparse6,50,Moderate,0.3864997639084,0.154850648740529,0.292430693477187,95700,0,30,0,1,0,171,6.84,6,0.672690653244867,319
2,P10,sparse6,50,Moderate,0.387740009235672,0.155366281436938,0.29322305706018,95700,0,30,0,1,0,171,6.84,6,0.672690653244867,319
3,P10,sparse6,50,Moderate,0.386218633918259,0.154567919161549,0.298136670077354,95700,0,30,0,1,0,171,6.84,6,0.672690653244867,319
1,P20,sparse6,50,Moderate,0.300043150171826,0.118075132609568,0.365739864441659,191400,0,30,0,1,0,171,6.84,6,0.672690653244867,319
2,P20,sparse6,50,Moderate,0.300156853732748,0.118169717469727,0.366305845832801,191400,0,30,0,1,0,171,6.84,6,0.672690653244867,319
3,P20,sparse6,50,Moderate,0.299704232967773,0.11804130756024,0.366858790552168,191400,0,30,0,1,0,171,6.84,6,0.672690653244867,319
1,State-event,sparse6,50,Moderate,0.687902812183033,0.327477243543203,0.0438145919331207,29451,0,30,0,1,1,171,6.84,6,0.672690653244867,319
2,State-event,sparse6,50,Moderate,0.681056801503699,0.326279016795789,0.0508259425551796,29663,0,30,0,1,1,171,6.84,6,0.672690653244867,319
3,State-event,sparse6,50,Moderate,0.693196481677294,0.329717669032712,0.0318598902288335,29390,0,30,0,1,1,171,6.84,6,0.672690653244867,319
1,Causal-v3,sparse6,50,Moderate,0.367476883427069,0.14436778761969,0.310574825109402,117133,93509,30,0,1,0,171,6.84,6,0.672690653244867,319
2,Causal-v3,sparse6,50,Moderate,0.367296342318595,0.144186020687947,0.31154061293868,116946,93379,30,0,1,0,171,6.84,6,0.672690653244867,319
3,Causal-v3,sparse6,50,Moderate,0.36754424227495,0.144423023811354,0.309519830350766,117046,93345,30,0,1,0,171,6.84,6,0.672690653244867,319
1,P10,geometric,50,Moderate,0.252237403553334,0.155064506902314,0.372198459545237,54300,0,30,0,1,0,103,4.12,1,0.551304567801108,181
2,P10,geometric,50,Moderate,0.251528010974042,0.154721774780335,0.375408777850381,54300,0,30,0,1,0,103,4.12,1,0.551304567801108,181
3,P10,geometric,50,Moderate,0.251621461155582,0.154895900763244,0.377477376192448,54300,0,30,0,1,0,103,4.12,1,0.551304567801108,181
1,P20,geometric,50,Moderate,0.192307098987356,0.118199677841841,0.428201527028668,108600,0,30,0,1,0,103,4.12,1,0.551304567801108,181
2,P20,geometric,50,Moderate,0.192146111547496,0.118110356732453,0.428431409067747,108600,0,30,0,1,0,103,4.12,1,0.551304567801108,181
3,P20,geometric,50,Moderate,0.192201398663408,0.118167863469172,0.428443724501091,108600,0,30,0,1,0,103,4.12,1,0.551304567801108,181
1,State-event,geometric,50,Moderate,0.440309775047029,0.289734846774153,0.212816356966028,20189,0,30,0,1,1,103,4.12,1,0.551304567801108,181
2,State-event,geometric,50,Moderate,0.439971324961793,0.285645545736924,0.1988638772611,20155,0,30,0,1,1,103,4.12,1,0.551304567801108,181
3,State-event,geometric,50,Moderate,0.446263827112162,0.291704929220548,0.202108810442453,20159,0,30,0,1,1,103,4.12,1,0.551304567801108,181
1,Causal-v3,geometric,50,Moderate,0.233577897249921,0.142896563144504,0.396254822267741,69244,55258,30,0,1,0,103,4.12,1,0.551304567801108,181
2,Causal-v3,geometric,50,Moderate,0.232941622524442,0.142491205885157,0.395697748806397,69157,55246,30,0,1,0,103,4.12,1,0.551304567801108,181
3,Causal-v3,geometric,50,Moderate,0.232759563078494,0.142450359040751,0.397393621525017,69081,55270,30,0,1,0,103,4.12,1,0.551304567801108,181
1,P10,ring2,10,Stressed,0.225676685763561,0.237109742131659,0.310307393186793,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
2,P10,ring2,10,Stressed,0.229682621688728,0.237161078861114,0.303051530389962,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
3,P10,ring2,10,Stressed,0.228843642252748,0.237011017651937,0.302718904759847,6900,0,30,0,1,0,13,2.6,2,0.644325706021918,23
1,P20,ring2,10,Stressed,0.173064742075697,0.179152154168148,0.38239461347156,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
2,P20,ring2,10,Stressed,0.17376188678506,0.17923666232279,0.384047392450915,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
3,P20,ring2,10,Stressed,0.17344933155654,0.179292737827272,0.381486051095962,13800,0,30,0,1,0,13,2.6,2,0.644325706021918,23
1,State-event,ring2,10,Stressed,0.406825185191581,0.43972633574221,0.0173059780435551,2696,0,30,0,1,1,13,2.6,2,0.644325706021918,23
2,State-event,ring2,10,Stressed,0.395512414593198,0.432769024207242,0.126926557427052,2713,0,30,0,1,1,13,2.6,2,0.644325706021918,23
3,State-event,ring2,10,Stressed,0.400315868394093,0.44815345733128,0.0833285526386465,2718,0,30,0,1,1,13,2.6,2,0.644325706021918,23
1,Causal-v3,ring2,10,Stressed,0.184179719327157,0.189876791849307,0.366224640878504,12182,7269,30,0,1,0,13,2.6,2,0.644325706021918,23
2,Causal-v3,ring2,10,Stressed,0.184585220263129,0.190521265252932,0.357394508580692,12191,7305,30,0,1,0,13,2.6,2,0.644325706021918,23
3,Causal-v3,ring2,10,Stressed,0.184436423083692,0.189696718398294,0.363324630628585,12183,7336,30,0,1,0,13,2.6,2,0.644325706021918,23
1,P10,sparse4,10,Stressed,0.259564932092581,0.236765025143439,0.28530246816351,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
2,P10,sparse4,10,Stressed,0.260594438540811,0.234986154493697,0.275924613639981,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
3,P10,sparse4,10,Stressed,0.2611090726774,0.235422564852351,0.279284875426583,12300,0,30,0,1,0,23,4.6,4,2.06456766802997,41
1,P20,sparse4,10,Stressed,0.196902163759016,0.179660397421413,0.357257447990838,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
2,P20,sparse4,10,Stressed,0.195897819400401,0.17789437540152,0.357681265950899,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
3,P20,sparse4,10,Stressed,0.196005245390346,0.177781396070091,0.355322352009008,24600,0,30,0,1,0,23,4.6,4,2.06456766802997,41
1,State-event,sparse4,10,Stressed,0.463433302061971,0.45854345273698,0.0443770469262494,4632,0,30,0,1,1,23,4.6,4,2.06456766802997,41
2,State-event,sparse4,10,Stressed,0.455857684497273,0.452972907113268,0.0261885376902663,4667,0,30,0,1,1,23,4.6,4,2.06456766802997,41
