scenario,scenarioLabel,originalMacType,arm,methodLabel,armKind,schedulerMode,n,nEligible,meanRMSE,safeFailures,divergences,meanOfferedUtil,meanTrueAoI,meanNodeGoodputHz,minNodeGoodputHz,meanMaxStarvationSec,meanMaxVirtualDeficit,meanCollisions,meanEndogenousCollisions,priorityDiffersFifo,fifoComparableDecisions,priorityDiffersFifoFraction
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.0779983374506306,0,0,0.311977777777778,0.111432835820895,9.16944444444445,7.75555555555556,0.494333333333333,92.4666666666667,362.6,362.6,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0521905127296376,0,0,0.233111111111111,0.0689489589091578,11.2261111111111,9.13055555555555,0.274633333333333,14.8,0,0,4351,8751,0.497200319963433
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0529343924544492,0,0,0.228222222222222,0.0701179288741477,10.9383333333333,9.26944444444444,0.259066666666667,15.8666666666667,0,0,4155,8695,0.477860839562967
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.053621897228658,0,0,0.2,0.0710963700018425,9.55888888888889,8.84722222222222,0.2976,14.7333333333333,0,0,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.0467371308453776,0,0,0.25,0.0590882623917449,11.9816666666667,11.1444444444445,0.266666666666667,17.2333333333333,0,0,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.0745851861247358,0,0,0.125,0.10838548000737,5.98222222222222,5.52222222222222,0.437333333333333,9.56666666666667,0,0,0,0,0
n5-moderate-bg0,N5 Moderate bg0 ALOHA,aloha,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.0604659826657881,0,0,0.166666666666667,0.0836815920398009,7.98277777777778,7.39166666666667,0.364,12.1666666666667,0,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.0871398650966328,0,0,0.715188888888847,0.126113138013635,7.7,6.35555555555556,0.6458,133.9,1664.56666666667,269.966666666667,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0689844324336773,0,0,0.588788888888861,0.0965749032614704,9.87722222222222,8.28611111111111,0.435766666666667,76.5,1151.06666666667,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.0871398650966328,0,0,0.715188888888847,0.126113138013635,7.7,6.35555555555556,0.6458,133.9,1664.56666666667,269.966666666667,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0660719489270846,0,0,0.59037777777775,0.092758061544131,9.785,7.79166666666667,0.426733333333333,71.1333333333333,1159.93333333333,0,20537,31008,0.662312951496388
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0664054695818824,0,0,0.58096666666664,0.0926172839506172,9.62166666666667,7.94444444444444,0.438233333333334,69,1141.13333333333,0,16219,29785,0.544535840188014
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.0898916259172297,0,0,0.416933333333324,0.133079049198452,6.86,6.125,0.643333333333333,47.1666666666667,819.8,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,periodic-tdma-p12p5,Periodic TDMA 12.5 Hz,periodic-frontier,round-robin,30,30,0.0774180098539576,0,0,0.523055555555535,0.111441311958725,8.61611111111111,7.75277777777778,0.5295,57.5,1030.53333333333,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,periodic-tdma-p6p25,Periodic TDMA 6.25 Hz,periodic-frontier,round-robin,30,30,0.128838828667254,1,0,0.261611111111111,0.201708494564216,4.28722222222222,3.81666666666667,0.947833333333333,29.7666666666667,516.2,0,0,0,0
n5-moderate-bg30,N5 Moderate bg0.30 CSMA,csma,periodic-tdma-p8p333,Periodic TDMA 8.333 Hz,periodic-frontier,round-robin,30,30,0.104152036067798,0,0,0.348377777777776,0.153353233830846,5.75833333333333,5.14444444444444,0.741766666666667,38.9666666666667,684.666666666667,0,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,capacity-gated-selector,Capacity-gated fixed feedback route,negative-control,native,30,30,0.0944109787840576,0,0,0.337144444444444,0.140701308273447,8.49444444444444,6.30833333333333,0.651833333333334,127,411.833333333333,411.833333333333,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,collision-free-tdma-piggyback,Collision-free TDMA piggyback,scheduled-causal,round-robin,30,30,0.0616661698253702,0,0,0.283766666666667,0.0851914501566242,12.0716666666667,8.38333333333333,0.405466666666666,50.2,0,0,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,frame-piggyback,Frame-aware piggyback,baseline,native,30,30,0.0944109787840576,0,0,0.337144444444444,0.140701308273447,8.49444444444444,6.30833333333333,0.651833333333334,127,411.833333333333,411.833333333333,0,0,0
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,oracle-deficit-maxweight-piggyback,Oracle deficit max-weight piggyback,oracle,deficit-maxweight,30,30,0.0607455017004011,0,0,0.283433333333334,0.0838953381241938,12.1,8.10277777777778,0.413733333333333,48.8666666666667,0,0,8078,11643,0.693807437945547
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,oracle-urgency-maxweight-piggyback,Oracle urgency max-weight piggyback,oracle,urgency-maxweight,30,30,0.0615186511227169,0,0,0.2799,0.0845719550396166,11.915,8.40277777777778,0.4273,48.4333333333333,0,0,5551,11388,0.487442922374429
n5-stressed-bg0,N5 Stressed bg0 ALOHA,aloha,periodic-tdma-p10,Periodic TDMA 10 Hz,periodic-frontier,round-robin,30,30,0.0721133546974593,0,0,0.2,0.102299613045882,8.455,6.8,0.540666666666667,39.1,0,0,0,0,0
