scenario,component,armA,armB,metric,favorableDirection,meanA,meanB,differenceAminusB,ci95Lo,ci95Hi,nPairs,complete,favorableInterval
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MEAN_NODE_GOODPUT_HZ,higher,10.6238888888889,11.915,-1.2911111111111,-1.37243125372969,-1.20979096849252,30,1,0
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.68611111111111,8.40277777777778,0.283333333333333,0.115543166819562,0.451123499847104,30,1,1
n5-stressed-bg0,periodic-frontier-vs-urgency,periodic-tdma-p12p5,oracle-urgency-maxweight-piggyback,MAX_STARVATION_SEC,lower,0.443333333333334,0.4273,0.0160333333333332,-0.0337153832475071,0.0657820499141734,30,1,0
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,RMSE,lower,0.0689844324336773,0.0871398650966328,-0.0181554326629555,-0.0203840811785215,-0.0159267841473895,30,1,1
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,OFFERED_UTIL,lower,0.588788888888861,0.715188888888847,-0.126399999999986,-0.133642413674125,-0.119157586325847,30,1,1
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_TRUE_AOI,lower,0.0965749032614704,0.126113138013635,-0.0295382347521651,-0.033426644425996,-0.0256498250783341,30,1,1
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MEAN_NODE_GOODPUT_HZ,higher,9.87722222222222,7.7,2.17722222222222,2.0536853270724,2.30075911737205,30,1,1
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MIN_NODE_GOODPUT_HZ,higher,8.28611111111111,6.35555555555556,1.93055555555556,1.71387516711719,2.14723594399393,30,1,1
n5-moderate-bg30,access-scheduling,collision-free-tdma-piggyback,frame-piggyback,MAX_STARVATION_SEC,lower,0.435766666666667,0.6458,-0.210033333333334,-0.258673147822806,-0.161393518843861,30,1,1
n5-moderate-bg30,deficit-priority,oracle-deficit-maxweight-piggyback,collision-free-tdma-piggyback,RMSE,lower,0.0660719489270846,0.0689844324336773,-0.00291248350659262,-0.00385237219314589,-0.00197259482003935,30,1,1
