seed,method,mode,scenario,RMSE,MAXERR,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,THRUSTSAT,TORQUESAT,SATURATION,PERDRONEPEAKSAT,CONTROLEFFORT,DATARATE,ACKRATE,TRUEAOI,ESTAOI,HARDRATIO,ADAPTRATIO,REFRESHRATIO,TRACEHASH,ACKTRACEHASH
18,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.61649036505712e+15,9.00016583612707e+15
19,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,2.80046145338505e+15,2.22266347574588e+15
20,State-event,DI,Clean,0.131005932222661,0.178633488612048,0.431719565286794,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,97.4333333333333,NaN,0.129672234727323,NaN,NaN,NaN,NaN,8.79143271531017e+15,726588931220955
1,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.44984809215536e+15,558495175193307
2,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.27656824774691e+15,121591522271195
3,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.45003943553276e+15,544790282182747
4,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,919000135712347,8.87332134921366e+15
5,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.71321765501001e+15,1.32720714833136e+15
6,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.0511403744207e+15,1.95916053258876e+15
7,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,2.42142589291734e+15,1.1694130222566e+15
8,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,2.17681925559292e+15,1.77122241898851e+15
9,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,3.52641823707388e+15,1.43725196717923e+15
10,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,1.42417264048688e+15,905496342827099
11,Causal-v3,DI,Clean,0.0606328220901912,0.084177438210093,0.521600979460944,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,193.033333333333,193.033333333333,0.0599893377561901,0.0799969724492876,0.0637195648419962,0.908824037299257,0.0274563978587463,8.21844410526524e+15,8.86164039925052e+15
