seed,variant,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL
20,A0 Periodic10,Moderate,0.0961980376689954,0.12957720417839,0.472543936203034,0.156056615198305,10,0.803888888888889,0,0,0,0
1,A1 State-event,Moderate,0.166439455888077,0.227070263898878,0.392000946826737,0.273957008779897,4.29444444444444,0.80012936610608,0,0,1,0
2,A1 State-event,Moderate,0.173619019928467,0.24791005568312,0.395611326510434,0.278188010899183,4.29444444444444,0.79366106080207,0,0,1,0
3,A1 State-event,Moderate,0.169460564018606,0.231807892253413,0.403173627080856,0.274954586739328,4.3,0.809431524547804,0,0,1,0
4,A1 State-event,Moderate,0.171662387537986,0.24233859503439,0.379634799423287,0.278826824099303,4.28888888888889,0.794689119170984,0,0,1,0
5,A1 State-event,Moderate,0.171478405111945,0.279072943983601,0.377305721862271,0.274692703602785,4.28333333333333,0.78988326848249,0,0,1,0
6,A1 State-event,Moderate,0.171113851511312,0.242360476897266,0.391576347391468,0.277220708446866,4.29444444444444,0.802069857697283,0,0,1,0
7,A1 State-event,Moderate,0.164012001477687,0.221704197746423,0.394637074095086,0.26969118982743,4.3,0.805555555555556,0,0,1,0
8,A1 State-event,Moderate,0.163741576641534,0.233905864457578,0.394067381249588,0.264975779594308,4.30555555555556,0.813548387096774,0,0,1,0
9,A1 State-event,Moderate,0.170555360591209,0.261921466445608,0.383291084633241,0.27403421132304,4.29444444444444,0.804010349288486,0,0,1,0
10,A1 State-event,Moderate,0.168488198462104,0.240930333110879,0.399599735247331,0.277075386012716,4.28888888888889,0.798575129533679,0,0,1,0
11,A1 State-event,Moderate,0.173760483159594,0.265946124308272,0.372246392854529,0.284409627611263,4.27777777777778,0.8,0,0,1,0
12,A1 State-event,Moderate,0.167359828874396,0.231809261035598,0.374956228055639,0.277962458371178,4.29444444444444,0.805950840879689,0,0,1,0
13,A1 State-event,Moderate,0.16406749987871,0.227362505933312,0.381679260139557,0.268630033303058,4.30555555555556,0.80258064516129,0,0,1,0
14,A1 State-event,Moderate,0.164808996515278,0.220572002077237,0.387956650919899,0.273617923100212,4.29444444444444,0.813712807244502,0,0,1,0
15,A1 State-event,Moderate,0.167939522706069,0.232142223650176,0.384592162816201,0.275366333636088,4.28888888888889,0.798575129533679,0,0,1,0
16,A1 State-event,Moderate,0.16574972110841,0.228841919367849,0.404499782342977,0.269632152588556,4.29444444444444,0.807891332470893,0,0,1,0
17,A1 State-event,Moderate,0.166028956525714,0.23191618897202,0.397633800471982,0.273866182258553,4.29444444444444,0.811125485122898,0,0,1,0
18,A1 State-event,Moderate,0.168652121585634,0.270831737285117,0.353046339019256,0.273157735392068,4.30555555555556,0.805806451612903,0,0,1,0
19,A1 State-event,Moderate,0.166288216746085,0.234732717111882,0.396008547084818,0.266733272782319,4.31111111111111,0.811855670103093,0,0,1,0
20,A1 State-event,Moderate,0.164872510677131,0.225130100169829,0.390079118685272,0.277122313048743,4.29444444444444,0.821474773609314,0,0,1,0
1,A2 AoI-fixed,Moderate,0.112373090251103,0.145279747046988,0.461669412558179,0.184774447471995,7.45833333333333,0.795530726256983,0,0,1,0
2,A2 AoI-fixed,Moderate,0.115838780989116,0.154798987308857,0.45069117750439,0.188322736905843,7.49444444444444,0.788732394366197,0,0,1,0
3,A2 AoI-fixed,Moderate,0.112632413698224,0.148728888719739,0.463516300724231,0.185843172873145,7.44444444444444,0.801865671641791,0,0,1,0
4,A2 AoI-fixed,Moderate,0.11439064685138,0.155160810335984,0.458245646507719,0.183580078716319,7.47777777777778,0.790861812778603,0,0,1,0
5,A2 AoI-fixed,Moderate,0.111915440421371,0.146110767963619,0.46675862490542,0.18248561913412,7.45,0.800521998508576,0,0,1,0
