seed,scenario,scenarioLabel,N,candidateCount,admittedCandidateCount,eligibleCandidateCount,ACK_STANDALONE,ACK_ENTRIES_DELIVERED,ADAPTIVE_ACK_PERMITTED,DIVERGED,INVARIANT_VIOLATIONS,MAX_QUEUE,MAX_HISTORY,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
16019029,n5-aloha,N5 ALOHA,5,276,276,99,276,367,276,0,0,2,32,667365499650,21208992663,153304608
16019030,n5-csma,N5 CSMA,5,70,70,28,70,750,70,0,0,2,32,666583080829,21201899490,152862102
16019030,n10-ring2,N10 ring2,10,72,72,22,72,1720,72,0,0,2,32,2585324241017,84916140285,161813378
16019030,n20-ring2,N20 ring2,20,1,1,0,1,2005,1,0,0,2,32,10199847726244,339940145525,187625242
16019030,n5-aloha,N5 ALOHA,5,339,339,94,339,439,339,0,0,2,32,666583080829,21201899490,153304610
16019031,n5-csma,N5 CSMA,5,63,63,23,63,727,63,0,0,2,32,666902661949,21193520442,152862104
16019031,n10-ring2,N10 ring2,10,66,66,22,66,1641,66,0,0,2,32,2585387981658,84889950572,161813380
16019031,n20-ring2,N20 ring2,20,1,1,0,1,1915,1,0,0,2,32,10198381461490,339918875108,187625244
16019031,n5-aloha,N5 ALOHA,5,359,359,117,359,436,359,0,0,2,32,666902661949,21193520442,153304612
16019032,n5-csma,N5 CSMA,5,64,64,19,64,748,64,0,0,2,32,667209152154,21193743097,152862106
16019032,n10-ring2,N10 ring2,10,88,88,41,88,1739,88,0,0,2,32,2586096760639,84913731302,161813382
16019032,n20-ring2,N20 ring2,20,0,0,0,0,1861,0,0,0,1,32,10199874293668,339945511531,187625246
16019032,n5-aloha,N5 ALOHA,5,305,305,96,305,390,305,0,0,2,32,667209152154,21193743097,153304614
16019033,n5-csma,N5 CSMA,5,65,65,28,65,736,65,0,0,2,32,667462775893,21203184309,152862108
16019033,n10-ring2,N10 ring2,10,92,92,41,92,1667,92,0,0,2,32,2586717000213,84930313268,161813384
16019033,n20-ring2,N20 ring2,20,2,2,0,2,1908,2,0,0,2,32,10201572400266,339893716930,187625248
16019033,n5-aloha,N5 ALOHA,5,318,318,97,318,427,318,0,0,2,32,667462775893,21203184309,153304616
16019034,n5-csma,N5 CSMA,5,60,60,22,60,733,60,0,0,2,32,667127198211,21200487619,152862110
16019034,n10-ring2,N10 ring2,10,100,100,40,100,1633,100,0,0,2,32,2586214028194,84905952171,161813386
16019034,n20-ring2,N20 ring2,20,2,2,1,2,1928,2,0,0,2,32,10199413335197,339884241375,187625250
16019034,n5-aloha,N5 ALOHA,5,355,355,120,355,431,355,0,0,2,32,667127198211,21200487619,153304618
16019035,n5-csma,N5 CSMA,5,55,55,18,55,746,55,0,0,2,32,667281893463,21183983525,152862112
16019035,n10-ring2,N10 ring2,10,77,77,31,77,1641,77,0,0,2,32,2586169852918,84940663276,161813388
16019035,n20-ring2,N20 ring2,20,2,2,0,2,1929,2,0,0,2,32,10200824166808,339936749369,187625252
16019035,n5-aloha,N5 ALOHA,5,326,326,107,326,418,326,0,0,2,32,667281893463,21183983525,153304620
16019036,n5-csma,N5 CSMA,5,66,66,20,66,749,66,0,0,2,32,666874072564,21187173293,152862114
16019036,n10-ring2,N10 ring2,10,73,73,35,73,1678,73,0,0,2,32,2588186460317,84887834097,161813390
16019036,n20-ring2,N20 ring2,20,0,0,0,0,1801,0,0,0,1,32,10202274500836,339941492947,187625254
16019036,n5-aloha,N5 ALOHA,5,309,309,108,309,419,309,0,0,2,32,666874072564,21187173293,153304622
16019037,n5-csma,N5 CSMA,5,67,67,26,67,745,67,0,0,2,32,666859846377,21206655069,152862116
16019037,n10-ring2,N10 ring2,10,90,90,34,90,1688,90,0,0,2,32,2585473049921,84945198947,161813392
16019037,n20-ring2,N20 ring2,20,1,1,0,1,1796,1,0,0,2,32,10199971583701,339911969952,187625256
16019037,n5-aloha,N5 ALOHA,5,305,305,114,304,359,305,0,0,2,32,666859846377,21206655069,153304624
16019038,n5-csma,N5 CSMA,5,58,58,22,58,746,58,0,0,2,32,666724284009,21217184301,152862118
16019038,n10-ring2,N10 ring2,10,87,87,38,87,1657,87,0,0,2,32,2586395383792,84903881728,161813394
16019038,n20-ring2,N20 ring2,20,0,0,0,0,1994,0,0,0,1,32,10199689880175,339903334952,187625258
16019038,n5-aloha,N5 ALOHA,5,312,312,116,312,403,312,0,0,2,32,666724284009,21217184301,153304626
16019039,n5-csma,N5 CSMA,5,60,60,25,60,737,60,0,0,2,32,666918207054,21219691301,152862120
16019039,n10-ring2,N10 ring2,10,75,75,30,75,1688,75,0,0,2,32,2587105718473,84903396452,161813396
16019039,n20-ring2,N20 ring2,20,2,2,0,2,1831,2,0,0,2,32,10202165847251,339868899682,187625260
16019039,n5-aloha,N5 ALOHA,5,318,318,130,318,408,318,0,0,2,32,666918207054,21219691301,153304628
16019040,n5-csma,N5 CSMA,5,61,61,24,61,730,61,0,0,2,32,666641529840,21199800117,152862122
16019040,n10-ring2,N10 ring2,10,79,79,28,79,1690,79,0,0,2,32,2586477718545,84912784046,161813398
16019040,n20-ring2,N20 ring2,20,2,2,0,2,1944,2,0,0,2,32,10200864740849,339901560750,187625262
16019040,n5-aloha,N5 ALOHA,5,294,294,102,294,352,294,0,0,2,32,666641529840,21199800117,153304630
16019041,n5-csma,N5 CSMA,5,58,58,19,58,738,58,0,0,2,32,666980622035,21201068987,152862124
16019041,n10-ring2,N10 ring2,10,76,76,32,76,1671,76,0,0,2,32,2586306887515,84911287653,161813400
16019041,n20-ring2,N20 ring2,20,0,0,0,0,1841,0,0,0,1,32,10201763651820,339893838037,187625264
16019041,n5-aloha,N5 ALOHA,5,281,281,89,281,370,281,0,0,2,32,666980622035,21201068987,153304632
16019042,n5-csma,N5 CSMA,5,62,62,24,62,748,62,0,0,2,32,666837918011,21190860546,152862126
16019042,n10-ring2,N10 ring2,10,89,89,34,89,1688,89,0,0,2,32,2586110448981,84906001636,161813402
16019042,n20-ring2,N20 ring2,20,2,2,0,2,1888,2,0,0,2,32,10199460128026,339844946029,187625266
16019042,n5-aloha,N5 ALOHA,5,300,300,99,300,401,300,0,0,2,32,666837918011,21190860546,153304634
