seed,scenario,scenarioLabel,N,candidateOrdinal,selectionRank,decisionTime,windowEnd,realizedHorizon,node,nEntries,entryHash,pendingAge,localBusy,forced,queueDepth,preNetworkHash,preContextHash,actualTargetReached,shadowTargetReached,actualTargetAdmitted,shadowTargetAdmitted,suppressedEntries,actualConfirmedEntries,shadowConfirmedEntries,positiveLeadEntries,actualCensoredEntries,shadowCensoredEntries,meanLeadSeconds,maxLeadSeconds,ackAirtimeCost,dataAirtimeSaved,netAirtimeBenefit,accountingResidual,dataAttemptsSaved,collisionsSaved,trueAoIIntegralBenefit,estimatedAoIIntegralBenefit,controlLossIntegralBenefit,minimumSeparationBenefit,actualInvariantViolations,shadowInvariantViolations,actualDiverged,shadowDiverged,TRACE_HASH_EXACT,CHANNEL_STATE_HASH
16019017,n5-aloha,N5 ALOHA,5,160,7,8.037,8.8,0.763,2,2,1468231,0.0200000000000014,0.308560693302291,0,0,344395041,631376032,1,1,1,0,2,2,2,2,0,0,0.0639999999999992,0.104999999999999,0.003,0.135999999999985,0.132999999999985,-1.11022302462516e-16,34,42,-0.0015555555555555,0.0399777777777779,8.77013137449161e-06,0,0,0,0,0,667414963560,21201322020
16019023,n5-aloha,N5 ALOHA,5,156,8,8.05,8.8,0.75,2,2,1807789,0.0200000000000014,0.504425645795834,0,0,394532157,625451369,1,1,1,0,2,2,2,2,0,0,0.494999999999999,0.494999999999999,-0.002,-0.0559999999999938,-0.0539999999999932,6.66133814775094e-16,-14,-24,-0.014911111111111,-0.0491999999999999,-0.000132709058867192,-0.000294757565185155,0,0,0,0,666831379887,21199201132
16019020,n5-aloha,N5 ALOHA,5,166,9,8.033,8.8,0.767000000000001,4,1,1612284,0.0199999999999996,0.447389455255523,0,0,335368813,626164542,1,1,1,0,1,1,1,1,0,0,0.253,0.253,0.003,0.035999999999996,0.0329999999999959,-1.11022302462516e-16,9,8,-0.00768888888888912,0.0136222222222221,0.000119899502780382,0.00301568796094515,0,0,0,0,667316981612,21208607534
16019012,n5-aloha,N5 ALOHA,5,175,10,8.194,8.96,0.766,3,1,1736487,0.0200000000000014,0.509227919429965,0,0,380298138,630522711,1,1,1,0,1,1,1,0,0,0,0,0,0.00900000000000001,-0.0239999999999974,-0.0329999999999977,-3.33066907387547e-16,-6,-14,0.00446666666666662,0.0430444444444445,-4.1238090408789e-05,-0.00531970674004811,0,0,0,0,666773976451,21203572104
16019027,n5-aloha,N5 ALOHA,5,167,11,8.054,8.82,0.766,5,2,2933414,0.0199999999999996,0.424333735822073,0,0,368029918,625829456,1,1,1,0,2,2,2,2,0,0,0.0454999999999988,0.0729999999999986,0.004,0,-0.00400000000000045,-4.44089209850063e-16,0,0,0,0.00286666666666669,0,0,0,0,0,0,667554834464,21210937754
16019003,n5-aloha,N5 ALOHA,5,186,12,8.041,8.8,0.759,4,2,2162015,0.0199999999999996,0.387704594887619,0,0,364896632,625170319,1,1,1,0,2,2,2,1,0,0,0.00900000000000034,0.0180000000000007,0.01,0.119999999999987,0.109999999999987,2.22044604925031e-16,30,37,0.019777777777778,0.0291333333333336,9.01981572685227e-05,1.62266583725312e-07,0,0,0,0,666646591799,21189915343
16019022,n5-aloha,N5 ALOHA,5,172,13,8.04,8.8,0.76,5,2,1468184,0.0200000000000014,0.361195207415004,0,0,353772910,627512187,1,1,1,0,2,2,2,0,0,0,0,0,0.00499999999999998,-0.0159999999999982,-0.0209999999999981,8.32667268468867e-17,-4,-8,0.000133333333333344,-0.00511111111111108,7.64662946611109e-07,0.000108740678211316,0,0,0,0,666681134096,21200409140
16019037,n5-aloha,N5 ALOHA,5,161,14,8.035,8.8,0.765000000000001,2,1,1612443,0.0199999999999996,0.429069361868179,0,0,340259367,624557223,1,1,1,0,1,1,1,1,0,0,0.00300000000000011,0.00300000000000011,0.002,0.063999999999993,0.0619999999999923,-6.66133814775094e-16,16,18,0.00317777777777778,0.0155111111111111,3.32416087136056e-05,-0.000714383258433871,0,0,0,0,666859846377,21206655069
16019007,n5-aloha,N5 ALOHA,5,184,15,8.053,8.82,0.766999999999999,4,3,1972456,0.0200000000000014,0.397404560980732,0,0,355039206,629822340,1,1,1,0,3,3,2,1,0,1,0.214666666666667,0.644,0.026,0.223999999999975,0.197999999999976,2.22044604925031e-16,56,58,0.036422222222222,0.0693111111111109,0.000245782996538704,0.00420838887954372,0,0,0,0,666091942711,21189536048
16019054,n5-aloha,N5 ALOHA,5,150,16,8.046,8.8,0.754000000000001,2,1,1612433,0.0199999999999996,0.391170070186492,0,0,345761347,626278113,1,1,1,0,1,1,1,0,0,0,0,0,-0.003,0.00799999999999912,0.0109999999999992,1.11022302462516e-16,2,7,-0.00368888888888904,-0.00164444444444479,-9.7996627751361e-06,0.000307679023779872,0,0,0,0,667346927867,21202496827
16019005,n5-aloha,N5 ALOHA,5,187,17,8.034,8.8,0.766,4,2,2162212,0.0200000000000014,0.317756457445343,0,0,338022095,631408611,1,1,1,0,2,2,2,2,0,0,0.048,0.048,0.002,0.147999999999984,0.145999999999984,2.22044604925031e-16,37,50,0.0203555555555555,0.075911111111111,4.68321615418148e-05,0.000926501158004522,0,0,0,0,666823558258,21198788005
16019026,n5-aloha,N5 ALOHA,5,174,18,8.004,8.76,0.756,5,1,1847808,0.0199999999999996,0.42948981170536,0,0,418871630,629985772,1,1,1,0,1,1,1,1,0,0,0.0310000000000006,0.0310000000000006,0.002,-0.0159999999999982,-0.017999999999998,2.22044604925031e-16,-4,-8,-0.00173333333333333,-0.00035555555555557,-2.77415125104291e-05,-0.000804084287435947,0,0,0,0,666961259936,21209872034
16019047,n5-aloha,N5 ALOHA,5,196,19,8.735,9.5,0.765000000000001,4,1,1630800,0.0199999999999996,0.249590871923682,0,0,337360019,633990084,1,1,1,0,1,1,0,1,0,1,0.757999999999999,0.757999999999999,0.019,0.151999999999983,0.132999999999983,-1.11022302462516e-16,38,38,0.0442666666666666,0.0799777777777778,5.0512628539501e-05,-5.72119129849114e-10,0,0,0,0,666863955668,21188669107
