cell,contrast,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,CHANNEL_UTIL,0.550569444444479,0.707972222222269,-22.2329030486133,-0.15740277777779,-0.166766409521862,-0.148039146033718,12,0,0
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,COLLISION_FRAMES,492.75,1683.83333333333,-70.7364149262595,-1191.08333333333,-1258.39679614614,-1123.76987052053,12,0,0
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,DATA_ATTEMPTED,1861.58333333333,2561.91666666667,-27.3363041993299,-700.333333333333,-764.813088759742,-635.853577906925,12,0,0
n10-ring2,selected_vs_frozen,a1-g0-s1,a0-g0-s0,ACK_ATTEMPTED,84.25,919.166666666667,-90.8340888485947,-834.916666666667,-853.314398788796,-816.518934544538,12,0,0
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,RMSE,0.0908628057924786,0.0903058428733434,0.616751808536203,0.00055696291913521,-0.000640456651270008,0.00175438248954043,12,0,1
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,MEAN_TRUE_AOI,0.0816891731817104,0.0814925373134327,0.241293098435938,0.000196635868277651,-0.000626531586144474,0.00101980332269978,12,0,1
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,OFFERED_UTIL,0.652249999999966,0.634340277777746,2.82336197930902,0.01790972222222,0.00736609122009462,0.0284533532243454,12,0,0
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,CHANNEL_UTIL,0.55984722222226,0.550569444444479,1.68512398779091,0.00927777777778107,0.00400563747919515,0.014549918076367,12,0,0
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,COLLISION_FRAMES,536.583333333333,492.75,8.8956536445121,43.8333333333333,11.5505123882799,76.1161542783868,12,0,0
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,DATA_ATTEMPTED,1919.16666666667,1861.58333333333,3.09324499753795,57.5833333333333,24.6827395929713,90.4839270736954,12,0,0
n10-ring2,guard_at_adaptive_scaled,a1-g1-s1,a1-g0-s1,ACK_ATTEMPTED,76.6666666666667,84.25,-9.00098911968348,-7.58333333333333,-11.9974451290537,-3.16922153761301,12,0,0
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,RMSE,0.0984770377981842,0.0970011271916921,1.52153964517897,0.00147591060649208,0.000342952744930741,0.00260886846805341,12,0,0
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,MEAN_TRUE_AOI,0.0889958935481322,0.0877552712627338,1.41372964557765,0.00124062228539838,0.000398318056585887,0.00208292651421087,12,0,0
n10-ring2,guard_at_hybrid_scaled,a0-g1-s1,a0-g0-s1,OFFERED_UTIL,0.730465277777744,0.728104166666633,0.324282049081062,0.00236111111111101,-0.00760105868739519,0.0123232809096172,12,0,1
