seed,method,fault,topology,scenario,RMSE,MINEVAL,PEAKERR,RECOVERY,PEAKAOI,NDATA,NACK,MISSION,SAFEFAIL,MINSEPFAULT,TXFAULT,CONNECTED,ISOLATED,LAMBDA2
17,P10,none,ring2,Stressed,0.268211263177375,0.304728207030413,0.344294537283562,NaN,0.343333333333334,14400,0,30,0,0.304728207030413,480,1,0,0.498132719947257
18,P10,none,ring2,Stressed,0.270896824042212,0.272869592040598,0.349940667132402,NaN,0.334999999999999,14400,0,30,0,0.272869592040598,480,1,0,0.498132719947257
19,P10,none,ring2,Stressed,0.265722998680453,0.30887355942288,0.350070289286538,NaN,0.3225,14400,0,30,0,0.30887355942288,480,1,0,0.498132719947257
20,P10,none,ring2,Stressed,0.268273221716253,0.30484013615335,0.359579776253671,NaN,0.312083333333333,14400,0,30,0,0.30484013615335,480,1,0,0.498132719947257
1,P20,none,ring2,Stressed,0.206973413437696,0.37659040434325,0.278853764823412,NaN,0.221250000000004,28800,0,30,0,0.37659040434325,960,1,0,0.498132719947257
2,P20,none,ring2,Stressed,0.205418912170383,0.371777189452362,0.275539474385214,NaN,0.224583333333333,28800,0,30,0,0.371777189452362,960,1,0,0.498132719947257
3,P20,none,ring2,Stressed,0.204998358941565,0.375207713339704,0.279623779044518,NaN,0.22208333333333,28800,0,30,0,0.375207713339704,960,1,0,0.498132719947257
4,P20,none,ring2,Stressed,0.204084335774328,0.379965685175353,0.276053883472316,NaN,0.224999999999997,28800,0,30,0,0.379965685175353,960,1,0,0.498132719947257
5,P20,none,ring2,Stressed,0.206440060824792,0.374096257757416,0.277825180908538,NaN,0.225,28800,0,30,0,0.374096257757416,960,1,0,0.498132719947257
6,P20,none,ring2,Stressed,0.204772094316534,0.373768793631423,0.274172942764175,NaN,0.227916666666666,28800,0,30,0,0.373768793631423,960,1,0,0.498132719947257
7,P20,none,ring2,Stressed,0.205494968821951,0.374767037015125,0.284368288692603,NaN,0.221249999999998,28800,0,30,0,0.374767037015125,960,1,0,0.498132719947257
