seed,arm,kind,condition,dataLoss,controlLoss,traceHash,geometryHash,selectorHash,scheduleHash,kernelTraceHash,kernelStateHash,interferenceEventHash,RMSE,MINSEP,SAFEFAIL,DIVERGED,TOTAL_COST,DATA_AIRTIME,MANAGEMENT_AIRTIME,DATA_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,COLLISION_FRAMES,BACKGROUND_COLLISION_FRAMES,graphAdmissible,graphLocalOnly,graphAddedEdges,graphRemovedEdges,oldSlot,newSlot,eventFrame,eligibleFrame,reacquired,firstReacquiredFrame,finalSuppressed,controlAttempts,controlBytes,controlAirtime,expectedControlAttempts,expectedControlAirtime,expectedDataSuccess,expectedDataErasure,expectedDataCollision,observedDataSuccess,observedDataErasure,observedDataCollision,dataOutcomeMismatches,dataSkippedNoQueue,crossPlaneOverlaps,clockConflictFree,clockResidual,futureRandomReads,receiverTruthReads,suppressionHash,reacquisitionHash,revokeBlackout,responseBlackout,geometryCoupledToPlant
16086006,periodic-zero,periodic,zero,0,0,865838,2363678,564740,NaN,NaN,NaN,509155,0.0631249935994398,0.528825892065193,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086006,migration-zero,migration,zero,0,0,865838,2363678,564740,3437683389,1830117768,149454640,509155,0.0614773293774877,0.531327169681077,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086006,periodic-iid20,periodic,iid20,0.2,0,865838,2363678,564740,NaN,NaN,NaN,509155,0.0816430562861056,0.499993275237194,0,0,0.255999999999998,3.07199999999997,0,1000,2056,544,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086006,migration-iid20,migration,iid20,0.2,0.2,865838,2363678,564740,1181816068,19436612425,150242149,509155,0.0851508181506059,0.497586271439901,0,0,0.243439999999998,2.74943999999998,0.17184,895,1845,485,0,0,1,1,1,0,7,9,47,50,1,52,0,191,5370,0.17184,191,0.17184,1845,485,0,1845,485,0,0,0,0,1,0,0,0,29545,29348,0,0,0
16086006,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,865838,2363678,564740,1181278899,19429842798,150242149,509155,0.0851508181506059,0.497586271439901,0,0,0.243439999999998,2.74943999999998,0.17184,895,1845,485,0,0,1,1,1,0,7,9,47,50,1,52,0,191,5370,0.17184,191,0.17184,1845,485,0,1845,485,0,0,0,0,1,0,0,0,29545,29348,1,0,0
16086006,migration-iid20-response-blackout,migration,iid20,0.2,0.2,865838,2363678,564740,1124867553,19224183153,178868276,509155,0.176601721954775,0.165622305169635,1,0,0.249578666666665,2.62963199999998,0.365312,856,1783,469,0,0,1,1,1,0,7,9,47,50,0,NaN,1,386,11416,0.365312,386,0.365312,1783,469,0,1783,469,0,0,0,0,1,0,0,0,32353,29295,0,1,0
16086007,periodic-zero,periodic,zero,0,0,862291,2363678,564740,NaN,NaN,NaN,509155,0.0631623100549601,0.528607499059257,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086007,migration-zero,migration,zero,0,0,862291,2363678,564740,3423457823,1830117768,149454640,509155,0.0614406136243474,0.531109152631378,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,1.38777878078145e-17,0,0,29442,29346,0,0,0
16086007,periodic-iid20,periodic,iid20,0.2,0,862291,2363678,564740,NaN,NaN,NaN,509155,0.0821708480851945,0.509539618673399,0,0,0.255999999999998,3.07199999999997,0,1000,2105,495,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086007,migration-iid20,migration,iid20,0.2,0.2,862291,2363678,564740,1183048164,19357182009,149940901,509155,0.0842518315654647,0.506799387151693,0,0,0.243594666666665,2.75251199999997,0.170624,896,1883,449,0,0,1,1,1,0,7,9,47,50,1,51,0,190,5332,0.170624,190,0.170624,1883,449,0,1883,449,0,0,0,0,1,1.38777878078145e-17,0,0,29493,29347,0,0,0
16086007,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,862291,2363678,564740,1183415667,19351363754,149940901,509155,0.0842518315654647,0.506799387151693,0,0,0.243594666666665,2.75251199999997,0.170624,896,1883,449,0,0,1,1,1,0,7,9,47,50,1,51,0,190,5332,0.170624,190,0.170624,1883,449,0,1883,449,0,0,0,0,1,1.38777878078145e-17,0,0,29493,29347,1,0,0
16086007,migration-iid20-response-blackout,migration,iid20,0.2,0.2,862291,2363678,564740,1124206764,19160442843,180460002,509155,0.180411865648628,0.165666280554076,1,0,0.250607999999998,2.62963199999998,0.377664,856,1814,438,0,0,1,1,1,0,7,9,47,50,0,NaN,1,397,11802,0.377664,397,0.377664,1814,438,0,1814,438,0,0,0,0,1,1.38777878078145e-17,0,0,32353,29295,0,1,0
16086008,periodic-zero,periodic,zero,0,0,1163205,2363678,564740,NaN,NaN,NaN,509155,0.0629895757450311,0.528885552423186,0,0,0.255999999999998,3.07199999999997,0,1000,2600,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086008,migration-zero,migration,zero,0,0,1163205,2363678,564740,3431887084,1830117768,149454640,509155,0.0614813601709824,0.531190619876794,0,0,0.243706666666665,2.75558399999997,0.168896,897,2334,0,0,0,1,1,1,0,7,9,47,50,1,50,0,188,5278,0.168896,188,0.168896,2334,0,0,2334,0,0,0,0,0,1,0,0,0,29442,29346,0,0,0
16086008,periodic-iid20,periodic,iid20,0.2,0,1163205,2363678,564740,NaN,NaN,NaN,509155,0.0816963604864574,0.509060274653325,0,0,0.255999999999998,3.07199999999997,0,1000,2096,504,0,0,NaN,NaN,NaN,NaN,NaN,NaN,47,50,NaN,NaN,NaN,0,NaN,0,0,0,NaN,NaN,NaN,0,0,0,0,0,0,NaN,NaN,0,0,NaN,NaN,0,0,0
16086008,migration-iid20,migration,iid20,0.2,0.2,1163205,2363678,564740,1176369852,19378898943,149918647,509155,0.0858121353238057,0.506818347761241,0,0,0.243183999999998,2.74022399999998,0.177984,892,1836,488,0,0,1,1,1,0,7,9,47,50,1,55,0,197,5562,0.177984,197,0.177984,1836,488,0,1836,488,0,0,0,0,1,0,0,0,29707,29351,0,0,0
16086008,migration-iid20-revoke-blackout,migration,iid20,0.2,0.2,1163205,2363678,564740,1176115200,19373413743,149918647,509155,0.0858121353238057,0.506818347761241,0,0,0.243183999999998,2.74022399999998,0.177984,892,1836,488,0,0,1,1,1,0,7,9,47,50,1,55,0,197,5562,0.177984,197,0.177984,1836,488,0,1836,488,0,0,0,0,1,0,0,0,29707,29351,1,0,0
