seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16041003,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30382992803,20683593275,1160338,1043104,175959056,1,2,421,0,0,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,177,3979,3979,0,0,356,352,0,4,0,2,0.468845367830472,0.468657704574503,1,0,0
16041003,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30382992803,30382992803,1062516,556609,177394327,NaN,NaN,NaN,NaN,NaN,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,4,4773,4773,0,0,10,10,0,0,0,0,0.486110387379667,0.486110387379667,1,0,0
16041003,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30382992803,30382992803,1062519,555179,177068691,NaN,NaN,NaN,NaN,NaN,1,1,5,0.976,0,0,0,0,222,221,NaN,1,994,799,1942,1793,7172,7172,0,0,1952,18,4697,4697,0,0,36,34,0,2,0,2,0.481856686911025,0.481293697143116,1,0,0
16041003,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113348094032,113348094032,1759940,4137711,504292279,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,10,10295,10295,0,0,24,22,0,2,0,2,0.537525038162408,0.375125170228217,1,0,0
16041003,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113348094032,113348094032,2415810,4137711,504292279,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,10,10295,9731,564,0,24,20,2,2,0,2,0.537525038162408,0.375125170228217,1,0,0
16041003,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113348094032,113348094032,2084306,4125236,504232027,NaN,NaN,NaN,NaN,NaN,1,1,11,0.98825,0,0,0,0,NaN,NaN,NaN,0,1980,1785,5642,3765,33885,32230,1655,0,3953,10,10290,10290,0,0,24,22,0,2,0,2,0.537010463168954,0.374610595234763,1,0,0
16041003,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113348094032,113348094032,1749024,735816,382875129,NaN,NaN,NaN,NaN,NaN,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,658,2798,2798,0,0,1428,1250,0,178,0,130,0.17053015283077,0.151182133076886,1,0,0
16041003,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113348094032,74522944775,1857881,4497376,501607650,1,2,421,0,0,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,97,9497,9497,0,0,198,196,0,2,0,2,0.518931728398924,0.397183284947627,1,0,0
16041003,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113348094032,113348094032,1760359,4137746,504265273,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,12,10291,10291,0,0,28,26,0,2,0,2,0.537559343161972,0.375365305225162,1,0,0
16041003,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113348094032,113348094032,1760362,4140068,516714651,NaN,NaN,NaN,NaN,NaN,1,1,10,0.98275,0,0,0,0,222,221,NaN,0,2000,1832,5951,3832,34488,34488,0,0,3931,13,10235,10235,0,0,31,29,0,2,0,2,0.53735351316459,0.394610409980355,1,0,0
16041004,n5-6dof,N5 6-DOF graph,zero,Zero loss,native,5,30297404000,30297404000,1062397,556655,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,5,4777,4777,0,0,11,11,0,0,0,0,0.486610822728919,0.486610822728919,1,0,0
16041004,n5-6dof,N5 6-DOF graph,data-erasure-5,DATA erasure 5%,data-separation,5,30297404000,30297404000,1718267,556655,177409333,NaN,NaN,NaN,NaN,NaN,1,1,5,0.995,0,0,0,0,NaN,NaN,NaN,0,996,798,1987,1794,7176,7176,0,0,1990,5,4777,4541,236,0,11,10,1,0,0,0,0.486610822728919,0.486610822728919,1,0,0
