seed,cell,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16023072,n5-moderate-bg0,0.000700444600761706,-0.0162825648100371,-0.0169830094107988,0.010083333333333,-0.096833333333319,-0.106916666666652
16023073,n5-moderate-bg0,4.48609574459982e-05,-0.0014508912891255,-0.0014957522465715,0.026583333333333,-0.0157499999999949,-0.0423333333333279
16023074,n5-moderate-bg0,-0.0001557266470361,-0.00875057300181001,-0.00859484635477391,0.0035,-0.037166666666659,-0.040666666666659
16023075,n5-moderate-bg0,0.0013432525690181,0.0086240984197081,0.00728084585069,0.00408333333333305,-0.00724999999999609,-0.0113333333333291
16023076,n5-moderate-bg0,0.000200557889254396,-0.0158280018535745,-0.0160285597428289,-0.009083333333334,-0.05449999999999,-0.045416666666656
16023077,n5-moderate-bg0,0.000161086653023702,0.0088352116318475,0.0086741249788238,0.004,0.019083333333335,0.015083333333335
16023078,n5-moderate-bg0,-0.0011541346383228,-0.0210627987442168,-0.019908664105894,-0.00083333333333302,-0.080333333333321,-0.079499999999988
16023079,n5-moderate-bg0,-2.31458716255031e-05,-0.0298176342338994,-0.0297944883622739,0.011,-0.032249999999993,-0.043249999999993
16023080,n5-moderate-bg0,0.000749723315153397,-0.0054273552398479,-0.0061770785550013,0.00566666666666699,-0.084499999999987,-0.090166666666654
16023081,n5-moderate-bg0,-0.000393078400143895,0.0136605448034507,0.0140536232035946,0.00874999999999998,0.015250000000001,0.006500000000001
16023082,n5-moderate-bg0,0.000624489309145396,-0.0080277473278844,-0.0086522366370298,0.017416666666667,-0.003083333333329,-0.020499999999996
16023083,n5-moderate-bg0,-7.82321856580004e-05,-0.0271340087652375,-0.0270557765795795,0.000583333333332992,-0.089666666666653,-0.090249999999986
16023084,n5-moderate-bg0,-0.0006307904846415,-0.00814096922811379,-0.00751017874347229,-0.000250000000000028,0.033416666666666,0.033666666666666
16023085,n5-moderate-bg0,0.0014874944833945,-0.0142919416590091,-0.0157794361424036,0.016333333333333,-0.042499999999992,-0.058833333333325
16023086,n5-moderate-bg0,9.54404913880019e-05,-0.0122670130020393,-0.0123624534934273,0.0225,-0.000249999999996087,-0.0227499999999961
16023087,n5-moderate-bg0,-5.77197565876028e-05,-0.0260080776338911,-0.0259503578773035,-0.00316666666666698,-0.088416666666654,-0.0852499999999871
16023088,n5-moderate-bg0,-0.000539524663165897,0.0116219598619772,0.0121614845251431,-0.000916666666666011,0.0279999999999999,0.0289166666666659
16023089,n5-moderate-bg0,-0.000708730744084,0.0108492303702058,0.0115579611142898,0.015833333333333,0.051166666666664,0.0353333333333311
16023090,n5-moderate-bg0,-0.000367761509247402,-0.0203178689978507,-0.0199501074886033,0.00291666666666601,-0.071666666666655,-0.074583333333321
16023091,n5-moderate-bg0,0.000336377497732902,-0.0082055467052697,-0.0085419242030026,0.00775000000000003,0.0176666666666679,0.00991666666666791
16023092,n5-moderate-bg0,-0.0004876321394197,-0.0166096454289777,-0.016122013289558,0.00291666666666696,-0.05349999999999,-0.056416666666657
16023093,n5-moderate-bg0,0.000886986094561705,0.000324889525387298,-0.000562096569174407,0.00874999999999998,-0.044583333333325,-0.053333333333325
16023094,n5-moderate-bg0,0.0012923238833334,-0.009813482995756,-0.0111058068790894,0.00666666666666704,-0.063666666666656,-0.070333333333323
16023095,n5-moderate-bg0,0.000866559218320101,-0.0159264049478582,-0.0167929641661783,0.010166666666666,-0.0718333333333211,-0.0819999999999871
16023096,n5-moderate-bg0,0.000171140084379996,-0.0148562698698673,-0.0150274099542473,-0.00733333333333303,-0.120083333333317,-0.112749999999984
16023097,n5-moderate-bg0,0.000698642199821298,-0.0129122074411845,-0.0136108496410058,0.00424999999999998,-0.105666666666651,-0.109916666666651
16023098,n5-moderate-bg0,0.000459037262387302,-0.00553436080490061,-0.00599339806728791,0.00491666666666601,-0.026583333333327,-0.031499999999993
16023099,n5-moderate-bg0,0.000216330248444599,0.0072642770895964,0.0070479468411518,0.00041666666666601,0.025333333333334,0.024916666666668
16023100,n5-moderate-bg0,0.0010195306669642,0.0066544611526593,0.0056349304856951,0.013,0.040416666666666,0.027416666666666
16023001,n5-moderate-bg30,0.00474384234806609,-0.00017100514625501,-0.0049148474943211,0.00683333333333302,-0.00341666666666995,-0.010250000000003
16023002,n5-moderate-bg30,0.0046594317898698,-0.021609180753455,-0.0262686125433248,0.014916666666665,0.00708333333333,-0.00783333333333502
16023003,n5-moderate-bg30,0.00202444521678211,-0.025444912847375,-0.0274693580641571,0.00999999999999901,0.0051666666666601,-0.00483333333333891
16023004,n5-moderate-bg30,0.000176235716156201,-0.071261040989936,-0.0714372767060922,-0.00783333333333303,0.01675,0.0245833333333331
16023005,n5-moderate-bg30,0,-0.073138213227464,-0.073138213227464,0.000166666666666981,0.0177500000000002,0.0175833333333332
16023006,n5-moderate-bg30,0.00440086602275151,-0.018076464028344,-0.0224773300510955,0.0115833333333321,0.0131666666666699,0.00158333333333782
16023007,n5-moderate-bg30,0.00543005122172339,0.054465548111614,0.0490354968898906,0.023916666666664,-0.0225,-0.046416666666664
16023008,n5-moderate-bg30,0.0020814732623855,-0.015073618947498,-0.0171550922098835,-0.00191666666666601,0.0120833333333301,0.0139999999999961
16023009,n5-moderate-bg30,0.0122780656549689,0.028086895630335,0.0158088299753661,0.010499999999999,-0.0230000000000001,-0.0334999999999991
16023010,n5-moderate-bg30,0.0057354994686329,-0.00723662885107401,-0.0129721283197069,0.017999999999998,-0.02633333333333,-0.044333333333328
16023011,n5-moderate-bg30,-0.00585510594430981,0.013003491914022,0.0188585978583318,-0.005083333333333,0.00166666666666004,0.00674999999999304
16023012,n5-moderate-bg30,-0.00457883335116691,0.003745719920243,0.00832455327140991,-0.000166666666665982,-0.0129999999999901,-0.0128333333333241
16023013,n5-moderate-bg30,-0.0010003519113644,0.034988000792982,0.0359883527043464,0.00899999999999901,-0.00133333333333008,-0.0103333333333291
16023014,n5-moderate-bg30,-0.0033035703744717,0.05458950278252,0.0578930731569917,-0.00599999999999901,0.00941666666666996,0.015416666666669
16023015,n5-moderate-bg30,-0.0038365377755759,-0.038747803915009,-0.0349112661394331,-0.00333333333333297,0.0124166666666601,0.015749999999993
16023016,n5-moderate-bg30,-0.000421827787731699,-0.106064015533345,-0.105642187745613,0.00224999999999997,-0.0467500000000001,-0.049
16023017,n5-moderate-bg30,0.0011907072510479,-0.070512052685085,-0.0717027599361329,-0.00116666666666609,0.0166666666666699,0.017833333333336
16023018,n5-moderate-bg30,0.0060813449831271,-0.081652751881464,-0.0877340968645911,0.015166666666665,0.00116666666667009,-0.0139999999999949
16023019,n5-moderate-bg30,-0.0021816479781606,0.00240811724745998,0.00458976522562059,0.00583333333333302,0.00350000000000006,-0.00233333333333297
16023020,n5-moderate-bg30,0.0045925614020689,0.039137550646176,0.0345449892441071,0.00466666666666593,0.01383333333333,0.0091666666666641
16023021,n5-moderate-bg30,0.00166267888822981,0.013014275250266,0.0113515963620362,0.013833333333332,-0.0158333333333298,-0.0296666666666618
16023022,n5-moderate-bg30,0.000585956272857902,0.140719439323674,0.140133483050816,0.012749999999999,-0.0247499999999998,-0.0374999999999989
16023023,n5-moderate-bg30,0.0120844667575208,-0.022564513003469,-0.0346489797609898,-0.0146666666666651,0.00891666666666002,0.0235833333333251
16023024,n5-moderate-bg30,0.00175782980008921,0.017069571177585,0.0153117413774958,-0.00266666666666693,0.00433333333332997,0.0069999999999969
16023025,n5-moderate-bg30,-0.0049136985846816,-0.016977434860905,-0.0120637362762234,-0.027166666666664,0.00466666666666993,0.0318333333333339
16023026,n5-moderate-bg30,-0.001382972440063,0.00187027303491299,0.00325324547497599,-0.010333333333332,-0.0105833333333301,-0.000249999999998085
16023027,n5-moderate-bg30,0.0016544813425098,0.056131413585164,0.0544769322426542,-0.000416666666665955,-0.00633333333333996,-0.00591666666667401
16023028,n5-moderate-bg30,0.00399536397996711,0.034668601579833,0.0306732375998659,0.00574999999999892,-0.00908333333333,-0.0148333333333289
16023029,n5-moderate-bg30,0.0018024061316277,-0.011211191441781,-0.0130135975734087,-0.0188333333333319,0.02583333333333,0.044666666666662
16023030,n5-moderate-bg30,0.0010468077950746,0.025762361163338,0.0247155533682634,-0.00999999999999901,0.0140833333333299,0.0240833333333289
16023031,n5-moderate-bg30,-0.0026307145422305,-0.00306153746770599,-0.000430822925475485,-0.00716666666666599,0.03508333333333,0.042249999999996
16023032,n5-moderate-bg30,0.000876551492869304,-7.91198692959849e-05,-0.000955671362165289,-0.00166666666666593,0.00208333333332988,0.00374999999999581
16023033,n5-moderate-bg30,0.00375880161580361,-0.016477771843918,-0.0202365734597216,0.00124999999999997,0.0202499999999901,0.0189999999999901
16023034,n5-moderate-bg30,-0.00430627669850051,0.074551169744457,0.0788574464429575,-0.018499999999998,-0.01758333333333,0.000916666666668009
16023035,n5-moderate-bg30,-0.0065099059058874,-0.016075541459377,-0.0095656355534896,-0.00166666666666604,-0.000583333333330049,0.00108333333333599
