armId,methodFamily,method,parameterName,parameterValue,seedCount,failedRuns,formationRMSE_m,dataCost_HzPerChannel,costC2_HzPerChannel,feedbackEligibleCount,feedbackEligibleRate_HzPerChannel,scenarioId,periodicMatchedCost_HzPerChannel,etaCritical,allowableFeedbackFractionRawAt025,allowableFeedbackFractionClippedAt025,eligibility,economicClass
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,5,0,0.293256383904917,12.4381818181818,14.7829545454545,2063.4,9.37909090909091,S5,11.7357386234132,-0.0748945928317769,-0.299578371327108,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,5,0,0.292450924690051,12.4381818181818,14.7836363636364,2064,9.38181818181818,S5,11.9933604845995,-0.0474131266415241,-0.189652506566096,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L05,Centralized state oracle,centralized_state_oracle,lambda,3e-05,5,0,0.292452125803134,12.4381818181818,14.7911363636364,2070.6,9.41181818181818,S5,11.9929763149457,-0.0473028159528373,-0.189211263811349,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L06,Centralized state oracle,centralized_state_oracle,lambda,0.0001,5,0,0.291364029225731,12.4363636363636,14.7897727272727,2071,9.41363636363636,S5,12.3409982386475,-0.0101305589075583,-0.0405222356302331,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L07,Centralized state oracle,centralized_state_oracle,lambda,0.0003,5,0,0.292800966849517,12.4181818181818,14.7722727272727,2071.6,9.41636363636364,S5,11.8814013550112,-0.057005069462028,-0.228020277848112,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L08,Centralized state oracle,centralized_state_oracle,lambda,0.001,5,0,0.296455470559737,9.12818181818182,10.8234090909091,1491.8,6.78090909090909,S5,10.7125277110546,0.233648006724773,0.934592026899092,0.934592026899092,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L09,Centralized state oracle,centralized_state_oracle,lambda,0.003,5,0,0.320647404376365,5.33272727272727,6.26568181818182,821,3.73181818181818,S5,6.77716484379799,0.387060006864259,1.54824002745704,1,ELIGIBLE,FULL_FEEDBACK_AFFORDABLE
O1L10,Centralized state oracle,centralized_state_oracle,lambda,0.01,5,0,0.382039662738185,2.95454545454545,3.41181818181818,402.4,1.82909090909091,S5,3.38689009242993,0.236371322899071,0.945485291596284,0.945485291596284,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L11,Centralized state oracle,centralized_state_oracle,lambda,0.03,5,0,0.49436824446438,1.81,2.04386363636364,205.8,0.935454545454546,S5,1.76138530693501,-0.0519690596418765,-0.207876238567506,0,ELIGIBLE,DATA_ALREADY_UNECONOMIC
O1L12,Centralized state oracle,centralized_state_oracle,lambda,0.1,5,0,0.73368891245465,1.05636363636363,1.15909090909091,90.4,0.410909090909091,S5,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L13,Centralized state oracle,centralized_state_oracle,lambda,0.3,5,0,1.10938953279635,0.53,0.566136363636364,31.8,0.144545454545455,S5,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L14,Centralized state oracle,centralized_state_oracle,lambda,1,5,0,1.65320054285544,0.0409090909090909,0.05,8,0.0363636363636364,S5,NaN,NaN,NaN,NaN,OUTSIDE_PERIODIC_PERFORMANCE_DOMAIN,EXCLUDED_NO_EXTRAPOLATION
O1L01,Centralized state oracle,centralized_state_oracle,lambda,0,5,0,0.102600733573189,12.4172727272727,14.8997727272727,2184.6,9.93,S6,12.7061944885082,0.0290958470529156,0.116383388211662,0.116383388211662,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L02,Centralized state oracle,centralized_state_oracle,lambda,1e-06,5,0,0.1026090018239,12.4172727272727,14.9009090909091,2185.6,9.93454545454545,S6,12.7009542550277,0.0285550586137004,0.114220234454802,0.114220234454802,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L03,Centralized state oracle,centralized_state_oracle,lambda,3e-06,5,0,0.102574314984977,12.4163636363636,14.9009090909091,2186.4,9.93818181818182,S6,12.7229380023775,0.0308481341579945,0.123392536631978,0.123392536631978,ELIGIBLE,PRICE_025_UNAFFORDABLE
O1L04,Centralized state oracle,centralized_state_oracle,lambda,1e-05,5,0,0.102545352103079,12.4018181818182,14.8720454545454,2173.8,9.88090909090909,S6,12.7412940330202,0.0343567426922622,0.137426970769049,0.137426970769049,ELIGIBLE,PRICE_025_UNAFFORDABLE
