seed,N,conditionIndex,positionError,velocityError,BASE_REALIZATION_HASH,STATE_HASH_EXACT,MANAGEMENT_GRAPH_HASH,SELECTOR_HASH_EXACT,selectedHorizonSec,selectedIndex,selectedEdgeCount,selectedColorCount,selectedWitnessCovered,selectedPayloadFits,targetHorizonSelected,noLeaseIssued,infeasibleHorizonCount,actualSubsetViolations,sameColorConflictViolations,horizonMonotonicViolations,normalSelfRevocations,injectedViolationMisses,futureRandomReads,receiverTruthDecisionReads,condition,speedScale,accelerationScale,managementRadius
16075016,10,2,0.02,0.02,71541347,26205000,36407,5531592,1,3,5,3,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075016,10,3,0.3,0.1,71541347,25621788,36407,7201243,0.5,2,5,3,1,1,0,0,4,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075017,5,1,0.02,0.02,37071939,4804025,2730,5520779,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075017,5,2,0.02,0.02,37071939,12577242,2472,4579328,1,3,1,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075017,5,3,0.3,0.1,37071939,14290927,2472,4949453,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075017,10,1,0.02,0.02,66048775,12361813,40685,6635965,6.8,6,3,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075017,10,2,0.02,0.02,66048775,27207224,36326,4758357,1,3,3,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075017,10,3,0.3,0.1,66048775,26624012,36326,5428043,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075018,5,1,0.02,0.02,33544278,5088714,2730,4899437,6.8,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075018,5,2,0.02,0.02,33544278,14691597,2450,6556806,2,4,0,1,1,1,0,0,2,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075018,5,3,0.3,0.1,33544278,16405282,2450,4805825,1,3,0,1,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075018,10,1,0.02,0.02,63782773,12024101,40685,5013694,6.8,6,2,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
16075018,10,2,0.02,0.02,63782773,27127414,36212,4475347,1,3,2,2,1,1,0,0,3,0,0,0,0,0,0,0,mobile-limited-low,1,1,1.5
16075018,10,3,0.3,0.1,63782773,26544202,36212,5662227,0.25,1,2,2,1,1,0,0,5,0,0,0,0,0,0,0,mobile-limited-high,1,1,1.5
16075019,5,1,0.02,0.02,31910557,4966991,2730,4747912,6.8,6,1,2,1,1,1,0,0,0,0,0,0,0,0,0,static-wide-low,0,0,Inf
