seed,packetLoss,RMSE,MAXERR,MINSEP,MINSEPEVAL,PDR,AOI
13,0.4,0.0741387836962638,0.109245530909984,0.267254718707493,0.505874966345905,0.5921926910299,0.117364517105661
14,0.4,0.0756574029675569,0.112746383393184,0.26334540929853,0.490447773642095,0.596899224806202,0.116925522252498
15,0.4,0.0714421128256203,0.10449339373214,0.255754858435379,0.496822349408366,0.619601328903654,0.110015137753557
16,0.4,0.0761643094020131,0.112185632358094,0.263929437919981,0.487849687442227,0.59828349944629,0.120202845897669
17,0.4,0.076003900599474,0.107142421687753,0.261504523632968,0.510662394571267,0.599390919158361,0.116804420224039
18,0.4,0.0756324105591357,0.112511412938801,0.230229066644205,0.496125893460415,0.594407530454042,0.114889494399031
19,0.4,0.0755408843731502,0.112507465633676,0.256628106595382,0.49423518044939,0.599114064230343,0.118560399636694
20,0.4,0.0708538928503274,0.103036769004492,0.26654859443886,0.509491580459874,0.604651162790698,0.112989706327581
1,0.5,0.0946295177473936,0.134927010652825,0.25582799124339,0.471393718180287,0.502768549280177,0.151257947320618
2,0.5,0.0906019070677793,0.131025598748022,0.250709882639083,0.473157603084898,0.50359911406423,0.143507417499243
3,0.5,0.0923798370052558,0.14650880161747,0.254174487281651,0.488007998954843,0.501384274640089,0.14848016954284
4,0.5,0.0923892943937723,0.147113637792065,0.228290003605201,0.46486918995937,0.515503875968992,0.143832879200727
5,0.5,0.0887018914850064,0.138813297953457,0.239317662893784,0.477284679736198,0.502214839424142,0.144324856191341
6,0.5,0.0987193684209494,0.160684097004428,0.239810134790966,0.43984799056318,0.496124031007752,0.151583409022101
7,0.5,0.0979573624840048,0.139344712931719,0.249712612328276,0.469891608331134,0.492801771871539,0.157956403269755
8,0.5,0.0932977546183869,0.138870115303278,0.273066691000823,0.487098879130263,0.5,0.146224644262791
9,0.5,0.0933765994388336,0.147920501251517,0.254289843048307,0.45574691460631,0.49640088593577,0.149350590372389
10,0.5,0.0916304786374158,0.146678897176666,0.254312685132074,0.492213778959779,0.506367663344408,0.145286103542234
11,0.5,0.098690405117464,0.156666057984498,0.247095143493905,0.470343887891551,0.505260243632337,0.152029972752044
12,0.5,0.092314280279322,0.15682142807759,0.243959253356563,0.482562784784581,0.515227021040975,0.142394792612776
13,0.5,0.0982819957341229,0.155951781859958,0.266658778939689,0.455249513689848,0.491140642303433,0.153445352709658
14,0.5,0.0945985337106599,0.130742594617523,0.251538217426193,0.471470270402879,0.499446290143965,0.148177414471692
15,0.5,0.0939563949496414,0.156360400238085,0.252341588031913,0.447008044357615,0.513565891472868,0.143159249167424
16,0.5,0.0971405256189962,0.15361873825168,0.257992338108607,0.447061990249799,0.50359911406423,0.152733878292461
17,0.5,0.0977969943921098,0.151444698653311,0.256221252364292,0.477453864039339,0.495570321151717,0.149607932182864
18,0.5,0.0981000574698175,0.145714078990422,0.22797779242197,0.470131954050849,0.497785160575858,0.149577656675749
19,0.5,0.0984151657896622,0.156710972403622,0.257414872013362,0.46267670322051,0.492524916943522,0.156874053890403
20,0.5,0.0904686212504514,0.146094438942732,0.20632172800684,0.480590753100847,0.514673311184939,0.144900090826521
1,0.6,0.124634769027391,0.189217223399834,0.261217836168536,0.413925380283569,0.407530454042082,0.197821677263094
2,0.6,0.121973946182209,0.214882428233127,0.237936224230459,0.40336948507884,0.397009966777409,0.193673932788374
3,0.6,0.124131414980283,0.194384575575087,0.234089367783417,0.443269507059238,0.405038759689922,0.198026036936119
4,0.6,0.120775166051157,0.184425554424197,0.221360320411176,0.431862560583212,0.4078073089701,0.190003027550711
5,0.6,0.113484112536537,0.210376501034594,0.249003675691486,0.434028633590771,0.408637873754153,0.191304874356645
6,0.6,0.127083265283258,0.198968719084755,0.240481648216545,0.402035978218898,0.397286821705426,0.199191643960036
7,0.6,0.127301458080104,0.204169947582828,0.236830142236803,0.445720906701627,0.39562569213732,0.203399939448986
8,0.6,0.120299201597718,0.178347339587006,0.269821235702261,0.445785701669062,0.403377630121816,0.189140175597941
9,0.6,0.133909712671718,0.225393496134374,0.243077054261904,0.386332346010739,0.393410852713178,0.20821374508023
10,0.6,0.120260391036405,0.196496341693886,0.254059022101187,0.44065475905291,0.406423034330011,0.19162276718135
11,0.6,0.137429472344323,0.224888596644596,0.246937162730963,0.425156309537035,0.397286821705426,0.210560096881623
12,0.6,0.12904282353525,0.22291082236772,0.243952652285434,0.426418761484378,0.407253599114064,0.200084771419921
13,0.6,0.130119800631201,0.207073207546129,0.26902859230333,0.401669379482826,0.391472868217054,0.203937329700273
14,0.6,0.122195612840981,0.183857444292871,0.228153032229346,0.441850652413262,0.397286821705426,0.195520738722374
15,0.6,0.12413137154111,0.215557394656228,0.248618977025849,0.394293689169732,0.408084163898117,0.194082652134423
16,0.6,0.120673895862768,0.180787672449987,0.258053586929342,0.421817929068906,0.405869324473976,0.196330608537693
17,0.6,0.130446601740526,0.187714067308176,0.255566440773802,0.424369686752541,0.398671096345515,0.198926733272782
18,0.6,0.126144166463578,0.176983213984043,0.231418476910722,0.443529588429677,0.408637873754153,0.195301241295792
19,0.6,0.135664529351049,0.244533415362277,0.275391186896666,0.427844502645637,0.386489479512735,0.211483499848622
20,0.6,0.117581291258144,0.174580453287148,0.19954815614673,0.437554229743136,0.408914728682171,0.190389040266425
