scenarioId,seed,lambda,time_s,inEventWindow,dataAttempts,scheduledActions,cumulativeScheduledActions,stepMaxValue,predictedSaturationFraction
S2,27020001,0,11.8,1,0,0,1369,0.00269066882193329,0
S2,27020001,0,11.82,1,2,2,1371,0.00303855610904137,0
S2,27020001,0,11.84,1,2,2,1373,0.00335845761895156,0
S2,27020001,0,11.86,1,4,4,1377,0.00164860957476862,0
S2,27020001,0,11.88,1,0,0,1377,0.00186955738749752,0
S2,27020001,0,11.9,1,2,2,1379,0.00209381384113454,0
S2,27020001,0,11.92,1,2,2,1381,0.00230871090299955,0
S2,27020001,0,11.94,1,4,4,1385,0.00250554453766348,0
S2,27020001,0,11.96,1,0,0,1385,0.00273656696860186,0
S2,27020001,0,11.98,1,2,2,1387,0.00297096595739937,0
S2,27020001,0,12,1,2,2,1389,0.00319619222393145,0
S2,27020001,0,12.02,1,4,4,1393,0.00339372921968705,0
S2,27020001,0,12.04,1,0,0,1393,0.00363477941217066,0
S2,27020001,0,12.06,1,2,2,1395,0.00387900466708619,0
S2,27020001,0,12.08,1,2,2,1397,0.00410866258670667,0
S2,27020001,0,12.1,1,4,4,1401,0.00220902552825223,0
S2,27020001,0,12.12,1,0,0,1401,0.00256831240958789,0
S2,27020001,0,12.14,1,2,2,1403,0.00290918998144025,0
S2,27020001,0,12.16,1,2,2,1405,0.0031750467687548,0
S2,27020001,0,12.18,1,4,4,1409,0.00119248532279352,0
S2,27020001,0,12.2,1,0,0,1409,0.00154733742957807,0
S2,27020001,0,12.22,1,2,2,1411,0.00188272824774079,0
S2,27020001,0,12.24,1,2,2,1413,0.00218301039278962,0
S2,27020001,0,12.26,1,4,4,1417,0.00215774012296564,0
S2,27020001,0,12.28,1,0,0,1417,0.00244413078034703,0
S2,27020001,0,12.3,1,2,2,1419,0.00273396820899229,0
S2,27020001,0,12.32,1,2,2,1421,0.00301302189299525,0
S2,27020001,0,12.34,1,4,4,1425,0.00142535562802866,0
S2,27020001,0,12.36,1,0,0,1425,0.00177478088080308,0
S2,27020001,0,12.38,1,2,2,1427,0.00209794485093125,0
S2,27020001,0,12.4,1,3,3,1430,0.00239552252642665,0
S2,27020001,0,12.42,1,4,4,1434,0.00263249547142509,0
S2,27020001,0,12.44,1,0,0,1434,0.00298273370513052,0
S2,27020001,0,12.46,1,2,2,1436,0.00330725838581447,0
S2,27020001,0,12.48,1,2,2,1438,0.00191390062550691,0
S2,27020001,0,12.5,1,3,3,1441,0.00136432523624966,0
S2,27020001,0,12.52,1,0,0,1441,0.00169731052541446,0
S2,27020001,0,12.54,1,1,1,1442,0.00200492440919935,0
S2,27020001,0,12.56,1,2,2,1444,0.00192934962376798,0
S2,27020001,0,12.58,1,3,3,1447,0.00136068615307713,0
S2,27020001,0,12.6,1,0,0,1447,0.00168855829355089,0
S2,27020001,0,12.62,1,1,1,1448,0.00199039283219004,0
S2,27020001,0,12.64,1,2,2,1450,0.00197276809196264,0
S2,27020001,0,12.66,1,3,3,1453,0.00221073225302699,0
S2,27020001,0,12.68,1,0,0,1453,0.00250217235615159,0
S2,27020001,0,12.7,1,1,1,1454,0.00279670467411467,0
S2,27020001,0,12.72,1,2,2,1456,0.00307565519523724,0
S2,27020001,0,12.74,1,3,3,1459,0.0013463041974008,0
S2,27020001,0,12.76,1,0,0,1459,0.0016748653537998,0
S2,27020001,0,12.78,1,1,1,1460,0.00197698925448977,0
S2,27020001,0,12.8,1,2,2,1462,0.00195932032240537,0
S2,27020001,0,12.82,1,3,3,1465,0.00213326741734983,0
S2,27020001,0,12.84,1,0,0,1465,0.00245828217212533,0
S2,27020001,0,12.86,1,1,1,1466,0.00275821119672634,0
S2,27020001,0,12.88,1,2,2,1468,0.00301868499901015,0
S2,27020001,0,12.9,1,3,3,1471,0.00181195295292124,0
S2,27020001,0,12.92,1,0,0,1471,0.00204974619858855,0
S2,27020001,0,12.94,1,1,1,1472,0.00229030630265996,0
S2,27020001,0,12.96,1,2,2,1474,0.00253193841598944,0
S2,27020001,0,12.98,1,3,3,1477,0.00276308976600035,0
S2,27020001,0,13,1,1,1,1478,0.00301057048821736,0
S2,27020001,0,13.02,1,1,1,1479,0.00326006858927139,0
S2,27020001,0,13.04,1,2,2,1481,0.00348333448026197,0
S2,27020001,0,13.06,1,3,3,1484,0.00307213865865299,0
S2,27020001,0,13.08,1,0,0,1484,0.00331905935576197,0
S2,27020001,0,13.1,1,1,1,1485,0.0036652969539008,0
S2,27020001,0,13.12,1,2,2,1487,0.00393555486065518,0
S2,27020001,0,13.14,1,3,3,1490,0.00112073093660416,0
S2,27020001,0,13.16,1,0,0,1490,0.0014180902283977,0
S2,27020001,0,13.18,1,1,1,1491,0.0017070069821074,0
S2,27020001,0,13.2,1,2,2,1493,0.00199319769859414,0
S2,27020001,0,13.22,1,3,3,1496,0.00194137187841047,0
S2,27020001,0,13.24,1,0,0,1496,0.00231986195964415,0
S2,27020001,0,13.26,1,1,1,1497,0.00266916367054534,0
S2,27020001,0,13.28,1,3,3,1500,0.00199131147607559,0
S2,27020001,0,13.3,1,3,3,1503,0.00153842563440414,0
