seed,method,ackCell,scenario,RMSE,MINEVAL,AOI,TXRATE,ACKRATE,ACKDELIV,STALEACK,DUPACK,MEANOUT,MAXOUT,MAXGAP,HARDR,ADAPTR,REFRESHR,ESTAOI,MEANSCALE,MINSCALE,VIOL,FORMFAIL,SAFEFAIL
2,P10,L0  D80,Stressed,0.14512463619364,0.40785250510474,0.233705722070845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P10,L0  D80,Stressed,0.148145497889629,0.414312753660589,0.239624583711777,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,P20,L0  D80,Stressed,0.11174157049135,0.456726692299187,0.181404783530124,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P20,L0  D80,Stressed,0.110397685830231,0.461911371116615,0.178570996064184,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P20,L0  D80,Stressed,0.110276772414565,0.463069960399407,0.178454435361792,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,Causal-v3,L0  D80,Stressed,0.118928721606657,0.453513520451141,0.191594005449591,18.2444444444444,10.6888888888889,0.994022869022869,0,0,6.12186320230957,20,0.12,0.00274056029232643,0.997259439707674,0,0.391711171662128,0.201798800799405,0.2,0,1,0
2,Causal-v3,L0  D80,Stressed,0.11724042712103,0.449358306813188,0.190594913714805,18.2333333333333,10.9138888888889,0.993128022397557,0,0,6.10576282478348,18,0.12,0.00274223034734918,0.997257769652651,0,0.390708446866488,0.201798800799405,0.2,0,1,0
3,Causal-v3,L0  D80,Stressed,0.117193960525337,0.45325605594097,0.189831970935513,18.2166666666667,10.8666666666667,0.993865030674847,0,0,6.08466577836998,20,0.12,0.00274473924977127,0.997255260750229,0,0.390179836512264,0.201798800799405,0.2,0,1,0
1,P10,L10 D0,Stressed,0.148703159254493,0.405300592569585,0.242750529821375,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P10,L10 D0,Stressed,0.14512463619364,0.40785250510474,0.233705722070845,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P10,L10 D0,Stressed,0.148145497889629,0.414312753660589,0.239624583711777,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,P20,L10 D0,Stressed,0.11174157049135,0.456726692299187,0.181404783530124,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,P20,L10 D0,Stressed,0.110397685830231,0.461911371116615,0.178570996064184,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,P20,L10 D0,Stressed,0.110276772414565,0.463069960399407,0.178454435361792,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,Causal-v3,L10 D0,Stressed,0.118928721606657,0.453513520451141,0.191594005449591,18.2444444444444,10.6888888888889,0.896309771309771,0,0,4.87980235398623,19,0.12,0.00274056029232643,0.997259439707674,0,0.324272479564029,0.201798800799405,0.2,0,1,0
