scenario,family,pointIndex,meanRMSE,maxRMSE,safeFailures,meanTrueAoI,meanEstimatedAoI,meanOfferedUtil,meanChannelUtil,meanDataFrames,meanAckFrames,meanEnergyProxyJ
Stressed,AoCI-inspired,2,0.06769664632025,0.0704561781909899,0,0.0995658073270013,0.175576662143826,0.112125,0.104624999999997,783,562.5,0.2691
Stressed,AoCI-inspired,3,0.0760939718030257,0.078776838029537,0,0.114470827679783,0.20307553143374,0.102833333333333,0.0964999999999982,689.75,544.25,0.2468
Stressed,AoCI-inspired,4,0.0893225321256047,0.0943552037989888,0,0.133037087290818,0.227806422433288,0.0859166666666667,0.0811041666666663,545,486,0.2062
Stressed,AoCI-inspired,5,0.0981863198007565,0.100290634471612,0,0.152476255088195,0.271377204884667,0.0767500000000001,0.0727083333333331,471,450,0.1842
Stressed,Causal AoI-only,1,0.031043253425735,0.0315392865870261,0,0.0362528267752149,0.0683491632745364,0.321062499999977,0.263562499999979,3482.5,370.25,0.770549999999946
Stressed,Causal AoI-only,2,0.0377486339741932,0.038406164896186,0,0.0486318407960199,0.082858435097241,0.248583333333321,0.213562499999985,2399.25,583.75,0.596599999999969
Stressed,Causal AoI-only,3,0.041716319529203,0.0425040724725733,0,0.0558118498417006,0.0939461781999094,0.22662499999999,0.197541666666653,2097.25,622.25,0.543899999999976
Stressed,Causal AoI-only,4,0.0567908313006756,0.0581623583863444,0,0.0805721393034825,0.12002487562189,0.176416666666662,0.156270833333325,1501.5,615.5,0.423399999999989
Stressed,Causal AoI-only,5,0.0725696942220414,0.0751737097568113,0,0.105759837177747,0.151748077792854,0.145729166666665,0.131583333333327,1150.5,598.25,0.349749999999997
Stressed,Causal-Broadcast,1,0.0512060836187497,0.052409847643741,0,0.0719267299864313,0.126951605608322,0.16114583333333,0.145666666666659,1326,607.75,0.386749999999993
Stressed,Causal-Broadcast,2,0.0538882020191634,0.0550953770178172,0,0.0762799638172771,0.132078245137947,0.145374999999999,0.133708333333327,1124.5,620,0.348899999999997
Stressed,Causal-Broadcast,3,0.0586185138492499,0.0598206487810952,0,0.085151515151515,0.156099050203528,0.131479166666667,0.120833333333329,984.75,593,0.31555
Stressed,Causal-Broadcast,4,0.0661565113460148,0.0681032512074051,0,0.0983446404341924,0.177982813206694,0.1125625,0.104666666666664,795.25,555.5,0.27015
Stressed,Causal-Broadcast,5,0.0784820188086293,0.0836045142506193,0,0.11746947082768,0.233554952510176,0.0992291666666667,0.0933124999999985,669.25,521.5,0.23815
Stressed,Delayed-ACK belief,1,0.0433586971313687,0.0450954783943173,0,0.0586227951153324,0.113048394391678,0.170958333333329,0.154708333333325,1464.75,586.75,0.41029999999999
Stressed,Delayed-ACK belief,2,0.0591512453525713,0.0633155440221613,0,0.085273631840796,0.156438263229308,0.11875,0.110437499999997,869.75,555.25,0.285
Stressed,Delayed-ACK belief,3,0.0703754051375321,0.0728069723395751,0,0.102584803256445,0.198706467661692,0.1006875,0.0940208333333319,684,524.25,0.24165
Stressed,Delayed-ACK belief,4,0.0920684083289526,0.0954950724126092,0,0.142127996381727,0.268636363636364,0.0740208333333334,0.0701249999999997,456.25,432,0.17765
Stressed,Delayed-ACK belief,5,0.124750376068003,0.137928881125514,0,0.187001356852103,0.37300316598824,0.0586666666666667,0.0553541666666665,353.25,350.75,0.1408
Stressed,Periodic,1,0.136835320402119,0.144241433458628,0,0.208208955223881,NaN,0.0412291666666667,0.0317083333333332,494.75,0,0.0989500000000001
Stressed,Periodic,2,0.0747393337717541,0.0774058441150748,0,0.108842152872004,NaN,0.0791250000000001,0.0621458333333332,949.5,0,0.1899
Stressed,Periodic,3,0.0616025265032231,0.0643352746590454,0,0.090547263681592,NaN,0.0988958333333317,0.0776249999999997,1186.75,0,0.237349999999996
Stressed,Periodic,4,0.0453910715144812,0.0481418620490895,0,0.0618159203980098,NaN,0.159354166666658,0.124666666666662,1912.25,0,0.38244999999998
Stressed,Periodic,5,0.0386194388455535,0.0397687326654523,0,0.0505336951605607,NaN,0.197312499999988,0.155166666666658,2367.75,0,0.47354999999997
Stressed,State-event,1,0.0886047647154733,0.104043185007802,0,0.140106286748078,NaN,0.0520208333333334,0.0493333333333333,624.25,0,0.12485
Stressed,State-event,2,0.128248270788829,0.137865058792199,0,0.208566259611036,NaN,0.035625,0.0342291666666666,427.5,0,0.0855000000000001
Stressed,State-event,3,0.165914384031286,0.19273092807012,2,0.261214382632293,NaN,0.0262916666666667,0.0255416666666667,315.5,0,0.0631
Stressed,State-event,4,0.230925408036371,0.242512549159208,4,0.320226142017187,NaN,0.0172708333333333,0.0169583333333332,207.25,0,0.04145
Stressed,State-event,5,0.287051040018571,0.301454805756292,4,0.48516960651289,NaN,0.0130833333333333,0.0129375,157,0,0.0314
