seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16042003,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30375145714,30375145714,1061693,590909,137695735,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,483,1998,1998,0,0,986,868,0,118,0,118,0.278116945346802,0.26010127277373,1,0,0
16042003,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30375145714,20688393653,1160088,1042704,175959056,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,161,3979,3979,0,0,322,322,0,0,0,0,0.46584275573496,0.46584275573496,1,0,0
16042003,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30375145714,30375145714,1062266,556587,177394327,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,3,4773,4773,0,0,6,6,0,0,0,0,0.485922724123697,0.485922724123697,1,0,0
16042003,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30375145714,30375145714,1062269,556049,177307126,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.972,0,0,0,0,222,221,NaN,1,1006,813,1970,1819,7276,7276,0,0,1944,17,4677,4677,0,0,39,39,0,0,0,0,0.481794132492368,0.481794132492368,1,0,0
16042003,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113093471030,113093471030,1756965,4137670,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,11,10295,10295,0,0,22,22,0,0,0,0,0.537627953161099,0.375022255229526,1,0,0
16042003,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113093471030,113093471030,2412835,4137670,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,11,10295,9805,490,0,22,22,0,0,0,0,0.537627953161099,0.375022255229526,1,0,0
16042003,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113093471030,113093471030,2081331,4123523,503863267,NaN,NaN,NaN,NaN,NaN,3,3,1,1,12,0.983,0,0,0,0,NaN,NaN,NaN,0,1973,1777,5599,3750,33750,31993,1757,0,3932,15,10240,10240,0,0,31,25,0,6,0,6,0.534849248196446,0.37316978525309,1,0,0
16042003,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113093471030,113093471030,1746049,736733,382875129,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,648,2798,2798,0,0,1421,1207,0,214,0,163,0.169501002843861,0.148712173108306,1,0,0
16042003,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113093471030,74419188174,1854906,4497228,501607650,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,93,9497,9497,0,0,186,184,0,2,0,2,0.518520068404161,0.396565794955481,1,0,0
16042003,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113093471030,113093471030,1757384,4137668,504265273,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,12,10291,10291,0,0,24,24,0,0,0,0,0.537559343161972,0.375159475227781,1,0,0
