node,targetX,targetY,displacement,minimumSweepSeparation,nearestNode,changedSenderEdges,nonincidentSenderEdges,affectedCount,changedSlotCount,oldColors,newColors,maxResponseBytes,geometryHash
7,0.45,0.9,0.335410196624968,0.536656314599949,3,4,2,6,4,6,6,56,1864772
9,-0.45,0.9,0.335410196624968,0.536656314599949,3,4,2,6,3,6,6,56,1202723
2,0.85,-0.25,0.353553390593274,0.430116263352131,6,3,1,5,2,6,6,46,2077540
2,0.85,0.25,0.353553390593274,0.430116263352131,6,4,2,5,2,6,6,56,1416546
3,-0.25,0.85,0.353553390593274,0.430116263352131,8,6,2,7,4,6,7,56,1637765
3,0.25,0.85,0.353553390593274,0.430116263352131,7,6,2,7,5,6,7,56,2301868
4,-0.85,0.25,0.353553390593274,0.430116263352131,9,5,4,5,2,6,6,56,1826658
6,0.95,-0.25,0.353553390593274,0.430116263352131,2,3,2,5,2,6,6,46,1524712
6,0.95,0.25,0.353553390593274,0.430116263352131,2,3,2,5,2,6,6,46,1878482
3,-0.25,0.35,0.353553390593274,0.430116263352131,1,5,2,7,7,6,7,56,1774224
3,0.25,0.35,0.353553390593274,0.430116263352131,1,5,2,7,5,6,7,56,1773849
4,-0.35,0.25,0.353553390593274,0.430116263352131,1,2,2,4,2,6,6,46,1853806
7,0.35,0.85,0.353553390593274,0.430116263352131,3,4,2,6,4,6,6,56,1938813
9,-0.35,0.85,0.353553390593274,0.430116263352131,3,4,2,6,3,6,6,56,1712858
7,0.35,0.35,0.353553390593274,0.430116263352131,2,6,2,7,5,6,7,56,1840332
9,-0.35,0.35,0.353553390593274,0.430116263352131,3,7,2,8,7,6,7,56,1448899
2,0.8,-0.3,0.360555127546399,0.499230176602706,6,3,1,5,2,6,6,46,1795301
6,1,-0.3,0.360555127546399,0.499230176602706,2,3,2,5,2,6,6,46,1191159
6,1,0.3,0.360555127546399,0.499230176602706,2,3,2,5,2,6,6,46,1273706
7,0.4,0.9,0.360555127546399,0.499230176602706,3,4,2,6,4,6,6,56,2187874
9,-0.4,0.9,0.360555127546399,0.499230176602706,3,4,2,6,3,6,6,56,2226961
6,1.05,-0.35,0.380788655293195,0.551487018010835,2,3,2,5,2,6,6,46,1709101
2,0.75,-0.35,0.380788655293195,0.551487018010835,6,3,1,5,2,6,6,46,1606676
6,1.05,0.35,0.380788655293195,0.51478150704935,7,3,2,5,2,6,6,46,1157150
7,0.45,0.95,0.380788655293195,0.51478150704935,8,4,2,6,4,6,6,56,1329712
9,-0.45,0.95,0.380788655293195,0.51478150704935,8,4,2,6,3,6,6,56,1421815
2,0.85,-0.3,0.390512483795333,0.460932767758425,6,3,1,5,2,6,6,46,1561393
6,0.95,-0.3,0.390512483795333,0.460932767758425,2,3,2,5,2,6,6,46,1499902
6,0.95,0.3,0.390512483795333,0.460932767758425,2,3,2,5,2,6,6,46,1506454
7,0.35,0.9,0.390512483795333,0.460932767758425,3,4,2,6,4,6,6,56,1519814
9,-0.35,0.9,0.390512483795333,0.460932767758425,3,4,2,6,3,6,6,56,2049944
2,0.8,-0.35,0.403112887414927,0.520945885274675,6,3,1,5,2,6,6,46,2131720
6,1,-0.35,0.403112887414927,0.520945885274675,2,3,2,5,2,6,6,46,1182592
6,1,0.35,0.403112887414927,0.47169905660283,7,3,2,5,2,6,6,46,2013772
7,0.4,0.95,0.403112887414927,0.47169905660283,8,4,2,6,4,6,6,56,2067330
9,-0.4,0.95,0.403112887414927,0.47169905660283,8,4,2,6,3,6,6,56,1796525
6,1.05,-0.4,0.427200187265876,0.561797506541427,2,3,2,5,2,6,6,46,1352796
6,1.05,0.4,0.427200187265876,0.492442890089805,7,3,2,5,2,6,6,46,1645768
2,0.75,-0.4,0.427200187265876,0.561797506541427,6,3,1,5,2,6,6,46,1657082
7,0.45,1,0.427200187265877,0.492442890089805,8,4,2,6,4,6,6,56,2030697
9,-0.45,1,0.427200187265877,0.492442890089805,8,4,2,6,3,6,6,56,1201408
2,0.85,-0.35,0.430116263352131,0.488240082724041,6,3,1,5,2,6,6,46,1575291
6,0.95,-0.35,0.430116263352131,0.488240082724041,2,3,2,5,2,6,6,46,1980698
6,0.95,0.35,0.430116263352131,0.430116263352131,7,3,2,5,2,6,6,46,1588995
7,0.35,0.95,0.430116263352131,0.430116263352131,8,4,2,6,4,6,6,56,2001477
9,-0.35,0.95,0.430116263352131,0.430116263352131,8,4,2,6,3,6,6,56,2049741
2,0.8,-0.4,0.447213595499958,0.53665631459995,6,3,1,5,2,6,6,46,1759770
6,1,-0.4,0.447213595499958,0.53665631459995,2,3,2,5,2,6,6,46,1409203
6,1,0.4,0.447213595499958,0.447213595499958,7,3,2,5,2,6,6,46,1802023
7,0.4,1,0.447213595499958,0.447213595499958,8,4,2,6,4,6,6,56,1791413
9,-0.4,1,0.447213595499958,0.447213595499958,8,4,2,6,3,6,6,56,1552551
2,0.9,-0.35,0.460977222864644,0.455553961419178,6,3,1,5,2,6,6,46,1709553
6,0.9,-0.35,0.460977222864644,0.455553961419178,2,3,2,5,2,6,6,46,1344459
2,0.85,-0.4,0.47169905660283,0.508798982403053,6,3,1,5,2,6,6,46,1530664
6,0.95,-0.4,0.47169905660283,0.508798982403053,2,3,2,5,2,6,6,46,1785061
6,1.05,-0.45,0.474341649025257,0.569209978830308,2,3,2,5,2,6,6,46,1622565
6,1.05,0.45,0.474341649025257,0.474341649025257,7,3,2,5,2,6,6,46,1918570
2,0.75,-0.45,0.474341649025257,0.569209978830308,6,3,1,5,2,6,6,46,1283460
7,0.45,1.05,0.474341649025257,0.474341649025257,8,4,2,6,4,6,6,56,2146080
9,-0.45,1.05,0.474341649025257,0.474341649025257,8,4,2,6,3,6,6,56,1406598
2,0.8,-0.45,0.492442890089805,0.548286929172154,6,3,1,5,2,6,6,46,1150714
6,1,-0.45,0.492442890089805,0.548286929172154,2,3,2,5,2,6,6,46,1669490
2,0.9,-0.4,0.5,0.48,6,3,1,5,2,6,6,46,1138872
6,0.9,-0.4,0.5,0.48,2,3,2,5,2,6,6,46,1437009
2,0.85,-0.45,0.51478150704935,0.524494365672923,6,3,1,5,2,6,6,46,1717817
6,0.95,-0.45,0.51478150704935,0.524494365672923,2,3,2,5,2,6,6,46,1708936
2,0.95,-0.4,0.531507290636732,0.451546016824127,6,3,1,5,2,6,6,46,1409203
6,0.85,-0.4,0.531507290636732,0.451546016824127,2,3,2,5,2,6,6,46,1500817
2,0.8,-0.5,0.53851648071345,0.557086014531156,6,3,1,5,2,6,6,46,1112187
6,1,-0.5,0.53851648071345,0.557086014531156,2,3,2,5,2,6,6,46,1180176
2,0.9,-0.45,0.540832691319598,0.499230176602706,6,3,1,5,2,6,6,46,1124148
6,0.9,-0.45,0.540832691319598,0.499230176602706,2,3,2,5,2,6,6,46,1630718
2,0.85,-0.5,0.559016994374947,0.53665631459995,6,3,1,5,2,6,6,46,1706104
6,0.95,-0.5,0.559016994374947,0.53665631459995,2,3,2,5,2,6,6,46,1711249
2,0.95,-0.45,0.570087712549569,0.473611330425796,6,3,1,5,2,6,6,46,1360564
6,0.85,-0.45,0.570087712549569,0.473611330425796,2,3,2,5,2,6,6,46,1695607
2,0.9,-0.5,0.58309518948453,0.514495755427526,6,3,1,5,2,6,6,46,1774409
6,0.9,-0.5,0.58309518948453,0.514495755427526,2,3,2,5,2,6,6,46,1181875
2,0.8,-0.55,0.585234995535981,0.563876054093062,6,3,1,5,2,6,6,46,1382154
6,1,-0.55,0.585234995535981,0.563876054093062,2,3,2,5,2,6,6,46,1728218
2,1,-0.45,0.602079728939615,0.448445591210196,6,3,1,5,2,6,6,46,1747903
6,0.8,-0.45,0.602079728939615,0.448445591210196,2,3,2,5,2,6,6,46,1860204
2,0.85,-0.55,0.604152298679729,0.546219886477563,6,3,1,5,2,6,6,46,1164230
6,0.95,-0.55,0.604152298679729,0.546219886477563,2,3,2,5,2,6,6,46,1924671
2,0.95,-0.5,0.610327780786685,0.491539152311424,6,3,1,5,2,6,6,46,2126531
6,0.85,-0.5,0.610327780786685,0.491539152311424,2,3,2,5,2,6,6,46,2139497
2,0.9,-0.55,0.626498204307083,0.526737343748631,6,3,1,5,2,6,6,46,2132798
6,0.9,-0.55,0.626498204307083,0.526737343748631,2,3,2,5,2,6,6,46,2029150
2,0.8,-0.6,0.632455532033676,0.569209978830308,6,3,1,5,2,6,6,46,1740927
6,1,-0.6,0.632455532033676,0.569209978830308,2,3,2,5,2,6,6,46,1527889
2,1,-0.5,0.640312423743285,0.468521285665818,6,3,1,5,2,6,6,46,1224903
6,0.8,-0.5,0.640312423743285,0.468521285665818,2,3,2,5,2,6,6,46,1891468
2,0.85,-0.6,0.65,0.553846153846154,6,3,1,5,2,6,6,46,1761785
6,0.95,-0.6,0.65,0.553846153846154,2,3,2,5,2,6,6,46,1403103
2,0.95,-0.55,0.651920240520265,0.506196892639264,6,3,1,5,2,6,6,46,1445232
6,0.85,-0.55,0.651920240520265,0.506196892639264,2,3,2,5,2,6,6,46,1606946
2,0.9,-0.6,0.670820393249937,0.53665631459995,6,3,1,5,2,6,6,46,1368076
6,0.9,-0.6,0.670820393249937,0.53665631459995,2,3,2,5,2,6,6,46,1479148
6,0.75,-0.5,0.672681202353685,0.4459764877483,2,3,2,5,2,6,6,46,1750062
2,1.05,-0.5,0.672681202353686,0.4459764877483,6,3,1,5,2,6,6,46,1502422
2,1,-0.55,0.680073525436772,0.485241650581913,6,3,1,5,2,6,6,46,1283225
6,0.8,-0.55,0.680073525436772,0.485241650581913,2,3,2,5,2,6,6,46,1757712
2,0.95,-0.6,0.69462219947249,0.51826734053906,6,3,1,5,2,6,6,46,1770650
6,0.85,-0.6,0.69462219947249,0.51826734053906,2,3,2,5,2,6,6,46,1871082
2,0.85,-0.65,0.696419413859206,0.560007363721836,6,3,1,5,2,6,6,46,1172114
6,0.95,-0.65,0.696419413859206,0.560007363721836,2,3,2,5,2,6,6,46,1761060
2,1.05,-0.55,0.710633520177595,0.464374379521993,6,3,1,5,2,6,6,46,1342439
6,0.75,-0.55,0.710633520177595,0.464374379521993,2,3,2,5,2,6,6,46,1624812
2,0.9,-0.65,0.715891053163818,0.544775630700271,6,3,1,5,2,6,6,46,1526628
6,0.9,-0.65,0.715891053163818,0.544775630700271,2,3,2,5,2,6,6,46,1164955
2,1,-0.6,0.721110255092798,0.499230176602706,6,3,1,5,2,6,6,46,1838984
6,0.8,-0.6,0.721110255092798,0.499230176602706,2,3,2,5,2,6,6,46,1632620
2,0.95,-0.65,0.73824115301167,0.528282659953305,6,3,1,5,2,6,6,46,1142704
6,0.85,-0.65,0.73824115301167,0.528282659953305,2,3,2,5,2,6,6,46,2049339
2,0.85,-0.7,0.743303437365925,0.565045146956902,6,3,1,5,2,6,6,46,1512577
6,0.95,-0.7,0.743303437365925,0.565045146956902,2,3,2,5,2,6,6,46,1690797
6,0.7,-0.55,0.743303437365925,0.443964044037566,2,3,2,5,2,6,6,46,1666648
2,1.1,-0.55,0.743303437365925,0.443964044037566,6,3,1,5,2,6,6,46,1984710
2,1.05,-0.6,0.75,0.48,6,3,1,5,2,6,6,46,1476391
6,0.75,-0.6,0.75,0.48,2,3,2,5,2,6,6,46,2055311
2,0.9,-0.7,0.761577310586391,0.551487018010835,6,3,1,5,2,6,6,46,1543831
6,0.9,-0.7,0.761577310586391,0.551487018010835,2,3,2,5,2,6,6,46,1970242
2,1,-0.65,0.763216876123687,0.510994990022726,6,3,1,5,2,6,6,46,1129302
6,0.8,-0.65,0.763216876123687,0.510994990022726,2,3,2,5,2,6,6,46,1643877
6,0.7,-0.6,0.781024967590666,0.460932767758426,2,3,2,5,2,6,6,46,1832807
2,1.1,-0.6,0.781024967590666,0.460932767758425,6,3,1,5,2,6,6,46,1230942
2,0.95,-0.7,0.782623792124926,0.53665631459995,6,3,1,5,2,6,6,46,1167839
6,0.85,-0.7,0.782623792124926,0.53665631459995,2,3,2,5,2,6,6,46,1991971
2,1.05,-0.65,0.790569415042095,0.493315314986267,6,3,1,5,2,6,6,46,1832741
6,0.75,-0.65,0.790569415042095,0.493315314986267,2,3,2,5,2,6,6,46,1494911
2,0.85,-0.75,0.790569415042095,0.569209978830308,6,3,1,5,2,6,6,46,1324268
6,0.95,-0.75,0.790569415042095,0.569209978830308,2,3,2,5,2,6,6,46,1778529
2,1,-0.7,0.806225774829855,0.520945885274675,6,3,1,5,2,6,6,46,1529306
6,0.8,-0.7,0.806225774829855,0.520945885274675,2,3,2,5,2,6,6,46,1817741
2,0.9,-0.75,0.807774721070176,0.557086014531156,6,3,1,5,2,6,6,46,1198647
6,0.9,-0.75,0.807774721070176,0.557086014531156,2,3,2,5,2,6,6,46,1677747
2,1.15,-0.6,0.813941029804985,0.442292484120445,6,3,1,5,2,6,6,46,1495176
6,0.65,-0.6,0.813941029804985,0.442292484120445,2,3,2,5,2,6,6,46,1757526
2,1.1,-0.65,0.820060973342836,0.47557439346276,6,3,1,5,2,6,6,46,2035958
6,0.7,-0.65,0.820060973342836,0.47557439346276,2,3,2,5,2,6,6,46,2102952
2,0.95,-0.75,0.827647267862342,0.543709883997159,6,3,1,5,2,6,6,46,1105657
6,0.85,-0.75,0.827647267862342,0.543709883997159,2,3,2,5,2,6,6,46,1113178
6,0.75,-0.7,0.832165848854662,0.504707085225932,2,3,2,5,2,6,6,46,2119252
2,1.05,-0.7,0.832165848854662,0.504707085225932,6,3,1,5,2,6,6,46,1567806
2,1,-0.75,0.85,0.529411764705882,6,3,1,5,2,6,6,46,1140386
6,0.8,-0.75,0.85,0.529411764705882,2,3,2,5,2,6,6,46,1439628
2,1.15,-0.65,0.85146931829632,0.458031771221469,6,3,1,5,2,6,6,46,1244037
6,0.65,-0.65,0.85146931829632,0.458031771221469,2,3,2,5,2,6,6,46,1839195
2,0.9,-0.8,0.854400374531753,0.561797506541427,6,3,1,5,2,6,6,46,1441472
6,0.9,-0.8,0.854400374531753,0.561797506541427,2,3,2,5,2,6,6,46,1964027
6,0.7,-0.7,0.860232526704263,0.488240082724041,2,3,2,5,2,6,6,46,1314801
2,1.1,-0.7,0.860232526704263,0.488240082724041,6,3,1,5,2,6,6,46,1292969
2,0.95,-0.8,0.873212459828649,0.549694400941313,6,3,1,5,2,6,6,46,1154031
6,0.85,-0.8,0.873212459828649,0.549694400941313,2,3,2,5,2,6,6,46,1929245
6,0.75,-0.75,0.874642784226795,0.514495755427526,2,3,2,5,2,6,6,46,1214983
2,1.05,-0.75,0.874642784226795,0.514495755427526,6,3,1,5,2,6,6,46,1899305
2,1.2,-0.65,0.884590300647706,0.440882066776493,6,3,1,5,2,6,6,46,1809959
6,0.6,-0.65,0.884590300647706,0.440882066776493,2,3,2,5,2,6,6,46,1555130
2,1.15,-0.7,0.890224690738243,0.471791003293454,6,3,1,5,2,6,6,46,1812278
