seed,method,fault,topology,N,scenario,RMSE,MINEVAL,PEAKERR,MINSEPBO,RECOVERY,PEAKAOI,TRUEAOI,ESTAOI,SAFEFAIL,DATAPRE,DATADUR,DATAPOST,ACKPRE,ACKDUR,ACKPOST,OUTMEAN,OUTMAX,PROBES,MAXGAP,CONNECTED,ISOLATED,LAMBDA2,DISCDUR
1,Causal-v3,2node 5s,ring2,N20,Moderate,0.220799688935458,0.316848659107066,0.95599065633738,0.328430563957029,3.74,0.995416666666667,0.23893808658795,0.329930206988886,0,610.333333333333,480.6,623.384615384615,492.666666666667,383.8,497,2.08463801909838,9,0,5.12,1,0,0.389353310078985,0
2,Causal-v3,2node 5s,ring2,N20,Moderate,0.240196377972926,0.176984003048022,0.987435143595672,0.207600944532668,3.8,1.20958333333333,0.263950196790796,0.349493761652104,1,606.333333333333,444.8,626.923076923077,492.666666666667,355.8,500.538461538462,2.10287586053742,10,0,5.12,0,1,3.16803874807722e-16,5
3,Causal-v3,2node 5s,ring2,N20,Moderate,0.221083675174397,0.336743142794382,0.963843179606306,0.336743142794382,3.62,0.998333333333332,0.239439524674538,0.330939337444449,0,606.666666666667,467.8,623.769230769231,485.666666666667,375.8,497.615384615385,2.07610204308239,9,0,5.1,1,0,0.428302435480014,0
1,P10,none,sparse4,N20,Moderate,0.257010947841476,0.338545206552249,0.357464888705315,0.338545206552249,NaN,0.213023255813956,0.155729041252139,NaN,0,860,860,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
2,P10,none,sparse4,N20,Moderate,0.258925844610348,0.335708207945152,0.34989174828355,0.335708207945152,NaN,0.219999999999999,0.157012229896711,NaN,0,860,860,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
3,P10,none,sparse4,N20,Moderate,0.257844496638359,0.342352534628866,0.360300236700413,0.342352534628866,NaN,0.213023255813956,0.15552098515092,NaN,0,860,860,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
1,P20,none,sparse4,N20,Moderate,0.195993148934748,0.398795116672375,0.279880740254733,0.398795116672375,NaN,0.15186046511628,0.118630209323448,NaN,0,1720,1720,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
2,P20,none,sparse4,N20,Moderate,0.196033130718951,0.399561994211246,0.279856197356971,0.399561994211246,NaN,0.150232558139535,0.118662104218153,NaN,0,1720,1720,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
3,P20,none,sparse4,N20,Moderate,0.196070315062233,0.400169095946004,0.279804749244557,0.400169095946004,NaN,0.149302325581395,0.118497349132924,NaN,0,1720,1720,NaN,0,0,0,NaN,NaN,NaN,NaN,1,0,0.89697385380051,0
1,State-event,none,sparse4,N20,Moderate,0.451750504015112,0.102169996095147,0.614205511030265,0.102169996095147,NaN,0.376744186046512,0.293732125129375,NaN,1,289.333333333333,306.545454545455,NaN,0,0,0,NaN,NaN,68,NaN,1,0,0.89697385380051,0
