seed,family,point,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,ACKUPDATE,ACKMISS,FORMFAIL,SAFEFAIL,periodicRateHz,epsP
4,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
5,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
6,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
7,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
8,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
9,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
10,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
11,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
12,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
13,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
14,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
15,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
16,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
17,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
18,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
19,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
20,Full-AoI,p5,Clean,0.0501443482529987,0.0642995941862882,0.535855989554328,0.0800423857099606,6.42777777777778,2314,1,2314,0,0,0,15,0.08
1,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
2,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
3,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
4,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
5,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
6,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
7,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
8,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
9,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
10,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
11,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
12,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
13,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
14,Periodic,p6,Clean,0.0211627771768365,0.0306498291748195,0.572446386252435,0.0259854677565848,20,7200,1,0,0,0,0,20,0.12
