seed,rmseAdaptiveMinusPiggyCsma,rmseAdaptiveMinusPiggyAloha,rmseInteraction,offered_utilAdaptiveMinusPiggyCsma,offered_utilAdaptiveMinusPiggyAloha,offered_utilInteraction
16022053,0.000340677343573306,-0.0093754491047499,-0.0097161264483232,0.00750000000000001,-0.062999999999989,-0.070499999999989
16022054,-0.0003561250588313,-0.0119865454824318,-0.0116304204236005,-0.00850000000000001,-0.054833333333324,-0.046333333333324
16022055,0.0012466032188307,-0.0108304140054284,-0.0120770172242591,0.00433333333333302,-0.058666666666657,-0.06299999999999
16022056,0.0014458534074089,0.0064746582641344,0.00502880485672551,0.000750000000000028,-0.046666666666658,-0.047416666666658
16022057,-0.000520599241904902,0.0269641590559975,0.0274847582979024,0.00191666666666696,0.0783333333333269,0.07641666666666
16022058,-0.0002479630736371,-0.003706312920347,-0.0034583498467099,0.0205,-0.05874999999999,-0.07924999999999
16022059,0.000232111425062298,-0.017739440445072,-0.0179715518701343,0.00441666666666701,-0.0568333333333231,-0.0612499999999901
16022060,0.000570394933990095,-0.0111508403082585,-0.0117212352422486,0.00766666666666599,-0.029999999999993,-0.037666666666659
16022061,0.000675565443089096,-0.0179777757376621,-0.0186533411807512,0.011416666666667,-0.09283333333332,-0.104249999999987
16022062,-0.000780640201881698,0.002132235748943,0.0029128759508247,0.031,-0.112749999999984,-0.143749999999984
16022063,-2.64993567943989e-05,-0.0239164578892271,-0.0238899585324327,0.00125000000000003,-0.070999999999989,-0.072249999999989
16022064,0.00104999066916989,-0.0108177235473234,-0.0118677142164933,0.00466666666666599,-0.0427499999999921,-0.0474166666666581
16022065,0.0004051720740453,0.0102032410520141,0.0097980689779688,0.00208333333333299,-0.012499999999995,-0.014583333333328
16022066,0.0004119857340616,0.000106424777096797,-0.000305560956964802,-0.00983333333333303,0.00308333333333699,0.01291666666667
16022067,0.0018293820440779,-0.0476888151587732,-0.0495181972028511,0.000416666666667009,-0.075749999999988,-0.076166666666655
16022068,0.0018344561929812,0.0015186619050571,-0.000315794287924095,-0.00108333333333299,-0.0197499999999941,-0.0186666666666611
16022069,0.001379331423143,-0.0263865261991072,-0.0277658576222502,0.016416666666666,-0.099166666666652,-0.115583333333318
16022070,0.0010865889114903,-0.0173781205975118,-0.0184647095090021,0.00474999999999998,0.020083333333335,0.015333333333335
16022071,0.000546354929661097,-0.00068855004344591,-0.00123490497310701,0.00283333333333302,-0.014333333333328,-0.017166666666661
16022072,0.000968907072486001,0.000914728116309105,-5.41789561768966e-05,-0.0015,0.0739166666666621,0.0754166666666621
16022073,0.000425384127275302,-0.00511832746124451,-0.00554371158851981,0.00274999999999997,-0.097833333333319,-0.100583333333319
16022074,0.0014448402372133,0.0078276698965275,0.0063828296593142,0.00975000000000004,0.0195833333333341,0.00983333333333403
16022075,0.0028225582147699,0.0023893459233348,-0.000433212291435101,-0.00325000000000003,0.00691666666667001,0.01016666666667
16022076,-0.000561219353950905,-0.0245899688339914,-0.0240287494800405,0.00800000000000001,-0.101249999999985,-0.109249999999985
16022077,0.0013257275631999,-0.00140978074237201,-0.00273550830557191,0.013083333333334,0.0125833333333359,-0.000499999999998058
16022078,0.001142187840673,0.0043029235291282,0.0031607356884552,0.008083333333333,-0.0149166666666619,-0.0229999999999949
16022079,0.0011036851008499,-0.0384472017848322,-0.0395508868856821,0.00775000000000003,-0.070249999999988,-0.0779999999999881
16022080,0.000996412037653396,-0.0236976167337475,-0.0246940287714009,0.013916666666667,-0.0286666666666601,-0.042583333333327
16022081,-0.000167659747743396,0.00223499831665641,0.00240265806439981,0.037583333333333,0.013750000000002,-0.023833333333331
