seed,cell,arm,N,rho,lambda,epsilon,slots,burnIn,MEAN_AOII,MEAN_MAX_AOII,ATTEMPTS,ATTEMPT_RATE,SUCCESSES,SUCCESS_RATE,COLLISIONS,COLLISION_SLOT_RATE,ERASURES,FEEDBACK_GENERATED,FEEDBACK_DELIVERED,FEEDBACK_DROPPED,FEEDBACK_EVENT_RATE,PHASE_DIVERGENCE_FRACTION,MAX_FEEDBACK_QUEUE,FUTURE_FEEDBACK_READS,DRAW_HASH_EXACT
16027101,n20-rho50-eps20,max-age-first,20,0.5,0.025,0.2,20000,1000,2.3358675,16.49345,21000,1,16679,0.794238095238095,0,0,4321,0,0,0,0,0,0,0,891787387622
16027101,n20-rho50-eps20,round-robin,20,0.5,0.025,0.2,20000,1000,3.789375,30.44825,21000,1,16679,0.794238095238095,0,0,4321,0,0,0,0,0,0,0,891787387622
16027102,n5-rho20-eps05,delta-public,5,0.2,0.04,0.05,20000,1000,0.08726,0.25845,5493,0.261571428571429,4035,0.192142857142857,602,0.0286666666666667,213,4850,24250,0,0.230952380952381,0,0,0,231246652487
16027102,n5-rho20-eps05,delta-private-delayed,5,0.2,0.04,0.05,20000,1000,2.86798,10.27655,23074,1.0987619047619,6784,0.323047619047619,6696,0.318857142857143,386,69330,62447,6875,3.30142857142857,0.47847619047619,5,0,231246652487
16027102,n5-rho20-eps05,zero-wait,5,0.2,0.04,0.05,20000,1000,1.42958,5.7487,4097,0.195095238095238,3328,0.15847619047619,299,0.0142380952380952,158,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps05,max-age-first,5,0.2,0.04,0.05,20000,1000,0.17358,0.7819,21000,1,19936,0.949333333333333,0,0,1064,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps05,round-robin,5,0.2,0.04,0.05,20000,1000,0.20257,0.9177,21000,1,19936,0.949333333333333,0,0,1064,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,delta-public,5,0.2,0.04,0.2,20000,1000,0.19899,0.6034,6582,0.313428571428571,3923,0.186809523809524,778,0.037047619047619,1020,5721,28605,0,0.272428571428571,0,0,0,231246652487
16027102,n5-rho20-eps20,delta-private-delayed,5,0.2,0.04,0.2,20000,1000,5.79254,17.77885,26627,1.26795238095238,5641,0.268619047619048,8068,0.384190476190476,1435,75720,68106,7602,3.60571428571429,0.553,5,0,231246652487
16027102,n5-rho20-eps20,zero-wait,5,0.2,0.04,0.2,20000,1000,2.06561,7.9813,4796,0.228380952380952,3177,0.151285714285714,406,0.0193333333333333,792,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,max-age-first,5,0.2,0.04,0.2,20000,1000,0.27213,1.1855,21000,1,16776,0.798857142857143,0,0,4224,0,0,0,0,0,0,0,231246652487
16027102,n5-rho20-eps20,round-robin,5,0.2,0.04,0.2,20000,1000,0.43024,1.89185,21000,1,16776,0.798857142857143,0,0,4224,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,delta-public,5,0.5,0.1,0.05,20000,1000,0.68092,1.7942,15189,0.723285714285714,8445,0.402142857142857,2978,0.141809523809524,436,11859,59295,0,0.564714285714286,0,0,0,231246652487
16027102,n5-rho50-eps05,delta-private-delayed,5,0.5,0.1,0.05,20000,1000,6.59872,19.273,35235,1.67785714285714,6470,0.308095238095238,11565,0.550714285714286,365,92000,82855,9133,4.38095238095238,0.692857142857143,5,0,231246652487
16027102,n5-rho50-eps05,zero-wait,5,0.5,0.1,0.05,20000,1000,3.91369,12.73695,8948,0.426095238095238,5940,0.282857142857143,1280,0.060952380952381,294,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,max-age-first,5,0.5,0.1,0.05,20000,1000,0.42171,1.6596,21000,1,19936,0.949333333333333,0,0,1064,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps05,round-robin,5,0.5,0.1,0.05,20000,1000,0.47027,1.87655,21000,1,19936,0.949333333333333,0,0,1064,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps20,delta-public,5,0.5,0.1,0.2,20000,1000,1.60834,4.0277,16013,0.762523809523809,7216,0.343619047619048,3259,0.155190476190476,1855,12330,61650,0,0.587142857142857,0,0,0,231246652487
16027102,n5-rho50-eps20,delta-private-delayed,5,0.5,0.1,0.2,20000,1000,8.40461,23.1431,34898,1.66180952380952,5621,0.267666666666667,11354,0.540666666666667,1409,91920,82704,9204,4.37714285714286,0.652428571428571,5,0,231246652487
16027102,n5-rho50-eps20,zero-wait,5,0.5,0.1,0.2,20000,1000,5.5465,17.1663,9953,0.473952380952381,5307,0.252714285714286,1559,0.0742380952380952,1336,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps20,max-age-first,5,0.5,0.1,0.2,20000,1000,0.63577,2.33905,21000,1,16776,0.798857142857143,0,0,4224,0,0,0,0,0,0,0,231246652487
16027102,n5-rho50-eps20,round-robin,5,0.5,0.1,0.2,20000,1000,0.92113,3.52495,21000,1,16776,0.798857142857143,0,0,4224,0,0,0,0,0,0,0,231246652487
