seed,physicalFrames,firstAllCertifiedFrame,controlAttempts,controlBytes,claimAttempts,claimBytes,responseAttempts,responseBytes,responseHeaderBytes,responseEntryBytes,bootstrapBytes,renewalBytes,nominalClaimBytes,retryClaimBytes,dataAckUtil,candidateTotalUtil,periodicTotalUtil,targetControlBytesToTie,requiredControlByteRemoval,requiredControlRemovalFraction,renewalControlFraction,noControlFloorUtil,claimFreeFloorUtil,sharedHeaderFloorUtil,bootstrapOnlyFloorUtil,renewalScaleFactorToTie
16072023,217,4,454,12608,193,4632,261,7976,4176,3800,1072,11536,2280,2352,0.275967999999997,0.309589333333331,0.286719999999997,4031.99999999981,8576.00000000019,0.680203045685294,0.91497461928934,0.275967999999997,0.297237333333331,0.286101333333331,0.278826666666664,3.89729729729755
16072024,217,3,434,12104,196,4704,238,7400,3808,3592,728,11376,2136,2568,0.276735999999997,0.309013333333331,0.286719999999997,3743.99999999981,8360.00000000019,0.690680766688714,0.939854593522802,0.276735999999997,0.296469333333331,0.286314666666664,0.278677333333331,3.77188328912491
16072025,217,3,443,12344,196,4704,247,7640,3952,3688,760,11584,2328,2376,0.276991999999998,0.309909333333331,0.286719999999997,3647.9999999998,8696.0000000002,0.704471808165927,0.938431626701231,0.276991999999998,0.297365333333331,0.286826666666664,0.279018666666664,4.01108033241025
16072026,217,3,482,13368,211,5064,271,8304,4336,3968,696,12672,2352,2712,0.277503999999997,0.313151999999997,0.286719999999997,3455.99999999981,9912.00000000019,0.741472172351899,0.947935368043088,0.277503999999997,0.299647999999997,0.288085333333331,0.279359999999997,4.5913043478264
16072027,217,2,493,13568,206,4944,287,8624,4592,4032,560,13008,2352,2592,0.276991999999998,0.313173333333331,0.286719999999997,3647.9999999998,9920.0000000002,0.731132075471713,0.95872641509434,0.276991999999998,0.299989333333331,0.287743999999998,0.278485333333331,4.2124352331609
16072028,217,5,487,13496,215,5160,272,8336,4352,3984,1024,12472,2256,2904,0.276735999999997,0.312725333333331,0.286719999999997,3743.99999999981,9752.00000000019,0.72258446947245,0.924125666864256,0.276735999999997,0.298965333333331,0.287359999999998,0.279466666666664,4.58529411764738
16072029,217,3,459,12648,197,4728,262,7920,4192,3728,808,11840,2256,2472,0.276735999999997,0.310463999999997,0.286719999999997,3743.99999999981,8904.00000000019,0.70398481973436,0.936116382036686,0.276735999999997,0.297855999999997,0.286677333333331,0.278890666666664,4.03269754768418
16072030,217,2,502,13784,211,5064,291,8720,4656,4064,384,13400,2352,2712,0.277503999999997,0.314261333333331,0.286719999999997,3455.99999999981,10328.0000000002,0.749274521183995,0.972141613464887,0.277503999999997,0.300757333333331,0.288341333333331,0.278527999999997,4.36197916666693
16072031,217,3,495,13752,215,5160,280,8592,4480,4112,688,13064,2352,2808,0.277759999999998,0.314431999999997,0.286719999999997,3359.9999999998,10392.0000000002,0.755671902268775,0.949970913321699,0.277759999999998,0.300671999999997,0.288725333333331,0.279594666666664,4.88922155688659
16072032,217,2,478,13232,202,4848,276,8384,4416,3968,488,12744,2328,2520,0.277247999999997,0.312533333333331,0.286719999999997,3551.99999999981,9680.00000000019,0.731559854897234,0.963119709794438,0.277247999999997,0.299605333333331,0.287829333333331,0.278549333333331,4.15926892950418
