seed,method,arm,scenario,RMSE,MINSEP,SAFEFAIL,DIVERGED,ROLLPEAK,PITCHPEAK,SATURATION,CONTROLEFFORT,LAGERR,DATARATE,ACKRATE,TRUEAOI,ESTAOI,MASSRATIO,DRAGRATIO,AEXTRMS,AEXTPEAK,INVARIANTS
1,Causal-v3,B2 wind 1.0,Stressed,0.418451872151858,0.0602180759017883,1,0,10.4183493727073,13.6988144638185,0,1.01904460835797,NaN,193.733333333333,115.666666666667,0.18921889191644,0.309030426884648,1,1,0.6271303666215,1.30823591701011,0
2,Causal-v3,B2 wind 1.0,Stressed,0.501065655029282,0.127129167573171,1,0,9.80048143444583,13.1176530447636,0,1.02211697897575,NaN,191.5,113.6,0.187436875567666,0.305958219800179,1,1,0.697771828754271,1.72569932319036,0
3,Causal-v3,B2 wind 1.0,Stressed,0.634523759483246,0.12951865420966,1,0,10.5922255989546,13.150061109325,0,1.02377915180726,NaN,205.733333333333,122.3,0.187871026339691,0.306855131698453,1,1,0.896290348809545,1.60038953026188,0
4,Causal-v3,B2 wind 1.0,Stressed,0.540344503597714,0.121698503141792,1,0,10.615004064944,13.8099554080823,0,1.01076497947182,NaN,199.866666666667,119.7,0.186041780199818,0.303996366939144,1,1,0.748016919334983,1.47341344158933,0
5,Causal-v3,B2 wind 1.0,Stressed,0.510949886352844,0.0763935682126363,1,0,10.1488327496866,13.0816755304072,0,1.02459822722195,NaN,195.1,115.266666666667,0.188339691189827,0.30902588555858,1,1,0.747853849612708,1.41506188104723,0
6,Causal-v3,B2 wind 1.0,Stressed,0.438432867673733,0.11935989090269,1,0,9.35381871418544,12.4339798888888,0,1.00650664526926,NaN,202.066666666667,122.333333333333,0.187051771117166,0.305933242506809,1,1,0.7692376771908,1.34797667100078,0
7,Causal-v3,B2 wind 1.0,Stressed,0.674871972998771,0.0350977785841611,1,0,9.91656566292757,13.2945707043129,0,1.03891184974347,NaN,200.333333333333,119.133333333333,0.186882833787466,0.305288374205265,1,1,0.948614790111038,1.71196355297258,0
8,Causal-v3,B2 wind 1.0,Stressed,0.550768041502471,0.0915500298785857,1,0,8.91571742500136,12.1894222795805,0,1.04432854692071,NaN,187.833333333333,111.9,0.190815622161671,0.311789282470479,1,1,0.831641042807922,1.45237148969847,0
9,Causal-v3,B2 wind 1.0,Stressed,0.686090019407014,0.109359496046767,1,0,8.99310347871953,12.1238740721376,0,1.02766836198611,NaN,191.1,112.966666666667,0.197342415985468,0.319041780199816,1,1,0.982362350927556,1.71393256106063,0
10,Causal-v3,B2 wind 1.0,Stressed,0.521238771389987,0.111083257720496,1,0,8.95772631967567,12.2272278976639,0,1.01004245284822,NaN,202.8,121.366666666667,0.183560399636694,0.3022502270663,1,1,0.803963908695196,1.42358206428217,0
11,Causal-v3,B2 wind 1.0,Stressed,0.601638234524261,0.055585997344953,1,0,10.2045611863808,11.9659124664589,0,1.02468872492625,NaN,195.8,117.033333333333,0.190025431425976,0.307745231607627,1,1,0.963907828515775,1.76842898157268,0
12,Causal-v3,B2 wind 1.0,Stressed,0.496938426349126,0.0684959996215879,1,0,8.89337672549222,12.4079459028722,0,1.02237257334509,NaN,194.9,114.8,0.191894641235241,0.313203905540415,1,1,0.790583632085722,1.47847236878677,0
13,Causal-v3,B2 wind 1.0,Stressed,0.490430978131923,0.0847998929092999,1,0,9.62011201552953,12.5682251358773,0,1.01698404880595,NaN,202.9,119.8,0.187240690281562,0.306923251589461,1,1,0.82924341026031,1.7492912896074,0
14,Causal-v3,B2 wind 1.0,Stressed,0.709732807602037,0.0772723999142061,1,0,10.3736102781723,13.7548066261377,0,1.03476032464609,NaN,199.333333333333,118.433333333333,0.188897366030881,0.309209809264302,1,1,0.978970653882976,1.76742638288888,0
15,Causal-v3,B2 wind 1.0,Stressed,0.540397731799416,0.0841846332666783,1,0,10.2082617679781,13.2533859184152,0,1.03555306427262,NaN,194.3,116.733333333333,0.192597638510445,0.311857402361487,1,1,0.800387251974094,1.39042127933066,0
16,Causal-v3,B2 wind 1.0,Stressed,0.618440217588458,0.0516697698670581,1,0,10.172910981495,13.2386005838521,0,1.01907416329248,NaN,198.133333333333,117.8,0.187516802906449,0.308285649409625,1,1,0.844604574943654,1.71275950764112,0
17,Causal-v3,B2 wind 1.0,Stressed,0.641628043091469,0.191647804015267,1,0,8.80229709051434,11.9883292529958,0,1.02901485868598,NaN,200.066666666667,118.166666666667,0.186455949137148,0.30480018165304,1,1,0.928830035725174,1.63961083865071,0
18,Causal-v3,B2 wind 1.0,Stressed,0.558043147401949,0.142661784251355,1,0,10.0239526770808,13.039838763617,0,1.01483975994138,NaN,189.366666666667,113.533333333333,0.191271571298819,0.312368301544048,1,1,0.881372215372169,1.53883304469507,0
19,Causal-v3,B2 wind 1.0,Stressed,0.54947227262617,0.0353136848346682,1,0,10.3343762413718,13.4249040782271,0,1.02352997229225,NaN,198.833333333333,117.366666666667,0.188165304268846,0.307761126248862,1,1,0.828305260851838,1.59438880144468,0
20,Causal-v3,B2 wind 1.0,Stressed,0.611584039329252,0.187430916720694,1,0,9.40377426007602,12.5430880062352,0,1.02146697068784,NaN,204.7,122.833333333333,0.188357856494096,0.306528156221614,1,1,0.867351215237617,1.68500406769567,0
1,P10,B3 mass +10%,Stressed,0.688593232641507,0.719996087449726,0,0,9.00678216645566,12.3502904938193,0,1.21821082082205,NaN,100,NaN,0.241099000908265,NaN,1.1,1,0,0,0
2,P10,B3 mass +10%,Stressed,0.688103141500824,0.722844549895595,0,0,8.92138023326112,11.9834520285174,0,1.21819596547693,NaN,100,NaN,0.234223433242507,NaN,1.1,1,0,0,0
3,P10,B3 mass +10%,Stressed,0.688574778487543,0.719277820255324,0,0,9.02849674092684,12.0303552143828,0,1.21822560641871,NaN,100,NaN,0.23747502270663,NaN,1.1,1,0,0,0
4,P10,B3 mass +10%,Stressed,0.687606590078591,0.718121261780269,0,0,8.95812921393421,11.9097382085679,0,1.21819018004657,NaN,100,NaN,0.23078110808356,NaN,1.1,1,0,0,0
5,P10,B3 mass +10%,Stressed,0.687609485676216,0.720031913227481,0,0,8.88772245161492,12.074713236177,0,1.21819807737676,NaN,100,NaN,0.232225249772934,NaN,1.1,1,0,0,0
6,P10,B3 mass +10%,Stressed,0.687500767458392,0.717376779637571,0,0,8.88772245161492,12.1276614769945,0,1.2182042193445,NaN,100,NaN,0.232415985467757,NaN,1.1,1,0,0,0
7,P10,B3 mass +10%,Stressed,0.688164125196082,0.723279419718207,0,0,8.92138023326112,11.9834520285174,0,1.21825261185958,NaN,100,NaN,0.236584922797457,NaN,1.1,1,0,0,0
8,P10,B3 mass +10%,Stressed,0.68869428038332,0.716741329757017,0,0,8.94398922383691,12.1832429341635,0,1.2181882429967,NaN,100,NaN,0.240272479564033,NaN,1.1,1,0,0,0
9,P10,B3 mass +10%,Stressed,0.687642292588522,0.7194589388525,0,0,8.95812921393421,12.2155198867306,0,1.21822757835802,NaN,100,NaN,0.232924613987284,NaN,1.1,1,0,0,0
10,P10,B3 mass +10%,Stressed,0.687661054047621,0.721544240847636,0,0,8.95812921393421,12.1156403700056,0,1.21821042667347,NaN,100,NaN,0.232216167120799,NaN,1.1,1,0,0,0
11,P10,B3 mass +10%,Stressed,0.687548313160107,0.715131043865745,0,0,8.94398922383691,11.9636105645384,0,1.21818557682003,NaN,100,NaN,0.230753860127157,NaN,1.1,1,0,0,0
12,P10,B3 mass +10%,Stressed,0.688263431353979,0.721120887827843,0,0,8.92138023326112,12.2475714350667,0,1.21822965573542,NaN,100,NaN,0.238210717529519,NaN,1.1,1,0,0,0
13,P10,B3 mass +10%,Stressed,0.688380730734003,0.721306526298635,0,0,8.88772245161492,11.997499811683,0,1.21818119868067,NaN,100,NaN,0.238074477747502,NaN,1.1,1,0,0,0
14,P10,B3 mass +10%,Stressed,0.688755199442439,0.717043328710292,0,0,9.02849674092684,11.9920861705389,0,1.2182395759161,NaN,100,NaN,0.242761126248865,NaN,1.1,1,0,0,0
15,P10,B3 mass +10%,Stressed,0.688695570366402,0.719144547328494,0,0,8.94398922383691,12.2155198867306,0,1.21819787193669,NaN,100,NaN,0.242588555858311,NaN,1.1,1,0,0,0
16,P10,B3 mass +10%,Stressed,0.688381259599944,0.713945234710251,0,0,9.00678216645566,12.0057337073446,0,1.21822687590452,NaN,100,NaN,0.23724795640327,NaN,1.1,1,0,0,0
17,P10,B3 mass +10%,Stressed,0.688144793050493,0.710330738729825,0,0,9.00678216645566,12.0925152200192,0,1.21821548999283,NaN,100,NaN,0.235204359673025,NaN,1.1,1,0,0,0
18,P10,B3 mass +10%,Stressed,0.687624679392768,0.720899932810767,0,0,8.88772245161492,12.2155198867306,0,1.21821064297299,NaN,100,NaN,0.232960944595822,NaN,1.1,1,0,0,0
19,P10,B3 mass +10%,Stressed,0.687410898712083,0.716972525518463,0,0,8.97732194070528,12.0744332140327,0,1.21820377747069,NaN,100,NaN,0.232870118074478,NaN,1.1,1,0,0,0
20,P10,B3 mass +10%,Stressed,0.68790793009475,0.719237213953519,0,0,9.00678216645566,12.2467668653651,0,1.21817495997066,NaN,100,NaN,0.232815622161671,NaN,1.1,1,0,0,0
1,P20,B3 mass +10%,Stressed,0.681831204193783,0.727574793219853,0,0,9.13162224692681,12.0357019561614,0,1.21818193319659,NaN,200,NaN,0.179229791099001,NaN,1.1,1,0,0,0
2,P20,B3 mass +10%,Stressed,0.68186537610828,0.729262677448659,0,0,9.04446653672754,11.9623849887433,0,1.2181936624614,NaN,200,NaN,0.179827429609446,NaN,1.1,1,0,0,0
3,P20,B3 mass +10%,Stressed,0.682073411593726,0.727632542220902,0,0,9.16683188998648,11.9989279019225,0,1.2181844270104,NaN,200,NaN,0.181547683923706,NaN,1.1,1,0,0,0
4,P20,B3 mass +10%,Stressed,0.681628400431666,0.728920347010337,0,0,9.04735016803055,11.866719270107,0,1.21818955062851,NaN,200,NaN,0.177375113533152,NaN,1.1,1,0,0,0
5,P20,B3 mass +10%,Stressed,0.681741339488724,0.728532436126776,0,0,8.95150077360793,11.9869926030608,0,1.21819374940939,NaN,200,NaN,0.179066303360581,NaN,1.1,1,0,0,0
6,P20,B3 mass +10%,Stressed,0.681644511525324,0.728204080039796,0,0,8.95150077360793,11.8881109543338,0,1.21819120169745,NaN,200,NaN,0.17752770208901,NaN,1.1,1,0,0,0
7,P20,B3 mass +10%,Stressed,0.6817292193712,0.728557175125161,0,0,9.08303905713821,11.9027960344403,0,1.21820300138542,NaN,200,NaN,0.179467756584923,NaN,1.1,1,0,0,0
8,P20,B3 mass +10%,Stressed,0.68196873629782,0.728680385994226,0,0,9.10091723573388,11.9223401707385,0,1.21818127654635,NaN,200,NaN,0.180548592188919,NaN,1.1,1,0,0,0
9,P20,B3 mass +10%,Stressed,0.681571819689596,0.728846047256342,0,0,9.08591522240903,12.0274951760278,0,1.21819540628608,NaN,200,NaN,0.1771080835604,NaN,1.1,1,0,0,0
10,P20,B3 mass +10%,Stressed,0.68171998835273,0.728279334136714,0,0,8.92170014751381,11.9784610570683,0,1.21819016167252,NaN,200,NaN,0.179754768392371,NaN,1.1,1,0,0,0
11,P20,B3 mass +10%,Stressed,0.681628309213688,0.727066154009987,0,0,9.051582888191,11.9380666313895,0,1.21817868851424,NaN,200,NaN,0.17866485013624,NaN,1.1,1,0,0,0
12,P20,B3 mass +10%,Stressed,0.681738805334083,0.727969178579555,0,0,9.04446653672754,11.9421821973745,0,1.21819749360742,NaN,200,NaN,0.178793823796549,NaN,1.1,1,0,0,0
13,P20,B3 mass +10%,Stressed,0.681739599225988,0.727352608196843,0,0,9.15539383960486,11.841732875192,0,1.21818258306754,NaN,200,NaN,0.17972025431426,NaN,1.1,1,0,0,0
14,P20,B3 mass +10%,Stressed,0.682069408828323,0.728171918849647,0,0,9.03900658584146,11.9009253258436,0,1.21820571923675,NaN,200,NaN,0.182568574023615,NaN,1.1,1,0,0,0
15,P20,B3 mass +10%,Stressed,0.681972980878981,0.727734512567262,0,0,9.051582888191,12.1876703373946,0,1.21819461411999,NaN,200,NaN,0.181353315168029,NaN,1.1,1,0,0,0
16,P20,B3 mass +10%,Stressed,0.681791434300277,0.727896621902817,0,0,9.15876514449635,11.967682409491,0,1.21820345913627,NaN,200,NaN,0.17969118982743,NaN,1.1,1,0,0,0
17,P20,B3 mass +10%,Stressed,0.68164229877179,0.728959770115994,0,0,9.19803744040363,11.9425503554189,0,1.21818812646244,NaN,200,NaN,0.178101725703905,NaN,1.1,1,0,0,0
18,P20,B3 mass +10%,Stressed,0.681716860205532,0.728695995767171,0,0,9.15539383960486,12.0823829630876,0,1.21819267896199,NaN,200,NaN,0.177707538601272,NaN,1.1,1,0,0,0
19,P20,B3 mass +10%,Stressed,0.68153814710346,0.728920524704851,0,0,8.92934487910637,11.8677254276033,0,1.21818443967821,NaN,200,NaN,0.177089918256131,NaN,1.1,1,0,0,0
20,P20,B3 mass +10%,Stressed,0.68186345687981,0.72875832818571,0,0,9.03044093838731,11.9290170074316,0,1.21818159795789,NaN,200,NaN,0.180018165304269,NaN,1.1,1,0,0,0
1,State-event,B3 mass +10%,Stressed,0.718455343399561,0.674508143776629,0,0,8.90367095801591,12.0582374350429,0,1.21822960656252,NaN,40.7666666666667,NaN,0.436741144414169,NaN,1.1,1,0,0,0
2,State-event,B3 mass +10%,Stressed,0.715639555150255,0.671185227472764,0,0,9.08273562847439,12.0267624045852,0,1.21824189023966,NaN,41.1,NaN,0.405711171662125,NaN,1.1,1,0,0,0
