seed,N,condition,conditionLabel,scope,topology,maxFrames,dataErasureProbability,managementErasureProbability,churnEnabled,firstResolutionFrame,firstConvergenceFrame,recoveryFrame,finalAllResolved,finalCollisionFree,finalFrameAgreement,finalConverged,finalDataSlots,finalResolvedNodes,finalAssignedNodes,maxFrameDisagreement,maxAssignedSlot,conflictFrameFraction,falseResolvedNodeFrames,dataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientErasure,dataRecipientCollision,dataCollisionFrames,managementAttempts,managementRecipientAttempts,managementRecipientSuccess,managementRecipientErasure,managementRecipientCollision,managementCollisionSlots,growRequests,growNacks,growthEvents,shrinkRequests,shrinkObjects,shrinkNacks,shrinkEvents,elapsedSec,offeredAirtimeSec,busyAirtimeSec,offeredUtilization,channelUtilization,accountingCloses,deliveryWitnessValid,futureRandomReads,receiverTruthDecisionReads,traceHash,configHash,realizationHash
16034078,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,14,87,NaN,1,1,1,0,16,10,10,0,16,0.125,3,1972,6671,6267,317,87,56,1461,6861,1134,0,5727,297,6,8,5,369,265,813,7,15.980367834,14.061568,8.544256,0.879927680393092,0.534672048150303,1,1,0,0,65079294947,2365950,255399112
16034078,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,13,NaN,NaN,1,1,0,0,14,10,10,13,15,0.285,84,1963,6576,6341,0,235,155,567,1741,1119,0,622,148,15,0,15,265,161,126,60,16.569142628,10.36288,7.544832,0.625432482094027,0.455354400006798,1,1,0,0,65079294947,1423023,296743507
16034078,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,12,NaN,2,1,1,1,0,10,10,10,0,13,0.035,1,1976,6703,6674,0,29,17,1113,5017,1224,0,3793,198,1,0,1,323,111,678,3,15.271056468,12.652544,8.626176,0.828531020529784,0.564870938567732,1,1,0,0,65079294947,1432655,312262532
16034079,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,5,11,NaN,1,1,1,1,5,5,5,0,10,0.01,2,994,2779,2775,0,4,4,303,924,528,0,396,67,0,0,0,138,75,90,5,9.448212836,5.312512,4.878336,0.562276918631429,0.516323677787226,1,1,0,0,16695498378,1081016,78328363
16034079,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,10,40,NaN,0,0,1,0,7,2,5,0,12,0.075,2,984,2728,2542,140,46,29,366,1124,628,0,496,84,10,3,9,124,157,72,16,11.154268932,5.5296,4.95616,0.495738450785992,0.444328537371148,1,1,0,0,16695498378,2014329,106377657
16034079,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,5,NaN,NaN,0,0,0,0,6,2,5,5,10,0.325,111,973,2615,2387,0,228,182,248,548,375,0,173,58,21,1,20,73,139,14,44,10.356873148,5.001216,4.3008,0.482888602431688,0.415260468921599,1,1,0,0,16695498378,1080674,124724916
16034079,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,5,11,3,1,1,1,1,5,5,5,0,10,0.01,2,992,2771,2767,0,4,4,344,1060,608,0,452,76,1,0,1,155,86,102,6,9.471392946,5.472256,4.988928,0.577766758406013,0.526736460882129,1,1,0,0,16695498378,1081034,78140724
16034079,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,8,61,NaN,1,1,1,1,8,10,10,0,10,0.02,2,1980,6730,6722,0,8,8,1112,5022,1197,0,3825,201,0,0,0,327,100,685,2,12.498715312,12.664832,7.852032,1.01329070099233,0.628227126068011,1,1,0,0,65028605130,1432637,313597057
16034079,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,27,NaN,NaN,0,1,1,0,28,9,10,0,27,0.145,2,1965,6612,6187,316,109,76,1273,5895,1206,0,4689,252,11,15,8,268,313,666,6,22.753595976,13.262848,8.675328,0.582890195202084,0.38127283305683,1,1,0,0,65028605130,2365950,261129282
16034079,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,8,NaN,NaN,0,0,0,0,9,8,10,9,10,0.295,118,1961,6562,6260,0,302,227,598,1764,1031,0,733,161,19,4,17,261,192,122,54,13.314655184,10.481664,6.725632,0.78722759659564,0.505130017041829,1,1,0,0,65028605130,1423023,274934926
16034079,10,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,8,62,2,1,1,1,1,8,10,10,0,10,0.02,2,1979,6726,6718,0,8,8,981,4497,1152,0,3345,174,0,0,0,295,93,593,2,12.49407929,12.12416,7.716864,0.970392432974547,0.617641670177043,1,1,0,0,65028605130,1432655,302688004
16034080,5,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,12,NaN,1,1,1,1,5,5,5,0,10,0.01,1,994,2779,2771,0,8,4,316,996,608,0,388,65,0,0,0,142,87,87,5,9.471392946,5.36576,4.952064,0.566522794544818,0.522844319545561,1,1,0,0,16776314371,1081016,79903730
16034080,5,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,6,12,NaN,1,1,1,0,7,5,5,0,10,0.1,11,986,2750,2550,133,67,41,355,1112,616,0,496,83,8,0,8,115,160,72,13,10.514497896,5.492736,4.923392,0.52239641439175,0.468247941908191,1,1,0,0,16776314371,2014329,95897460
16034080,5,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,6,72,NaN,1,1,0,0,6,5,5,8,10,0.265,66,972,2672,2497,0,175,141,273,621,419,0,202,74,22,3,19,87,138,23,50,10.820475348,5.09952,4.472832,0.471284286132824,0.41336742205385,1,1,0,0,16776314371,1080674,109009080
16034080,5,churn-rejoin,State-loss and rejoin,boundary,compact-hex-safety-graph,200,0,0,1,6,12,3,1,1,1,1,5,5,5,0,10,0.01,1,992,2771,2763,0,8,4,294,948,620,0,328,55,1,0,1,132,89,72,6,9.494573056,5.267456,4.9152,0.554785978151096,0.517685205117663,1,1,0,0,16776314371,1081034,80174950
16034080,10,native,Native hex safety graph,source-native,compact-hex-safety-graph,200,0,0,0,6,12,NaN,1,1,1,1,8,10,10,0,9,0.01,0,1980,6734,6726,0,8,4,985,4463,1179,0,3284,181,0,0,0,278,110,597,2,12.151013662,12.14464,7.774208,0.999475462527054,0.63979913250467,1,1,0,0,65052969624,1432637,304376886
16034080,10,beacon-loss,Beacon loss 0.05,boundary,compact-hex-safety-graph,200,0.05,0,0,9,NaN,NaN,0,1,1,0,18,7,10,0,26,0.11,0,1970,6649,6213,344,92,53,1040,5260,1179,0,4081,219,10,15,7,211,348,456,13,21.16344043,12.32896,8.851456,0.582559345243471,0.418242772448884,1,1,0,0,65052969624,2365950,273189708
16034080,10,restricted-management,Local-only management,boundary,compact-hex-local-management,200,0,0,0,6,NaN,NaN,0,1,0,0,17,8,10,15,15,0.27,103,1964,6598,6330,0,268,190,583,1760,1087,0,673,157,16,5,12,264,180,118,56,15.303508622,10.432512,7.172096,0.681707199158397,0.468656971231391,1,1,0,0,65052969624,1423023,268899597
