time_s,seed,receiver,sender,physicalAge_s,loggedAoI_s,positionError_m,localPositionBound_m,globalPositionBound_m,velocityError_mps,velocityBound_mps,acceptedPayloadSpeed_mps
3.52,27020001,3,2,0.18,0.19,0.0376102482789162,0.07307005372143,10.836,0.0469023065173363,0.36,0.205944742896833
3.54,27020001,3,2,0.2,0.21,0.0417555172571032,0.0851889485793666,12.044,0.0501522005317568,0.4,0.205944742896833
3.56,27020001,3,2,0.22,0.23,0.0458949928918152,0.0981078434373033,13.2528,0.0540708647579426,0.44,0.205944742896833
3.58,27020001,3,2,0.12,0.13,0.0250551682514448,0.0420492902761405,7.2168,0.0236118955841052,0.24,0.210410752301171
3.6,27020001,3,2,0.14,0.15,0.0291882246475667,0.0518575053221639,8.4224,0.0267396001589763,0.28,0.210410752301171
3.62,27020001,3,2,0.16,0.17,0.0333117312853196,0.0624657203681874,9.6288,0.0299125021334757,0.32,0.210410752301171
3.64,27020001,3,2,0.18,0.19,0.0374192892760525,0.0738739354142108,10.836,0.0327231559730552,0.36,0.210410752301171
3.66,27020001,3,2,0.2,0.21,0.0415051771036628,0.0860821504602342,12.044,0.0352272842142209,0.4,0.210410752301171
3.68,27020001,3,2,0.22,0.23,0.0455772160890884,0.0990903655062576,13.2528,0.0378298680991459,0.44,0.210410752301171
3.7,27020001,3,2,0.12,0.13,0.0246461168623078,0.0417284600187928,7.2168,0.0176510519874026,0.24,0.207737166823273
3.72,27020001,3,2,0.14,0.15,0.0287183601093799,0.0514832033552582,8.4224,0.0205129545742579,0.28,0.207737166823273
3.74,27020001,3,2,0.16,0.17,0.032788679240565,0.0620379466917237,9.6288,0.0233742018303036,0.32,0.207737166823273
3.76,27020001,3,2,0.18,0.19,0.0368496878059744,0.0733926900281892,10.836,0.025930471521592,0.36,0.207737166823273
3.78,27020001,3,2,0.2,0.21,0.0408948175338669,0.0855474333646546,12.044,0.0282187673525686,0.4,0.207737166823273
3.8,27020001,3,2,0.22,0.23,0.0449318684440505,0.0985021767011201,13.2528,0.0305614586199567,0.44,0.207737166823273
3.82,27020001,3,2,0.12,0.13,0.024365808901969,0.0413041309423137,7.2168,0.0158754407256471,0.24,0.204201091185948
3.84,27020001,3,2,0.14,0.15,0.0284119730878992,0.0509881527660327,8.4224,0.0185022656017966,0.28,0.204201091185948
3.86,27020001,3,2,0.16,0.17,0.0324551968639028,0.0614721745897516,9.6288,0.0209933435659864,0.32,0.204201091185948
3.88,27020001,3,2,0.18,0.19,0.0364881160959865,0.0727561964134706,10.836,0.0231934854876937,0.36,0.204201091185948
3.9,27020001,3,2,0.2,0.21,0.0405042085976764,0.0848402182371895,12.044,0.0251513984548693,0.4,0.204201091185948
3.92,27020001,3,2,0.22,0.23,0.0445182121440789,0.0977242400609085,13.2528,0.0272991112960939,0.44,0.204201091185948
3.94,27020001,3,2,0.24,0.25,0.0485411425388784,0.111408261884627,14.4624,0.0301249000544539,0.48,0.204201091185948
3.96,27020001,3,2,0.26,0.27,0.0525643841036787,0.125892283708346,15.6728,0.0326111109723913,0.52,0.204201091185948
3.98,27020001,3,2,0.28,0.29,0.0565802889930916,0.141176305532065,16.884,0.0347887019898571,0.56,0.204201091185948
4,27020001,3,2,0.12,0.13,0.0241611338933159,0.0410304801797269,7.2168,0.0140422689897835,0.24,0.20192066816439
4.02,27020001,3,2,0.140000000000001,0.150000000000001,0.0281752014038903,0.0506688935430147,8.4224,0.0161904018284073,0.28,0.20192066816439
4.04,27020001,3,2,0.16,0.17,0.0321723819000676,0.0611073069063025,9.6288,0.0181052643495475,0.32,0.20192066816439
4.06,27020001,3,2,0.180000000000001,0.190000000000001,0.0361568348496335,0.0723457202695903,10.836,0.0202898627783226,0.36,0.20192066816439
4.08,27020001,3,2,0.2,0.21,0.0401224099664633,0.0843841336328781,12.044,0.0222513235155694,0.4,0.20192066816439
4.1,27020001,3,2,0.22,0.23,0.0440834821087433,0.0972225469961659,13.2528,0.0242498091205878,0.44,0.20192066816439
4.12,27020001,3,2,0.12,0.13,0.023906294686783,0.0409595501821828,7.2168,0.0126309381746663,0.24,0.201329584851523
4.14,27020001,3,2,0.14,0.15,0.0278607824905535,0.0505861418792133,8.4224,0.0145994131001226,0.28,0.201329584851523
4.16,27020001,3,2,0.16,0.17,0.0318388162921196,0.0610127335762437,9.6288,0.0166620975628607,0.32,0.201329584851523
4.18,27020001,3,2,0.119999999999999,0.129999999999999,0.0238428791499717,0.0407327781150159,7.2168,0.012817708020379,0.24,0.199439817625132
4.2,27020001,3,2,0.14,0.15,0.02785983069909,0.0503215744675185,8.4224,0.0150198944831271,0.28,0.199439817625132
4.22,27020001,3,2,0.159999999999999,0.169999999999999,0.031888788855234,0.0607103708200212,9.6288,0.0170776043398667,0.32,0.199439817625132
4.24,27020001,3,2,0.12,0.13,0.0240265872483572,0.0405939970110342,7.2168,0.0130302048628975,0.24,0.198283308425285
4.26,27020001,3,2,0.14,0.15,0.0280675561048709,0.05015966317954,8.4224,0.0150636065312904,0.28,0.198283308425285
4.28,27020001,3,2,0.16,0.17,0.0321203366181702,0.0605253293480457,9.6288,0.0170996026736817,0.32,0.198283308425285
4.3,27020001,3,2,0.18,0.19,0.0361755176106963,0.0716909955165514,10.836,0.0187622670083866,0.36,0.198283308425285
