armId,methodFamily,method,parameterName,parameterValue,period_s,epsilonPosition_m,retryInterval_s,seed,scenarioId,scenario,formationRMSE_m,primaryFormationRMSE_m,maxFormationError_m,primaryMaxFormationError_m,txCount,ackCount,dataRatePerChannel_Hz,cost025PerChannel_Hz,evaluationCost025PerChannel_Hz,eventCost025PerChannel_Hz,quietCost025PerChannel_Hz,eventTrafficConcentration,eventDurationFraction,eventAllocationRatio,broadcastRate_Hz,maxEvaluationAcceleration_mps2,saturationFraction,diverged,invariantViolations,traceHashExact,controlViolationRatio,controlMaxNormalizedRisk,runtime_s,failed,errorIdentifier,errorMessage
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020003,S1,Stationary-Moderate,0.290637694013009,0.290623908696238,0.49534848125444,0.49534848125444,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.936161701038175,0,0,0,47240498210,NaN,NaN,0.9954669,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020004,S1,Stationary-Moderate,0.275445765497903,0.27543810293497,0.433630715281406,0.433630715281406,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.804474409766868,0,0,0,47136378024,NaN,NaN,0.2677978,0,,
PS025,Periodic,Periodic-25step,periodSamples,25,0.5,NaN,NaN,27020005,S1,Stationary-Moderate,0.260129768664782,0.260114214272945,0.367189158364119,0.367189158364119,590,0,1.96666666666667,1.96666666666667,2,NaN,NaN,NaN,NaN,NaN,11.8,0.872188811531084,0,0,0,47246216507,NaN,NaN,0.3027052,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020001,S1,Stationary-Moderate,0.399114476047229,0.399147297080004,0.616090366203823,0.616090366203823,365,0,1.21666666666667,1.21666666666667,1.25,NaN,NaN,NaN,NaN,NaN,7.3,1.10713879002541,0,0,0,47187688286,NaN,NaN,0.2707023,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020002,S1,Stationary-Moderate,0.380695949487981,0.380679110834919,0.586570361118367,0.586570361118367,364,0,1.21333333333333,1.21333333333333,1.24545454545455,NaN,NaN,NaN,NaN,NaN,7.3,1.88988871429592,0,0,0,47256918831,NaN,NaN,0.3133166,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020003,S1,Stationary-Moderate,0.405881609757481,0.405854416525902,0.56553930890265,0.56553930890265,363,0,1.21,1.21,1.24545454545455,NaN,NaN,NaN,NaN,NaN,7.26666666666667,1.0157458575677,0,0,0,47240498210,NaN,NaN,0.3038532,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020004,S1,Stationary-Moderate,0.393224284624285,0.393269341465988,0.558656046167896,0.558656046167896,366,0,1.22,1.22,1.24545454545455,NaN,NaN,NaN,NaN,NaN,7.3,1.24900251325,0,0,0,47136378024,NaN,NaN,0.3834175,0,,
PS040,Periodic,Periodic-40step,periodSamples,40,0.8,NaN,NaN,27020005,S1,Stationary-Moderate,0.410622349000165,0.410660916317476,0.65398010693457,0.65398010693457,367,0,1.22333333333333,1.22333333333333,1.25454545454545,NaN,NaN,NaN,NaN,NaN,7.33333333333333,1.27639303635336,0,0,0,47246216507,NaN,NaN,0.2777716,0,,
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,0.1,27020001,S1,Stationary-Moderate,0.0738330045614486,0.0738343684968283,0.0972241026435423,0.0972241026435423,6787,5390,22.6233333333333,27.115,24.0045454545455,NaN,NaN,NaN,NaN,NaN,148.066666666667,0.0986774809761087,0,0,0,47187688286,0.999333777481679,75.8410791203923,4.2931932,0,,
CA01,Control-aware,Control-aware,epsilonPosition_m,0.05,NaN,0.05,0.1,27020002,S1,Stationary-Moderate,0.0737716400105497,0.0737692374484486,0.0974496497829077,0.0973888521519705,6787,5403,22.6233333333333,27.1258333333333,23.9420454545455,NaN,NaN,NaN,NaN,NaN,148.033333333333,0.0778897519744246,0,0,0,47256918831,0.999333777481679,73.6046659713333,4.2185931,0,,
