seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
10,State-event,Stressed,0.255739680283263,0.403529700252516,0.293169050132863,0.422194974265819,4.22222222222222,1520,0.598684210526316,1,0
11,State-event,Stressed,0.265674094772298,0.409395909464618,0.260920430097372,0.450269452013321,4.22222222222222,1520,0.576315789473684,1,0
12,State-event,Stressed,0.26648815923843,0.383850659874633,0.29831672767306,0.437468967605207,4.22777777777778,1522,0.593955321944809,1,0
13,State-event,Stressed,0.251505595401816,0.358037395405017,0.272848313697261,0.410809869815319,4.2,1512,0.597222222222222,1,0
14,State-event,Stressed,0.2631055372874,0.403206055768008,0.214843086454905,0.438460490463215,4.21666666666667,1518,0.598155467720685,1,1
15,State-event,Stressed,0.254997842154408,0.360708361404424,0.279432914639924,0.424091734786557,4.22222222222222,1520,0.604605263157895,1,0
16,State-event,Stressed,0.249189235222577,0.418474416499095,0.266381354577132,0.400528307599152,4.22222222222222,1520,0.607236842105263,1,0
17,State-event,Stressed,0.259459868316266,0.375717939605115,0.226211900893343,0.433540720557069,4.21666666666667,1518,0.598155467720685,1,1
18,State-event,Stressed,0.244622691472572,0.385193263377107,0.322345179453846,0.408732970027248,4.22777777777778,1522,0.620236530880421,1,0
19,State-event,Stressed,0.253281964306223,0.400580886753367,0.275730763713384,0.416681804420224,4.22777777777778,1522,0.605124835742444,1,0
20,State-event,Stressed,0.266168620717365,0.512224101712946,0.259840754151449,0.421454738116863,4.17777777777778,1504,0.607047872340426,1,0
1,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
2,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
3,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
4,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
5,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
6,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
7,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
8,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
9,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
10,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
11,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
12,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
13,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
14,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
15,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
16,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
17,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
18,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
19,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
