seed,profile,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,PDR,FORMFAIL,SAFEFAIL
20,Full-AoI,Clean,0.037745281664961,0.0490563328285433,0.551274954028746,0.0600090826521344,8.41111111111111,3028,1,0,0
1,Full-AoI,Moderate,0.0968124133964689,0.124383777922016,0.481191704773256,0.157950348168332,11.2972222222222,4067,0.796901893287435,0,0
2,Full-AoI,Moderate,0.0970639501271536,0.12721531446832,0.478685141053234,0.157017862549198,11.1361111111111,4009,0.806684958842604,0,0
3,Full-AoI,Moderate,0.0973690676995882,0.124965025734696,0.47563321478474,0.157879200726612,11.2111111111111,4036,0.806491575817641,0,0
4,Full-AoI,Moderate,0.0971471888659939,0.124029969018351,0.476250792922199,0.157767181350288,11.2416666666667,4047,0.798616258957252,0,0
5,Full-AoI,Moderate,0.0985718831377763,0.128028777527889,0.474951604980168,0.159302149561005,11.3277777777778,4078,0.791319274153997,0,0
6,Full-AoI,Moderate,0.0971682742508031,0.125382648730263,0.477127701536045,0.157935210414774,11.2083333333333,4035,0.804956629491945,0,0
7,Full-AoI,Moderate,0.0971545833266794,0.128030535440152,0.47269998162382,0.157558280351196,11.1583333333333,4017,0.809559372666169,0,0
8,Full-AoI,Moderate,0.0976304099521513,0.129691292637038,0.475867351202514,0.157151074780502,11.2083333333333,4035,0.801734820322181,0,0
9,Full-AoI,Moderate,0.0977832259314702,0.126053196069944,0.476814707670985,0.158498334847109,11.2472222222222,4049,0.792294393677451,0,0
10,Full-AoI,Moderate,0.0982087323679004,0.128802606907937,0.473813732588381,0.158287920072661,11.2722222222222,4058,0.805076392311483,0,0
11,Full-AoI,Moderate,0.0977385304683094,0.127085752351993,0.477283581782559,0.157747502270663,11.2388888888889,4046,0.799802273850717,0,0
