attemptId,endpoint,actionIndex,actionId,q,affineQ,senderInformationResidual,dynamicResidual,actionResponseResidual,oracleResponseResidual,affineOracleMismatch,saturationMargin,argMax,commonFiberReplayPass,failureReason
center_04_sender_4,LEFT,2,ordinary_4_to_5,-0.000491246089626028,-0.000491246089626028,2.60208521396521e-18,3.53883589099269e-16,3.46944695195361e-18,0,3.25260651745651e-19,3.3343716328238e-05,0,1,NONE
center_04_sender_4,RIGHT,0,NO_TRANSMISSION,0,0,2.60208521396521e-18,4.1286418728248e-16,0,0,0,0.0197543814696535,0,1,NONE
center_04_sender_4,RIGHT,1,ordinary_4_to_3,0.00375863534335623,0.00375863534335622,2.60208521396521e-18,4.1286418728248e-16,3.46944695195361e-18,0,7.37257477290143e-18,0.0197543814696535,1,1,NONE
center_04_sender_4,RIGHT,2,ordinary_4_to_5,-0.000285955179362317,-0.000285955179362318,2.60208521396521e-18,4.1286418728248e-16,3.46944695195361e-18,0,6.50521303491303e-19,0.0197543814696535,0,1,NONE
center_05_sender_1,CENTER,0,NO_TRANSMISSION,0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,CENTER,1,ordinary_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,CENTER,2,ordinary_1_to_5,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,CENTER,3,pinned_leader_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,CENTER,4,pinned_leader_1_to_4,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,LEFT,0,NO_TRANSMISSION,0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,LEFT,1,ordinary_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,LEFT,2,ordinary_1_to_5,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,LEFT,3,pinned_leader_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,LEFT,4,pinned_leader_1_to_4,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,RIGHT,0,NO_TRANSMISSION,0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,RIGHT,1,ordinary_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,RIGHT,2,ordinary_1_to_5,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,RIGHT,3,pinned_leader_1_to_2,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_1,RIGHT,4,pinned_leader_1_to_4,-0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,1,1,NONE
center_05_sender_3,CENTER,0,NO_TRANSMISSION,0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,0,1,NONE
center_05_sender_3,CENTER,1,ordinary_3_to_2,2.54168831531571e-06,2.54168831531571e-06,0,8.91214185783085e-17,0,0,2.11758236813575e-21,1.98024448180242,1,1,NONE
center_05_sender_3,CENTER,2,ordinary_3_to_4,-1.49395436071977e-19,-1.6940658945086e-19,0,8.91214185783085e-17,0,0,2.00111533788828e-20,1.98024448180242,0,1,NONE
center_05_sender_3,LEFT,0,NO_TRANSMISSION,0,0,1.0842021724855e-19,1.94289029309402e-16,0,0,0,0.000108535079905936,1,1,NONE
center_05_sender_3,LEFT,1,ordinary_3_to_2,-5.13091966451062e-06,-5.13091966451061e-06,1.0842021724855e-19,1.94289029309402e-16,0,0,2.5410988417629e-21,0.000108535079905936,0,1,NONE
center_05_sender_3,LEFT,2,ordinary_3_to_4,-0.000288051113445633,-0.000288051113445632,1.0842021724855e-19,1.94289029309402e-16,0,0,2.16840434497101e-19,0.000108535079905936,0,1,NONE
center_05_sender_3,RIGHT,0,NO_TRANSMISSION,0,0,1.0842021724855e-19,1.02714603315845e-16,0,0,0,1.98024448180242,0,1,NONE
center_05_sender_3,RIGHT,1,ordinary_3_to_2,2.54157573739984e-06,2.54157573739984e-06,1.0842021724855e-19,1.02714603315845e-16,0,0,3.3881317890172e-21,1.98024448180242,1,1,NONE
center_05_sender_3,RIGHT,2,ordinary_3_to_4,-4.5861805569541e-09,-4.58618055697009e-09,1.0842021724855e-19,1.02714603315845e-16,0,0,1.59877468794249e-20,1.98024448180242,0,1,NONE
center_05_sender_4,CENTER,0,NO_TRANSMISSION,0,0,0,8.91214185783085e-17,0,0,0,1.98024448180242,0,1,NONE
center_05_sender_4,CENTER,1,ordinary_4_to_3,-2.37507398605658e-08,-2.37507398605658e-08,0,8.91214185783085e-17,0,0,4.96308367531817e-23,1.98024448180242,0,1,NONE
center_05_sender_4,CENTER,2,ordinary_4_to_5,5.83208813582896e-09,5.83208813582928e-09,0,8.91214185783085e-17,0,0,3.17637355220363e-22,1.98024448180242,1,1,NONE
center_05_sender_4,LEFT,0,NO_TRANSMISSION,0,0,2.22261445359528e-18,3.92752236982874e-17,0,0,0,0.491367120131242,1,1,NONE
