seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,STALEACKDISC,FORMFAIL,SAFEFAIL
1,A1 State-event,Moderate,0.161386908066958,0.230473917160003,0.396693360527713,0.269679079624584,4.30555555555556,1550,0,0,0.809677419354839,0,0.965161290322581,0.0348387096774194,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,A1 State-event,Moderate,0.17059451007129,0.245551641818227,0.381949253243992,0.274877384196185,4.28333333333333,1542,0,0,0.802204928664073,0,0.963683527885863,0.0363164721141375,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,A1 State-event,Moderate,0.165511773575896,0.223064158658266,0.386977951125989,0.272686951256433,4.30555555555556,1550,0,0,0.807096774193548,0,0.966451612903226,0.0335483870967742,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,Ideal-AoI,Moderate,0.0980790037462098,0.128553300740409,0.478954845945453,0.158796548592189,11.2305555555556,4043,0,0,0.797674993816473,0,0.34355676477863,0.0267128370022261,0.629730398219144,0,0.406059848989564,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,Ideal-AoI,Moderate,0.0973539164662624,0.125837604717496,0.476684345983613,0.157897366030881,11.2166666666667,4038,0,0,0.803615651312531,0,0.341258048538881,0.0257553244180287,0.632986627043091,0,0.407461692205199,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,Ideal-AoI,Moderate,0.097599563955651,0.128434704646497,0.477040811011571,0.157821677263094,11.2222222222222,4040,0,0,0.802722772277228,0,0.342079207920792,0.0267326732673267,0.631188118811881,0,0.406826004885635,0.2,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A2c Fixed-OL,Moderate,0.113900817835182,0.158049182654444,0.461452549718814,0.183969118982743,7.48888888888889,2696,6.00833333333333,2163,0.804154302670623,0,0.0712166172106825,0.00964391691394659,0.919139465875371,0,0.5,0.5,0.068935513169846,0.330057739284921,1.29230512991339,7,1.00138888888889,0,0,1,0
2,A2c Fixed-OL,Moderate,0.112333913402596,0.148746842246151,0.457913016411288,0.184727520435967,7.46111111111111,2686,5.97222222222222,2150,0.802308265078183,0,0.0707371556217424,0.00967982129560685,0.919583023082651,0,0.5,0.5,0.0691571298819259,0.334887852542749,1.2947479458139,6,1.00279850746269,0,0,1,0
3,A2c Fixed-OL,Moderate,0.113396519147599,0.152058028426612,0.463946383439933,0.183737511353315,7.45555555555556,2684,5.98611111111111,2155,0.803651266766021,0,0.0707898658718331,0.00968703427719821,0.919523099850969,0,0.5,0.5,0.0691498637602183,0.334554741283589,1.28447701532312,5,1.00325884543762,0,0,1,0
1,A3c Adapt-OL,Moderate,0.106827485490784,0.147646559774341,0.465760430435616,0.173116863457463,8.25555555555555,2972,6.59166666666667,2373,0.800134589502019,0,0.0646029609690444,0.00874831763122476,0.926648721399731,0,0.494650788363341,0.375,0.0618147138964584,0.337941372418388,1.40317566067066,7,1.00253485424588,0,0,1,0
2,A3c Adapt-OL,Moderate,0.107497161998546,0.151448095878603,0.470527927736849,0.173033605812897,8.26666666666667,2976,6.625,2385,0.804099462365591,0,0.0638440860215054,0.00873655913978495,0.92741935483871,0,0.494759049522569,0.375,0.0616730245231614,0.33944037308461,1.40634021763269,6,1.00378787878788,0,0,1,0
3,A3c Adapt-OL,Moderate,0.104693311809701,0.138844632017581,0.466679191156639,0.171117166212534,8.28888888888889,2984,6.63888888888889,2390,0.804289544235925,0,0.064343163538874,0.00871313672922252,0.926943699731903,0,0.494867310681796,0.424999999999999,0.0613932788374211,0.339717965800577,1.39545858316678,6,1.0020964360587,0,0,1,0
1,A4c Causal-AoI,Moderate,0.101608137399762,0.136770816445291,0.467492961696527,0.164694217378141,9.07222222222222,3266,7.21666666666667,2598,0.796693202694427,0,0.0471524800979792,0.00796080832823025,0.944886711573791,0,0.259254941150295,0.2,0.245469573115351,0.306406839884521,1.51676660004441,6,1.00347624565469,0,0,1,0
2,A4c Causal-AoI,Moderate,0.100782561364923,0.138748800164278,0.469879849310894,0.163004844081138,9.07222222222222,3266,7.26666666666667,2616,0.803123086344152,0,0.0459277403551745,0.00796080832823025,0.946111451316595,0,0.25963385520759,0.2,0.242110808356042,0.304186098156784,1.51188096824339,6,1.00383729854183,0,0,1,0
3,A4c Causal-AoI,Moderate,0.100933822456749,0.135722509318942,0.466744525853687,0.16292612776264,9.07222222222222,3266,7.28611111111111,2623,0.805572565829761,0,0.0465401102265769,0.00796080832823025,0.945499081445193,0,0.259742116366817,0.2,0.243335149863762,0.301465689540306,1.50655118809682,6,1.00459594025278,0,0,1,0
