seed,method,scenario,RMSE,MAXERR,MINEVAL,AOI,TXRATE,TXCOUNT,ACKRATE,ACKCOUNT,PDR,VIOLATIONS,POSTRIG,VELTRIG,AOITRIG,TIMEOUTTRIG,MEANSCALE,MINSCALE,ESTAOI,SUPPRINFLIGHT,MEANOUTST,MAXOUTST,ACKCUMGAIN,DUPACK,HARDRATIO,ADAPTRATIO,REFRESHRATIO,CDBLOCKED,INFLBLOCKED,STALEACKDISC,FORMFAIL,SAFEFAIL
1,A1 State-event,Moderate,0.162380711848132,0.2294570184015,0.400498785927466,0.268283378746594,4.29444444444444,1546,0,0,0.807244501940492,0,0.963777490297542,0.036222509702458,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
2,A1 State-event,Moderate,0.165733811570378,0.302572495176891,0.400996026428439,0.271214047835301,4.29444444444444,1546,0,0,0.817593790426908,0,0.966364812419146,0.0336351875808538,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
3,A1 State-event,Moderate,0.172504879173203,0.250335904090901,0.379140241441159,0.274553436270058,4.29444444444444,1546,0,0,0.794307891332471,0,0.965071151358344,0.0349288486416559,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,1,0
1,Ideal-AoI,Moderate,0.0980790037462098,0.128553300740409,0.478954845945453,0.158796548592189,11.2305555555556,4043,0,0,0.797674993816473,0,0.34355676477863,0.0267128370022261,0.629730398219144,0,0.406059848989564,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
2,Ideal-AoI,Moderate,0.0973539164662624,0.125837604717496,0.476684345983613,0.157897366030881,11.2166666666667,4038,0,0,0.803615651312531,0,0.341258048538881,0.0257553244180287,0.632986627043091,0,0.407461692205199,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
3,Ideal-AoI,Moderate,0.097599563955651,0.128434704646497,0.477040811011571,0.157821677263094,11.2222222222222,4040,0,0,0.802722772277228,0,0.342079207920792,0.0267326732673267,0.631188118811881,0,0.406826004885635,0.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0
1,A2c Fixed-OL,Moderate,0.112849222115367,0.158713704564901,0.462752266416409,0.185313351498638,7.48333333333333,2694,5.96666666666667,2148,0.799183370452858,0,0.0720118782479584,0.00965107646622123,0.91833704528582,0,0.5,0.5,0.0690190735694826,0.33538751943149,1.30007772596047,6,1.25619448340346,0,0,0,0,0,0,0,1,0
2,A2c Fixed-OL,Moderate,0.115605228844496,0.160005023581454,0.456624695568169,0.185154405086285,7.47777777777778,2692,5.91944444444444,2131,0.793462109955424,0,0.0720653789004458,0.00965824665676077,0.918276374442793,0,0.5,0.5,0.0690190735694827,0.339884521430158,1.30007772596047,6,1.26258823529412,0,0,0,0,0,0,0,1,0
3,A2c Fixed-OL,Moderate,0.112220832994051,0.1645402723546,0.454763173017438,0.18217680896155,7.52222222222222,2708,6.06388888888889,2183,0.807607090103397,0,0.0709010339734121,0.00960118168389956,0.919497784342688,0,0.5,0.5,0.0684232515894645,0.327781479013991,1.29580279813458,6,1.24183908045977,0,0,0,0,0,0,0,1,0
1,A3c Adapt-OL,Moderate,0.105671334890514,0.146710604385977,0.469840162230284,0.172995761429004,8.30555555555556,2990,6.53888888888889,2354,0.790635451505017,0,0.0648829431438127,0.00869565217391304,0.926421404682274,0,0.495019986675578,0.424999999999994,0.0611970935513177,0.349544747945814,1.41688874083944,6,1.26842778014487,0,0,0,0,0,0,0,1,0
