seed,commRateHz,packetLoss,delay,RMSE,MAXERR,MINFULL,MINEVAL,PDR,AOI,ARRIVAL,TXRATE,SAFETYFAIL,FORMATIONFAIL
3,20,0.2,0,0.0271405052228635,0.0377385603135809,0.268346804809303,0.564206410975448,0.798333333333333,0.0390175597941266,0.798333333333333,240,0,0
4,20,0.2,0,0.0269435424446768,0.0376199268156573,0.271438571710442,0.563618538528957,0.804444444444444,0.0378716318498335,0.804444444444444,240,0,0
5,20,0.2,0,0.0271581489227588,0.0380225985803108,0.269476113385887,0.564735524689861,0.807638888888889,0.0381032394792613,0.807638888888889,240,0,0
6,20,0.2,0,0.0265714927088913,0.0373543926145034,0.269141357543107,0.563995054534328,0.808194444444444,0.0377172267635483,0.808194444444444,240,0,0
7,20,0.2,0,0.0270884341922562,0.0370811370900436,0.270430171341076,0.563832229859859,0.796805555555556,0.0383802603693612,0.796805555555556,240,0,0
8,20,0.2,0,0.0268708847525301,0.0368120180137611,0.27018786625187,0.564647619693816,0.800277777777778,0.0380638813200121,0.800277777777778,240,0,0
9,20,0.2,0,0.0271836522302881,0.0375287611166775,0.270343056673699,0.564100430243378,0.795694444444444,0.0386633363608841,0.795694444444444,240,0,0
10,20,0.2,0,0.0268416789386645,0.0367681772702787,0.268458959349423,0.565201298459707,0.800694444444444,0.0378262185891614,0.800694444444444,240,0,0
11,20,0.2,0,0.0263402385880272,0.0395660441416924,0.271443607638462,0.561087398275711,0.805833333333333,0.0370012110202846,0.805833333333333,240,0,0
12,20,0.2,0,0.0273449864975603,0.0390480634515918,0.272689318342777,0.564799042244535,0.802361111111111,0.0384741144414169,0.802361111111111,240,0,0
13,20,0.2,0,0.0272731434839803,0.0380002446827493,0.27180762013435,0.564658509284397,0.799444444444444,0.0387375113533152,0.799444444444444,240,0,0
14,20,0.2,0,0.0266878352423887,0.03721960796572,0.268987769648319,0.563613931745984,0.805,0.0376702997275204,0.805,240,0,0
15,20,0.2,0,0.0272120493892451,0.0378409588348424,0.268823190506492,0.56276012000851,0.797638888888889,0.0384589766878595,0.797638888888889,240,0,0
16,20,0.2,0,0.0267976183608936,0.0369907852145004,0.26927277104612,0.564577693314751,0.796111111111111,0.0383015440508629,0.796111111111111,240,0,0
17,20,0.2,0,0.0268054617751786,0.0367077578362145,0.271061378326672,0.565494386969071,0.801944444444444,0.038012412957917,0.801944444444444,240,0,0
18,20,0.2,0,0.0270760719165633,0.0375121758737968,0.260205206949696,0.563469831459983,0.798194444444444,0.0380593399939449,0.798194444444444,240,0,0
19,20,0.2,0,0.0266476807633652,0.0366221015615407,0.26963837709486,0.566859761260915,0.806944444444444,0.037494701786255,0.806944444444444,240,0,0
20,20,0.2,0,0.0270031514713024,0.0393973744045664,0.269290541669254,0.563832516226078,0.797638888888889,0.0387844383893431,0.797638888888889,240,0,0
