seed,scenario,scenarioLabel,condition,conditionLabel,conditionKind,N,BASE_TRACE_HASH_EXACT,CONDITION_TRACE_HASH_EXACT,CONFIG_HASH,REALIZATION_HASH,SCHEDULE_STATE_HASH,BLACKOUT_OWNER,BLACKOUT_CLIENT,BLACKOUT_OWNER_LOCK_EXPIRY,BLACKOUT_CLIENT_GRANT_EXPIRY,BLACKOUT_CLIENT_FINAL_ACTIVE,RECONFIGURATION_TARGET_CLIENT,RECONFIGURATION_TARGET_SLOT,FINAL_ALL_CERTIFIED,FINAL_SCHEDULED_COLLISION_FREE,FIRST_ALL_CERTIFIED_FRAME,CERTIFIED_NODE_FRAME_FRACTION,FALSE_VALID_EDGE_FRAMES,OWNER_LOCK_VIOLATIONS,STALE_GRANT_ACCEPTS,FUTURE_GRANT_ACCEPTS,RECONFIGURATION_APPLIED_FRAME,RECONFIGURATION_RELEASE_FENCE,RECOVERY_FRAME,AUTOMATIC_RECOLOR_COUNT,STATUS_ATTEMPTS,GRANT_ATTEMPTS,GRANT_ENTRIES_ATTEMPTED,CONTROL_ATTEMPTS,MANAGEMENT_RECIPIENT_ATTEMPTS,MANAGEMENT_RECIPIENT_SUCCESS,MANAGEMENT_RECIPIENT_ERASURE,MANAGEMENT_RECIPIENT_COLLISION,SCHEDULED_ATTEMPTS,FALLBACK_ATTEMPTS,SCHEDULED_RECIPIENT_ATTEMPTS,SCHEDULED_RECIPIENT_SUCCESS,SCHEDULED_RECIPIENT_ERASURE,SCHEDULED_RECIPIENT_COLLISION,FALLBACK_RECIPIENT_ATTEMPTS,FALLBACK_RECIPIENT_SUCCESS,FALLBACK_RECIPIENT_ERASURE,FALLBACK_RECIPIENT_COLLISION,SCHEDULED_COLLISION_FRAMES,FALLBACK_COLLISION_FRAMES,MAX_FALLBACK_ATTEMPTS_PER_NODE_FRAME,OFFERED_UTILIZATION,CHANNEL_UTILIZATION,ACCOUNTING_CLOSES,FUTURE_RANDOM_READS,RECEIVER_TRUTH_READS
16045003,n5-6dof,N5 6-DOF graph,local-management,Local management reach,visibility-boundary,5,30419919710,30419919710,1061693,589263,137695735,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.3995,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,1600,1600,0,0,799,430,1998,1998,0,0,877,779,0,98,0,98,1,0.268170792780418,0.254096048582706,1,0,0
16045003,n5-6dof,N5 6-DOF graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,5,30419919710,20744414406,1160088,1042584,175959056,1,2,421,0,0,3,3,0,1,NaN,0.7955,0,0,0,0,NaN,NaN,NaN,0,1195,996,2186,2191,8764,8365,399,0,1591,149,3979,3979,0,0,299,291,0,8,0,6,1,0.463590796663326,0.463027806895418,1,0,0
16045003,n5-6dof,N5 6-DOF graph,state-loss,Local client state loss,rejoin-boundary,5,30419919710,30419919710,1062266,556723,177394327,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.994,0,0,0,0,NaN,NaN,2,0,996,799,1987,1795,7180,7180,0,0,1988,7,4773,4773,0,0,15,13,0,2,0,2,1,0.486673377147575,0.486485713891606,1,0,0
16045003,n5-6dof,N5 6-DOF graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,5,30419919710,30419919710,1062269,556207,177307126,NaN,NaN,NaN,NaN,NaN,3,3,1,1,5,0.972,0,0,0,0,222,221,NaN,1,1006,813,1970,1819,7276,7276,0,0,1944,22,4677,4677,0,0,44,42,0,2,0,2,1,0.482732448772216,0.482169459004307,1,0,0
16045003,n10-ring2,N10 ring2 graph,zero,Zero loss,native,10,113376113223,113376113223,1756965,4137748,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,11,10295,10295,0,0,22,20,0,2,0,2,1,0.537627953161099,0.375022255229526,1,0,0
16045003,n10-ring2,N10 ring2 graph,data-erasure-5,DATA erasure 5%,data-separation,10,113376113223,113376113223,2412835,4137748,504292279,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98875,0,0,0,0,NaN,NaN,NaN,0,1980,1794,5921,3774,33966,33966,0,0,3955,11,10295,9802,493,0,22,19,1,2,0,2,1,0.537627953161099,0.375022255229526,1,0,0
16045003,n10-ring2,N10 ring2 graph,management-erasure-5,Management erasure 5%,control-loss,10,113376113223,113376113223,2081331,4127336,504282206,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.9885,0,0,0,0,NaN,NaN,NaN,0,1980,1786,5642,3766,33894,32241,1653,0,3954,12,10292,10292,0,0,23,21,0,2,0,2,1,0.53735351316459,0.374747815233017,1,0,0
16045003,n10-ring2,N10 ring2 graph,local-management,Local management reach,visibility-boundary,10,113376113223,113376113223,1746049,731786,382875129,NaN,NaN,NaN,NaN,NaN,3,3,0,1,NaN,0.19975,0,0,0,0,NaN,NaN,NaN,0,400,200,200,600,2400,2400,0,0,799,567,2798,2798,0,0,1271,1105,0,166,0,113,1,0.161164887949901,0.146139298141034,1,0,0
16045003,n10-ring2,N10 ring2 graph,directed-grant-blackout,Directed GRANT blackout,grant-loss-witness,10,113376113223,74620231618,1854906,4497491,501607650,1,2,421,0,0,3,3,0,1,NaN,0.889,0,0,0,0,NaN,NaN,NaN,0,2179,1989,6120,4168,37512,37113,399,0,3556,98,9497,9497,0,0,196,192,0,4,0,4,1,0.519034643397615,0.396977454950245,1,0,0
16045003,n10-ring2,N10 ring2 graph,state-loss,Local client state loss,rejoin-boundary,10,113376113223,113376113223,1757384,4137746,504265273,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.98825,0,0,0,0,NaN,NaN,2,0,1980,1795,5921,3775,33975,33975,0,0,3953,12,10291,10291,0,0,24,22,0,2,0,2,1,0.537559343161972,0.375159475227781,1,0,0
16045003,n10-ring2,N10 ring2 graph,owner-reconfiguration,Owner tuple reconfiguration,lease-fence-boundary,10,113376113223,113376113223,1757387,4135564,504082988,NaN,NaN,NaN,NaN,NaN,3,3,1,1,10,0.94075,0,0,0,0,222,221,NaN,5,2015,1902,5876,3917,35253,35253,0,0,3763,44,9825,9825,0,0,101,87,0,14,0,10,1,0.526170083306849,0.377252080201162,1,0,0
