stage,seed,scenario,scenarioLabel,arm,role,method,methodLabel,feedbackMode,N,plant,macType,horizon,pAccess,historySize,RMSE,MINSEP,SAFEFAIL,DIVERGED,MEAN_TRUE_AOI,MEAN_EST_AOI,DATA_GENERATED,DATA_ATTEMPTED,DATA_DELIVERED,ACK_ATTEMPTED,ACK_ENTRIES_DELIVERED,DATA_RECIPIENT_ATTEMPTS,DATA_RECIPIENT_SUCCESS,DATA_RECIPIENT_LOSS,ACK_RECIPIENT_ATTEMPTS,ACK_RECIPIENT_SUCCESS,ACK_RECIPIENT_LOSS,TERMINAL_DATA_INFLIGHT,TERMINAL_ACK_INFLIGHT,COLLISION_FRAMES,MAX_QUEUE,MAX_HISTORY,ACK_STANDALONE,CHANNEL_UTIL,OFFERED_UTIL,DATA_AIRTIME,ACK_AIRTIME,PIGGYBACK_AIRTIME,ENERGY_PROXY_J,CONFIRMATION_EVENTS,STANDALONE_CONFIRMATION_EVENTS,PIGGYBACK_CONFIRMATION_EVENTS,NETWORK_RUNTIME_SEC,INVARIANT_VIOLATIONS,TRACE_HASH_EXACT,CHANNEL_STATE_HASH,CONFIG_HASH
development,16018002,n10-ring2,N10 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,10,di,csma,12,0.1,32,0.0917804381900203,0.508444476837801,0,0,0.0818905472636816,0.152897417673537,1518,1821,1357,80,1695,3979,2715,1262,2415,1695,718,2,2,445,2,32,80,0.545333333333366,0.620166666666637,7.28399999999964,0.158,0.570879999999998,1.48839999999993,1695,135,1560,4.6041199,0,2585666429975,84920781431,150605052
development,16018002,n10-ring2,N10 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,10,di,csma,12,0.1,32,0.0898660547377994,0.511962848004453,0,0,0.0785311537550342,0.144155413409145,1544,1860,1354,0,1666,4043,2710,1333,2417,1666,751,0,0,481,1,32,0,0.534666666666696,0.619999999999969,7.43999999999962,0,0.618751999999997,1.48799999999992,1666,0,1666,3.8628169,0,2585666429975,84920781431,121174258
development,16018002,n20-ring2,N20 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,20,di,csma,12,0.05,32,0.189703879707452,0.433889266563774,0,0,0.153049967553538,0.300912827168505,3935,3388,1628,3,1908,7848,3484,4364,4209,1908,2301,0,0,1739,2,32,3,0.809583333333319,1.12966666666658,13.551999999999,0.004,1.07648,2.71119999999979,1908,3,1905,5.0721924,0,10197999208054,339934429152,176416913
development,16018002,n20-ring2,N20 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,20,di,csma,12,0.05,32,0.195095195641939,0.439233726544376,0,0,0.152526497945058,0.296958684836686,3954,3383,1636,0,1874,7825,3451,4374,4097,1874,2223,0,0,1721,1,32,0,0.808999999999986,1.12766666666658,13.531999999999,0,1.048832,2.70639999999979,1874,0,1874,2.1705193,0,10197999208054,339934429152,146600554
development,16018002,n5-aloha,N5 ALOHA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,aloha,12,0.2,32,0.0688700474089569,0.510036771159834,0,0,0.10228855721393,0.176373687119956,904,2093,439,344,433,3832,793,3039,1118,433,685,0,0,1759,2,32,344,0.487666666666684,0.73399999999996,8.37199999999952,0.436,0.173824000000002,1.7615999999999,433,248,185,3.9600979,0,666677839911,21209039657,142096690
development,16018002,n5-aloha,N5 ALOHA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,aloha,12,0.2,32,0.0864064380679902,0.470424119685202,0,0,0.143173023770039,0.297733554449972,990,2301,438,0,354,4237,769,3468,1362,354,1008,0,0,1830,1,32,0,0.49425000000002,0.766999999999952,9.20399999999943,0,0.348672000000001,1.84079999999989,354,0,354,2.8516978,0,666677839911,21209039657,112388453
development,16018003,n5-csma,N5 CSMA,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,5,6dof,csma,12,0.2,32,0.0563383841033701,0.528157858972788,0,0,0.0757877280265339,0.143305693753455,702,819,666,63,734,1493,1148,345,943,734,209,0,0,127,2,32,63,0.262416666666646,0.28325,3.276,0.123,0.206848000000002,0.679800000000001,734,116,618,3.3351224,0,667021876844,21191023360,141655138
development,16018003,n5-csma,N5 CSMA,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,5,6dof,csma,12,0.2,32,0.0538654059951339,0.532763299146565,0,0,0.0720398009950247,0.140486456605859,691,781,666,0,729,1439,1166,273,896,729,167,0,0,92,1,32,0,0.244666666666648,0.260333333333334,3.124,0,0.229376000000002,0.6248,729,0,729,2.4059879,0,667021876844,21191023360,111946901
development,16018003,n10-ring2,N10 ring2,selected-adaptive-scaled,actual,mac-aware-broadcast,Selected adaptive + scaled,adaptive,10,di,csma,12,0.1,32,0.0917273499549531,0.507025025017843,0,0,0.082492300402748,0.153897180762852,1541,1855,1346,82,1678,4046,2681,1365,2507,1678,829,0,0,494,2,32,82,0.548583333333367,0.631833333333302,7.41999999999963,0.162,0.592895999999998,1.51639999999993,1678,145,1533,4.4496444,0,2587093638573,84927677217,150605054
development,16018003,n10-ring2,N10 ring2,piggyback-scaled,shadow,causal-broadcast,Piggyback-only + scaled,piggyback,10,di,csma,12,0.1,32,0.0892648257856813,0.508734956723441,0,0,0.0803837953091683,0.15425254678986,1540,1850,1367,0,1680,4013,2751,1262,2414,1680,734,0,0,440,1,32,0,0.539333333333365,0.616666666666636,7.39999999999963,0,0.617983999999998,1.47999999999993,1680,0,1680,3.6175308,0,2587093638573,84927677217,121174260
