N,interferenceMode,source,linkErasureProbability,parentPlanHash,currentPlanHash,planHashExact,repetitionExact,reliabilityExact,boundExact,durationExact,simulatorVersionHash,attempts,physicalBytes,offeredAirtimeSec,reservedDurationSec,attemptExact,byteExact,airtimeExact,deliveryExact,collisionRecipients,duplicateForwards,forbiddenReads
20,spatial-reuse-lower-bound,2,0.3,10475866,10475866,1,1,1,1,1,64297,90,8640,0.27648,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,3,0.05,10502646,10502646,1,1,1,1,1,64297,44,4224,0.135168,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,3,0.2,10502646,10502646,1,1,1,1,1,64297,77,7392,0.236544,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,3,0.3,10502646,10502646,1,1,1,1,1,64297,99,9504,0.304128,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,4,0.05,10475447,10475447,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,4,0.2,10475447,10475447,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,4,0.3,10475447,10475447,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,5,0.05,10502712,10502712,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,5,0.2,10502712,10502712,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,5,0.3,10502712,10502712,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,6,0.05,10478755,10478755,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,6,0.2,10478755,10478755,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,6,0.3,10478755,10478755,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,7,0.05,10507796,10507796,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,7,0.2,10507796,10507796,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,7,0.3,10507796,10507796,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,8,0.05,10482063,10482063,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,8,0.2,10482063,10482063,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,8,0.3,10482063,10482063,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,9,0.05,10512888,10512888,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,9,0.2,10512888,10512888,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,9,0.3,10512888,10512888,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,10,0.05,10485371,10485371,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,10,0.2,10485371,10485371,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,10,0.3,10485371,10485371,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,11,0.05,10517988,10517988,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,11,0.2,10517988,10517988,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,11,0.3,10517988,10517988,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,12,0.05,10488679,10488679,1,1,1,1,1,64297,36,3456,0.110592,0.0716653920556822,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,12,0.2,10488679,10488679,1,1,1,1,1,64297,63,6048,0.193536,0.125414436097444,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,12,0.3,10488679,10488679,1,1,1,1,1,64297,81,7776,0.248832,0.161247132125285,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,13,0.05,10523096,10523096,1,1,1,1,1,64297,40,3840,0.12288,0.095553856074243,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,13,0.2,10523096,10523096,1,1,1,1,1,64297,70,6720,0.21504,0.167219248129925,1,1,1,1,0,0,0
20,spatial-reuse-lower-bound,13,0.3,10523096,10523096,1,1,1,1,1,64297,90,8640,0.27648,0.214996176167047,1,1,1,1,0,0,0
