seed,controller,method,topology,N,scenario,RMSE,MINEVAL,NDATA,MISSION,SAFEFAIL
1,normalized,Causal-v3,ring2,10,Stressed,0.184179719327157,0.366224640878504,12182,30,0
2,normalized,Causal-v3,ring2,10,Stressed,0.184585220263129,0.357394508580692,12191,30,0
3,normalized,Causal-v3,ring2,10,Stressed,0.184436423083692,0.363324630628585,12183,30,0
1,original,P10,sparse4,10,Stressed,0.259564932092581,0.28530246816351,12300,30,0
2,original,P10,sparse4,10,Stressed,0.260594438540811,0.275924613639981,12300,30,0
3,original,P10,sparse4,10,Stressed,0.2611090726774,0.279284875426583,12300,30,0
1,normalized,P10,sparse4,10,Stressed,0.20044160975947,0.347751961632494,12300,30,0
2,normalized,P10,sparse4,10,Stressed,0.201002084290138,0.341990316151107,12300,30,0
3,normalized,P10,sparse4,10,Stressed,0.20148003965114,0.34275137875179,12300,30,0
1,original,Causal-v3,sparse4,10,Stressed,0.211618779459856,0.33692707735426,21553,30,0
2,original,Causal-v3,sparse4,10,Stressed,0.209475699026827,0.341511808356268,21560,30,0
3,original,Causal-v3,sparse4,10,Stressed,0.210302720573762,0.337779148285629,21569,30,0
1,normalized,Causal-v3,sparse4,10,Stressed,0.163293822795614,0.387408503207623,21670,30,0
2,normalized,Causal-v3,sparse4,10,Stressed,0.161566860546231,0.389224885638357,21657,30,0
3,normalized,Causal-v3,sparse4,10,Stressed,0.162615407412278,0.390694368560321,21664,30,0
1,original,P10,sparse6,10,Stressed,0.278341585168437,0.279728318463112,17700,30,0
2,original,P10,sparse6,10,Stressed,0.275163077333579,0.283036903186876,17700,30,0
3,original,P10,sparse6,10,Stressed,0.277576859934291,0.28106276400486,17700,30,0
1,normalized,P10,sparse6,10,Stressed,0.192163769805711,0.365686986512853,17700,30,0
2,normalized,P10,sparse6,10,Stressed,0.19062083340999,0.367618998953325,17700,30,0
3,normalized,P10,sparse6,10,Stressed,0.192349987685579,0.367249351209108,17700,30,0
1,original,Causal-v3,sparse6,10,Stressed,0.22226501939978,0.345127063134208,30953,30,0
2,original,Causal-v3,sparse6,10,Stressed,0.222304984064281,0.341124511734145,30972,30,0
3,original,Causal-v3,sparse6,10,Stressed,0.22232454078764,0.340752253755867,30976,30,0
1,normalized,Causal-v3,sparse6,10,Stressed,0.154198825067906,0.413905644231381,31042,30,0
2,normalized,Causal-v3,sparse6,10,Stressed,0.155215330002973,0.40922694447422,31005,30,0
3,normalized,Causal-v3,sparse6,10,Stressed,0.154935725887497,0.406817859846634,31035,30,0
1,original,P10,geometric,10,Stressed,0.156417150209695,0.405817325363429,6900,30,0
2,original,P10,geometric,10,Stressed,0.154249222509606,0.413224225359503,6900,30,0
3,original,P10,geometric,10,Stressed,0.150183453206734,0.409577960285102,6900,30,0
1,normalized,P10,geometric,10,Stressed,0.169595458721825,0.38680254113642,6900,30,0
2,normalized,P10,geometric,10,Stressed,0.166695149764558,0.394806914862477,6900,30,0
3,normalized,P10,geometric,10,Stressed,0.162883465479377,0.391129208701248,6900,30,0
1,original,Causal-v3,geometric,10,Stressed,0.122991721668857,0.442606081159118,12452,30,0
2,original,Causal-v3,geometric,10,Stressed,0.123680023719892,0.447698064780352,12450,30,0
3,original,Causal-v3,geometric,10,Stressed,0.122778703465693,0.44767464116946,12459,30,0
1,normalized,Causal-v3,geometric,10,Stressed,0.1338912902589,0.428307541540542,12464,30,0
2,normalized,Causal-v3,geometric,10,Stressed,0.132663230521508,0.431104110613461,12466,30,0
3,normalized,Causal-v3,geometric,10,Stressed,0.13311886853792,0.433070113520237,12461,30,0
1,original,P10,ring2,20,Stressed,0.267669423776743,0.307166663859881,14400,30,0
2,original,P10,ring2,20,Stressed,0.266494620220406,0.297858980358848,14400,30,0
3,original,P10,ring2,20,Stressed,0.266831046324109,0.294609539948479,14400,30,0
1,normalized,P10,ring2,20,Stressed,0.267669423776743,0.307166663859881,14400,30,0
2,normalized,P10,ring2,20,Stressed,0.266494620220406,0.297858980358848,14400,30,0
3,normalized,P10,ring2,20,Stressed,0.266831046324109,0.294609539948479,14400,30,0
1,original,Causal-v3,ring2,20,Stressed,0.218726876037114,0.361881734201858,25192,30,0
2,original,Causal-v3,ring2,20,Stressed,0.218445838804518,0.355054772632199,25172,30,0
3,original,Causal-v3,ring2,20,Stressed,0.21748428317747,0.358845455916927,25182,30,0
1,normalized,Causal-v3,ring2,20,Stressed,0.218726876037114,0.361881734201858,25192,30,0
2,normalized,Causal-v3,ring2,20,Stressed,0.218445838804518,0.355054772632199,25172,30,0
3,normalized,Causal-v3,ring2,20,Stressed,0.21748428317747,0.358845455916927,25182,30,0
1,original,P10,sparse4,20,Stressed,0.381379260302579,0.209537333903913,25800,30,1
2,original,P10,sparse4,20,Stressed,0.384455690197609,0.196769818029746,25800,30,1
3,original,P10,sparse4,20,Stressed,0.380992943064161,0.210057826506799,25800,30,1
1,normalized,P10,sparse4,20,Stressed,0.268496271550049,0.310587679813161,25800,30,0
2,normalized,P10,sparse4,20,Stressed,0.270600128415524,0.293450495936828,25800,30,0
3,normalized,P10,sparse4,20,Stressed,0.268334207291227,0.302826332735986,25800,30,0
1,original,Causal-v3,sparse4,20,Stressed,0.314051517318801,0.285369723695357,44397,30,0
2,original,Causal-v3,sparse4,20,Stressed,0.31273390111106,0.284213982260717,44437,30,0
3,original,Causal-v3,sparse4,20,Stressed,0.312588904083647,0.282636363752113,44456,30,0
1,normalized,Causal-v3,sparse4,20,Stressed,0.218342562524028,0.362215585947466,44809,30,0
2,normalized,Causal-v3,sparse4,20,Stressed,0.219057505377065,0.362162113166924,44860,30,0
3,normalized,Causal-v3,sparse4,20,Stressed,0.218291683695635,0.363460037938853,44856,30,0
1,original,P10,sparse6,20,Stressed,0.431256430912565,0.160904060490173,37200,30,1
2,original,P10,sparse6,20,Stressed,0.431914218921619,0.16675033612332,37200,30,1
3,original,P10,sparse6,20,Stressed,0.431483282689263,0.170805147200423,37200,30,1
1,normalized,P10,sparse6,20,Stressed,0.252382315694537,0.322371151475558,37200,30,0
2,normalized,P10,sparse6,20,Stressed,0.253208315732039,0.322749780148729,37200,30,0
3,normalized,P10,sparse6,20,Stressed,0.252777951140153,0.329356649524745,37200,30,0
