cell,effect,armA,armB,metric,meanA,meanB,relativePct,difference,pairedTLo,pairedTHi,nPairs,nDropped,crossesZero
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,OFFERED_UTIL,0.738177083333293,0.757614583333291,-2.56561851205114,-0.019437499999998,-0.0706979066616961,0.0318229066617001,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,CHANNEL_UTIL,0.474635416666681,0.491270833333352,-3.3862007548459,-0.0166354166666718,-0.0381742719304128,0.00490343859706926,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,COLLISION_FRAMES,1786.125,1835.875,-2.70987948525907,-49.75,-236.917222108074,137.417222108074,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,DATA_ATTEMPTED,2116.75,2168.375,-2.38081512653485,-51.625,-217.843318844127,114.593318844127,8,0,1
n5-aloha,full_v2_vs_hybrid,full-v2,frozen-hybrid,ACK_ATTEMPTED,311.375,333.25,-6.56414103525881,-21.875,-58.1472368753082,14.3972368753082,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,RMSE,0.0864817309684081,0.0896625008233538,-3.54749178947421,-0.00318076985494571,-0.00735187485186691,0.000990335141975477,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,MEAN_TRUE_AOI,0.123587617468214,0.128771420674406,-4.0255851640393,-0.00518380320619151,-0.015332983204355,0.00496537679197196,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,OFFERED_UTIL,0.719291666666625,0.72508333333329,-0.79875876336047,-0.00579166666666578,-0.0161211350019429,0.00453780166861134,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,CHANNEL_UTIL,0.752864583333353,0.752979166666686,-0.0152173311568415,-0.000114583333333598,-0.00543341561682775,0.00520424895016055,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,COLLISION_FRAMES,1686.25,1708.125,-1.28064398097329,-21.875,-57.9816959714063,14.2316959714063,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,DATA_ATTEMPTED,2152.75,2175.25,-1.03436386622227,-22.5,-53.3147312478456,8.31473124784557,8,0,1
n5-background030,adaptive_ack_vs_piggyback,adaptive-only,frozen-piggyback,ACK_ATTEMPTED,11.25,0,NaN,11.25,9.26405748301423,13.2359425169858,8,0,0
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,RMSE,0.0889138310681796,0.0864817309684081,2.81227037495346,0.00243210009977149,-0.00226611196109031,0.00713031216063329,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,MEAN_TRUE_AOI,0.127976782752902,0.123587617468214,3.55146039271814,0.00438916528468763,-0.00651491315047517,0.0152932437198504,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,OFFERED_UTIL,0.712177083333292,0.719291666666625,-0.989109656490684,-0.00711458333333236,-0.0205052658869682,0.0062760992203035,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,CHANNEL_UTIL,0.747260416666689,0.752864583333353,-0.744379107574797,-0.00560416666666363,-0.0129508695761111,0.00174253624278384,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,COLLISION_FRAMES,1676.625,1686.25,-0.570793180133432,-9.625,-57.4923476463176,38.2423476463176,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,DATA_ATTEMPTED,2129.875,2152.75,-1.06259435605621,-22.875,-62.7079096872995,16.9579096872995,8,0,1
n5-background030,load_guard_given_adaptive,guarded-adaptive,adaptive-only,ACK_ATTEMPTED,14.625,11.25,30,3.375,1.09913141666561,5.65086858333439,8,0,0
n5-background030,access_scaling_given_hybrid,access-only,frozen-hybrid,RMSE,0.0906444624564583,0.0906444624564583,0,0,0,0,8,0,1
